Justa Babe (AUS),212770,4,m,Murray Baker,Cambridge,187150,FLYING SPUR (AUS) 1992,14735,GIFT OF WINGS (AUS) 1981
Paulamaroof,207116,4,m,Stu & Neil Dromgool,Cambridge,174818,MAROOF (USA) 1990,148226,PAULA (NZ) 1990
Zanadu,213605,4,m,Jim Pender,Tauranga,190539,HAAYIL (AUS) 1992,170414,ZABRINA (NZ) 1993
Angel's Honour,211703,4,m,Graeme Nicholson,Te Aroha,39811,STRAIGHT STRIKE (USA) 1977,130890,VICTORY LEAH (NZ) 1987
Melba,207635,4,m,Colin Bishop,Te Rapa,192596,MELLIFONT (USA) 1994,154417,WOODROW (NZ) 1991
Free Sea,217190,3,f,Tim Ryan,Cambridge,206496,RACER'S EDGE (AUS) 1991,178252,KYTHERA (NZ) 1994
Vee Voom,219077,3,f,Katrina Alexander,Waipukurau,159452,EXPLODING PROSPECT (USA) 1986,153056,SILVER STAR (NZ) 1991
Bonneville,213529,3,f,Carl & Lisa Gately,Cambridge,177142,GOLD BROSE (AUS) 1990,179337,KAAPSTAD GLAMOUR (NZ) 1994
Jetset Doll,215913,3,f,Graham Thomas,Cambridge,172850,JETBALL (AUS) 1990,179732,DRESDEN (NZ) 1992
Centime,217402,3,f,Stephen & Trevor McKee,Ardmore,7032,CENTAINE (AUS) 1980,175525,JUST LUCY (NZ) 1994
Girvan (AUS),216685,3,f,Paul O'Sullivan,Matamata,198569,GOLD ACE (AUS) 1992,105237,MA VIE (NZ) 1983
Marlena,217827,3,f,Robert Priscott,Te Awamutu,87997,ZABEEL (NZ) 1986,193808,VARGAS DIAMOND (AUS) 1994
Mia Le Fay,215362,3,f,Allan John Jones,Cambridge,87997,ZABEEL (NZ) 1986,199336,GUINEVERE (IRE) 1995
Vital Flick,217059,3,f,Mark Brosnan,Matamata,206669,DAGGERS DRAWN (USA) 1995,175234,DULCIA VITAL (NZ) 1994
Keshava,210009,4,m,Don Dwyer,Pukekohe,174818,MAROOF (USA) 1990,168133,CHORUS STAR (AUS) 1982
Exodus,209800,4,m,Allan John Jones,Cambridge,79353,KAAPSTAD (NZ) 1984,21661,LADY GENESIS (NZ) 1983
Ebony Chime,209381,4,m,Gordon Hartley,Taupo,186288,MASTERPIECE (AUS) 1991,173605,DARIA WEST (NZ) 1993
Dropoff,203225,5,m,Shelley Bedford,Glen Massey,192596,MELLIFONT (USA) 1994,171337,NODD OFF (NZ) 1993
Swigilo (AUS),219274,3,g,Colin Jillings & Richard Yuill,Takanini,212647,PICCOLO (GB) 1991,219277,SWIGGLE (AUS) 1990
Kings Academy (AUS),225668,3,g,Richard Dee & Matthew Dixon,Cambridge,175363,ROYAL ACADEMY (USA) 1987,225670,COLONIAL DANCER (USA) 1993
Talkeetna,215101,3,g,Shelley Hale,Cambridge,162289,VOLKSRAAD (GB) 1988,193134,FREE AS A BIRD (AUS) 1993
Mr O'Reilly,216260,3,g,Toni Croon,Cambridge,172521,O'REILLY (NZ) 1993,6999,CELIA LEIGH (NZ) 1980
Romeod,213808,3,g,Alan Jones & Brett McDonald,Cambridge,199454,SHINKO KING (IRE) 1991,174966,MELSIE (NZ) 1994
Class Fever,219974,3,f,Michael Moroney & Andrew Scott,Matamata,216602,GOLD FEVER (USA) 1993,186780,CLASSY LIZ (NZ) 1995
Portobella,217158,3,f,Mark Brosnan,Matamata,163519,TANKER PORT (USA) 1985,11542,EBONY BELLE (NZ) 1980
Not A Word,215080,3,f,David Smyth,Te Aroha,177840,STRIKE DIAMONDS (NZ) 1994,162599,VALIANT DREAM (NZ) 1992
Magic Sheila,217333,3,f,Jim Pender,Tauranga,198735,MAGIC OF SYDNEY (AUS) 1993,149682,DOLLAR GIRL (NZ) 1990
Sarajay,216307,3,f,Stephen & Trevor McKee,Ardmore,185908,DANASINGA (AUS) 1991,190378,SRIWIJAYA (AUS) 1993
Waitoki Gold,215783,3,f,K S Cullen,Te Aroha,155702,THE COMMANDER (NZ) 1991,18621,IVORY MINK (NZ) 1985
Nashvilles Cat,217010,3,f,Caroline Pomare,Ardmore,194230,GROOM DANCER (USA) 1984,194896,MANILA PHILLY (USA) 1994
Gamma Scout (AUS),224262,3,g,Graeme Sanders & Debbie Sweeney,Te Awamutu,173286,GEIGER COUNTER (USA) 1982,36469,SEQUITA (USA) 1983
Abracadabra,216301,3,f,Paul O'Sullivan,Matamata,172521,O'REILLY (NZ) 1993,35841,SANTONA (NZ) 1984
Te Awa Rose,209108,4,m,Graeme Sanders & Debbie Sweeney,Te Awamutu,186139,PRIZED (USA) 1986,143194,NASSA ROSE (NZ) 1989
Blink Twice,207715,4,m,Neville Atkins,Waiuku,177142,GOLD BROSE (AUS) 1990,21065,KOTOBUKI (NZ) 1985
Mabella,210411,4,m,Keith Opie,Te Aroha,200260,SANDTRAP (USA) 1993,4272,BIG MUM (NZ) 1983
Ocean Blue,209947,4,m,James Mead,Cambridge,162289,VOLKSRAAD (GB) 1988,4838,BLUE SEAS (NZ) 1985
Dana Rose,208973,4,m,Colin Fache,Cambridge,185908,DANASINGA (AUS) 1991,166847,WANDERING ROSE (NZ) 1992
O'Danza,208345,4,m,Terry & Scott Wenn,Te Aroha,172521,O'REILLY (NZ) 1993,95643,DANZAPAK (NZ) 1986
Patsy Annie,204650,5,m,Craig Finn,Te Teko,179609,THE JOGGER (USA) 1991,125073,POLLY'S FOLLY (NZ) 1987
Sarah Sheryl,199442,6,m,Sheryl Barr,Paengaroa,159647,SCULPTURED ARCH (AUS) 1986,106168,SARAH FOX (NZ) 1987
Au Fait,213523,3,f,Paul O'Sullivan,Matamata,174092,MANNTARI (IRE) 1991,174072,NO IDEA (NZ) 1993
Jugete,216551,3,f,Graham Richardson & Mark Donoghue,Matamata,186281,SENOR PETE (USA) 1987,194236,HAMLEYS (GB) 1994
Marwar,215760,3,f,J G Sargent & K L Allpress,Matamata,206002,BAHHARE (USA) 1994,149163,SHIVNIVAS (NZ) 1990
Gold Fantastic,214536,3,f,Mark Brosnan,Matamata,202119,GERMANO (GB) 1993,153379,STRINGER'S GOLD (NZ) 1991
Proof,218592,3,f,Katrina Alexander,Waipukurau,174818,MAROOF (USA) 1990,158487,DOLLY DISASTER (AUS) 1988
Yum Yum,213860,3,f,Richard Otto & Stephen Fache,Te Awamutu,199514,ENTREPRENEUR (GB) 1994,152580,SLANCHYVAH (NZ) 1989
Zegna,217289,3,f,Mark Todd,Rangiora,199454,SHINKO KING (IRE) 1991,164964,JUBILEE (NZ) 1992
Rockfist Rogan,210854,4,g,Don Sellwood,Cambridge,173332,DESERT SUN (GB) 1988,81650,LADY WHITBY (NZ) 1986
Tuscany Jester,213483,4,g,Bruce Wallace,Byerley Park,192006,TUSCANY FLYER (AUS) 1992,82315,STRESS FACTOR (NZ) 1986
Signs,208049,4,g,Brian Hedley & Karen Brooks,Paeroa,186288,MASTERPIECE (AUS) 1991,10222,DELTELLO (NZ) 1976
Te Ohaki,207411,4,g,Andrew Meikle,Pukeatua,159391,LOWELL (USA) 1986,44401,VIVA SHARIE (NZ) 1980
Godrson,198848,6,g,Tania Skinner,Te Rapa,45026,WESTMINSTER (NZ) 1984,137962,GODR (NZ) 1989
Manjaro,216945,3,g,Stephen & Trevor McKee,Ardmore,200704,KILIMANJARO (GB) 1995,1828,ARCTIC LIFE (FR) 1983
Calcutta Red,217489,3,g,Kerry Verner,Ardmore,206410,BIJOU D'INDE (GB) 1993,125831,SOVEREIGN STAR (NZ) 1987
Jillaine,199972,5,m,D F & F A Phillips,Matangi,166989,VYNER'S ORB (AUS) 1988,42500,TOCARRA (NZ) 1982
Nora Browneyes,209618,4,m,Gary Jenkins,Takanini,159391,LOWELL (USA) 1986,157165,SHINING BLUE (NZ) 1991
Identity,219827,3,f,Katrina Alexander,Waipukurau,206669,DAGGERS DRAWN (USA) 1995,169018,HEAR'S HOPING (NZ) 1993
Silver Whirl,218205,3,f,Terry & Scott Wenn,Te Aroha,38966,SPECTACULAR LOVE (USA) 1982,169339,GIVE IT A WHIRL (NZ) 1993
Bella Kash,214519,3,f,Alan Jones & Brett McDonald,Cambridge,179607,KASHANI (USA) 1990,113697,ELLE MCPHIZAM (NZ) 1988
Anaraeo,201955,5,m,Karyn McQuade,Matamata,193274,CICERAO (IRE) 1991,96231,PRINCESS MARINA (NZ) 1985
Killara Gold,203322,5,m,Pat Rodewald,Te Aroha,193274,CICERAO (IRE) 1991,150928,SYDNEYOR (NZ) 1990
Super Season,214328,3,f,Sam Crawford,Te Rapa,199552,FOUR SEASONS (GB) 1990,163590,LIBERTY BELLE (NZ) 1992
