<-- Copyright Notice: (c) 2016 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
538,2003-12-03,2,"Avondale","Premier","Race","Avondale J.C.","AVONDALE JC 03 DEC","Good",0,"Fine","True",3945,1,,Hurdle,2800,"OPN HDL","LA-Z-BOY CHAIR HURDLES",13750.00,12:35:00,"N",62.00,"Unrestricted","Open","unrestricted","hcp","Good",0,"Fine",188090,1,8,"Ultimate Conquest","8","g",64.50,F,,,," ","Alvin Clark","Takanini",,,0.00,"Jonathan Riddell",64.50,0.00,0,0,0,"",118234,"ULTIMATE AIM (NZ) 1987",82756,"KELLY'S CONQUEST (NZ) 1986",
538,2003-12-03,2,"Avondale","Premier","Race","Avondale J.C.","AVONDALE JC 03 DEC","Good",0,"Fine","True",3945,1,,Hurdle,2800,"OPN HDL","LA-Z-BOY CHAIR HURDLES",13750.00,12:35:00,"N",62.00,"Unrestricted","Open","unrestricted","hcp","Good",0,"Fine",169818,2,5,"Deluge","10","g",63.00,F,,,," ","Jim Wallace","Opaki",,,0.00,"Chris Allen",63.00,0.00,0,0,0,"",23274,"LORD BALLINA (AUS) 1979",38020,"SKIFF (NZ) 1982",
538,2003-12-03,2,"Avondale","Premier","Race","Avondale J.C.","AVONDALE JC 03 DEC","Good",0,"Fine","True",3945,1,,Hurdle,2800,"OPN HDL","LA-Z-BOY CHAIR HURDLES",13750.00,12:35:00,"N",62.00,"Unrestricted","Open","unrestricted","hcp","Good",0,"Fine",197107,3,4,"Nicobury","6","g",63.00,1,3.05.57,,," 3 LEN","Garry Barlow","Woodville",,,8600.00,"Jo Rathbone",60.50,2.50,0,0,0,"",186081,"NICOLOTTE (GB) 1991",34719,"ROTHBURY IMP (NZ) 1984",
538,2003-12-03,2,"Avondale","Premier","Race","Avondale J.C.","AVONDALE JC 03 DEC","Good",0,"Fine","True",3945,1,,Hurdle,2800,"OPN HDL","LA-Z-BOY CHAIR HURDLES",13750.00,12:35:00,"N",62.00,"Unrestricted","Open","unrestricted","hcp","Good",0,"Fine",174766,4,1,"Aqua Meadow","9","g",62.00,5,,,10.60," 4 LEN","Michael Daly","Washdyke",,,340.00,"Clayton Chipperfield",62.00,0.00,0,0,0,"",101789,"TRISTRAM'S MONARCH (NZ) 1986",96440,"JANET MARIE (NZ) 1986",
538,2003-12-03,2,"Avondale","Premier","Race","Avondale J.C.","AVONDALE JC 03 DEC","Good",0,"Fine","True",3945,1,,Hurdle,2800,"OPN HDL","LA-Z-BOY CHAIR HURDLES",13750.00,12:35:00,"N",62.00,"Unrestricted","Open","unrestricted","hcp","Good",0,"Fine",209712,6,2,"Deuce Bigalow","4","g",62.00,7,,,17.70," ","Peter Brosnan","Matamata",,,0.00,"Kenny Watson",59.00,3.00,0,0,0,"",179784,"PERSONAL ESCORT (USA) 1991",74344,"MISS PRIM (NZ) 1986",
538,2003-12-03,2,"Avondale","Premier","Race","Avondale J.C.","AVONDALE JC 03 DEC","Good",0,"Fine","True",3945,1,,Hurdle,2800,"OPN HDL","LA-Z-BOY CHAIR HURDLES",13750.00,12:35:00,"N",62.00,"Unrestricted","Open","unrestricted","hcp","Good",0,"Fine",178402,7,6,"Here We Go Now","9","g",62.00,8,,,22.00," ","Ken Rae","Muriwai Beach",,,0.00,"Creina Heaton",59.00,3.00,0,0,0,"",143723,"STAR OF LUSKIN (AUS) 1984",45693,"YAMAMA (NZ) 1981",
538,2003-12-03,2,"Avondale","Premier","Race","Avondale J.C.","AVONDALE JC 03 DEC","Good",0,"Fine","True",3945,1,,Hurdle,2800,"OPN HDL","LA-Z-BOY CHAIR HURDLES",13750.00,12:35:00,"N",62.00,"Unrestricted","Open","unrestricted","hcp","Good",0,"Fine",185608,9,7,"Imperial Pompeii","8","g",62.00,2,,,3.00," 5 1/2 LEN","Peter & Nikki Hurdle","Awapuni",,,2750.00,"Megan Liefting",59.00,3.00,0,0,0,"",31349,"POMPEII COURT (USA) 1977",17982,"IMPERIAL BRIDE (NZ) 1977",
538,2003-12-03,2,"Avondale","Premier","Race","Avondale J.C.","AVONDALE JC 03 DEC","Good",0,"Fine","True",3945,1,,Hurdle,2800,"OPN HDL","LA-Z-BOY CHAIR HURDLES",13750.00,12:35:00,"N",62.00,"Unrestricted","Open","unrestricted","hcp","Good",0,"Fine",184085,10,9,"Patronage","8","g",62.00,6,,,14.60," ","Piri Ranui","Tauranga",,,0.00,"Richard Eynon",60.50,1.50,0,0,0,"",167205,"PRINCE SALIERI (AUS) 1986",118308,"COMPLIMENT (NZ) 1988",
538,2003-12-03,2,"Avondale","Premier","Race","Avondale J.C.","AVONDALE JC 03 DEC","Good",0,"Fine","True",3945,1,,Hurdle,2800,"OPN HDL","LA-Z-BOY CHAIR HURDLES",13750.00,12:35:00,"N",62.00,"Unrestricted","Open","unrestricted","hcp","Good",0,"Fine",204993,11,10,"Rabbit","5","g",62.00,4,,,9.30," 1 1/4 LEN","Raymond Connors","Wanganui",,,685.00,"Isaac Lupton",62.00,0.00,0,0,0,"",159391,"LOWELL (USA) 1986",81064,"PURPLE VIXEN (NZ) 1983",
538,2003-12-03,2,"Avondale","Premier","Race","Avondale J.C.","AVONDALE JC 03 DEC","Good",0,"Fine","True",3945,1,,Hurdle,2800,"OPN HDL","LA-Z-BOY CHAIR HURDLES",13750.00,12:35:00,"N",62.00,"Unrestricted","Open","unrestricted","hcp","Good",0,"Fine",177837,12,3,"Star Clipper","9","g",62.00,3,,,8.50," 3/4 LEN","Blake Naden","Takanini",,,1375.00,"Rick Cassidy",62.00,0.00,0,0,0,"",87997,"ZABEEL (NZ) 1986",36545,"SET SAIL (GB) 1979",
538,2003-12-03,2,"Avondale","Premier","Race","Avondale J.C.","AVONDALE JC 03 DEC","Good",0,"Fine","True",3944,2,,Flat,1100,"2YO C&G HCP","NEW ZEALAND BLOODSTOCK - MERCEDES BONUS",27500.00,13:10:00,"N",52.00,"2yo","Open","c&g","hcp","Good",0,"Fine",220484,1,1,"Successor","2","g",56.00,1,1.04.16,,," 4 LEN","J G Sargent & K L Allpress","Matamata",,,17190.00,"Grant Cooksley",56.00,0.00,0,0,0,"",206002,"BAHHARE (USA) 1994",191375,"BETTY DOOLIN (NZ) 1996",
538,2003-12-03,2,"Avondale","Premier","Race","Avondale J.C.","AVONDALE JC 03 DEC","Good",0,"Fine","True",3944,2,,Flat,1100,"2YO C&G HCP","NEW ZEALAND BLOODSTOCK - MERCEDES BONUS",27500.00,13:10:00,"N",52.00,"2yo","Open","c&g","hcp","Good",0,"Fine",225738,2,7,"Sharka Zulu (AUS)","2","g",55.00,4,,,6.30," NECK","Graeme Rogerson & Stephen Autridge","Tuhikaramea",,,1375.00,"Michael Walker",55.00,0.00,0,0,0,"",211606,"LION HUNTER (AUS) 1992",225743,"HIGH TWINKLE (AUS) 1989",
538,2003-12-03,2,"Avondale","Premier","Race","Avondale J.C.","AVONDALE JC 03 DEC","Good",0,"Fine","True",3944,2,,Flat,1100,"2YO C&G HCP","NEW ZEALAND BLOODSTOCK - MERCEDES BONUS",27500.00,13:10:00,"N",52.00,"2yo","Open","c&g","hcp","Good",0,"Fine",221790,3,9,"Sir Slick","2","g",55.00,3,,,4.80," 1 1/2 LEN","Graeme Nicholson","Te Aroha",,,2750.00,"Eddie De Klerk",55.00,0.00,0,0,0,"",162289,"VOLKSRAAD (GB) 1988",162173,"MISS OPERA (NZ) 1992",
538,2003-12-03,2,"Avondale","Premier","Race","Avondale J.C.","AVONDALE JC 03 DEC","Good",0,"Fine","True",3944,2,,Flat,1100,"2YO C&G HCP","NEW ZEALAND BLOODSTOCK - MERCEDES BONUS",27500.00,13:10:00,"N",52.00,"2yo","Open","c&g","hcp","Good",0,"Fine",225015,4,6,"Dead Rabbits","2","g",54.50,5,,,6.60," 1/2 LEN","Don Dwyer","Pukekohe",,,685.00,"Lee Tiley",54.50,0.00,0,0,0,"",186277,"SLAVIC (USA) 1987",175403,"BLANCHE AMELIA (NZ) 1994",
