<-- Copyright Notice: (c) 2016 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
30558,2004-04-14,6,"Riverton","Other","Race","Riverton R.C.","RIVERTON RC 14 APR","Heavy",0,"Fine","True",121095,1,,Hurdle,2600,"MDN HDL","MAG CREEK FARM & WAIAU HEREFORD STUD HURDLE",6000.00,12:20:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",0,"Fine",206856,1,6,"Caballero Pete","4","g",63.00,3,,,27.00," 1 1/2 LEN","Russell McKay","Ashburton",,,600.00,"Tom Hazlett",63.00,0.00,0,0,0,"",186281,"SENOR PETE (USA) 1987",64941,"VEGAS MAGIC (AUS) 1985",
30558,2004-04-14,6,"Riverton","Other","Race","Riverton R.C.","RIVERTON RC 14 APR","Heavy",0,"Fine","True",121095,1,,Hurdle,2600,"MDN HDL","MAG CREEK FARM & WAIAU HEREFORD STUD HURDLE",6000.00,12:20:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",0,"Fine",193671,2,2,"Classy Cloud","6","g",63.00,1,3.05.56,,," 12 LEN","Brian & Shane Anderton","Wingatui",,,3750.00,"Stewart Moir",61.50,1.50,0,0,0,"",167953,"CLASSIC FAME (USA) 1986",110777,"NOBLE CLOUD (NZ) 1987",
30558,2004-04-14,6,"Riverton","Other","Race","Riverton R.C.","RIVERTON RC 14 APR","Heavy",0,"Fine","True",121095,1,,Hurdle,2600,"MDN HDL","MAG CREEK FARM & WAIAU HEREFORD STUD HURDLE",6000.00,12:20:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",0,"Fine",175256,3,1,"Gold Dapper","9","g",63.00,5,,,64.50," 13 1/2 LEN","Kevin Hughes","Riccarton Park",,,150.00,"Jonathan Riddell",63.00,0.00,0,0,0,"",159247,"KYOEI DAPPER (AUS) 1986",125146,"KAMP FROLICS (NZ) 1988",
30558,2004-04-14,6,"Riverton","Other","Race","Riverton R.C.","RIVERTON RC 14 APR","Heavy",0,"Fine","True",121095,1,,Hurdle,2600,"MDN HDL","MAG CREEK FARM & WAIAU HEREFORD STUD HURDLE",6000.00,12:20:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",0,"Fine",193637,4,5,"Hello Chester","6","h",63.00,6,,,78.00," ","Jack & Jo-Ann Gordon","Ascot Park",,,0.00,"Corey Argue",60.00,3.00,0,0,0,"",125367,"KINJITE (NZ) 1988",9656,"DANSEUSE ROYALE (NZ) 1981",
30558,2004-04-14,6,"Riverton","Other","Race","Riverton R.C.","RIVERTON RC 14 APR","Heavy",0,"Fine","True",121095,1,,Hurdle,2600,"MDN HDL","MAG CREEK FARM & WAIAU HEREFORD STUD HURDLE",6000.00,12:20:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",0,"Fine",192071,5,4,"Prince D'or","7","g",63.00,4,,,28.50," 36 LEN","Valerie Christophers","Winton",,,300.00,"Tane Belsham",63.00,0.00,0,0,0,"",132282,"EPIDAURUS (USA) 1982",25305,"MENIER D'OR (NZ) 1985",
30558,2004-04-14,6,"Riverton","Other","Race","Riverton R.C.","RIVERTON RC 14 APR","Heavy",0,"Fine","True",121095,1,,Hurdle,2600,"MDN HDL","MAG CREEK FARM & WAIAU HEREFORD STUD HURDLE",6000.00,12:20:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",0,"Fine",207178,6,3,"Tapildanz","4","g",63.00,2,,,12.00," 15 LEN","Kerry King","Isla Bank",,,1200.00,"Reon Aukett",61.50,1.50,0,0,0,"",186604,"RHYTHM (USA) 1987",129008,"CRIMESTRESS (NZ) 1988",
30558,2004-04-14,6,"Riverton","Other","Race","Riverton R.C.","RIVERTON RC 14 APR","Heavy",0,"Fine","True",122073,2,,Hurdle,2600,"MDN HDL","RIVERTON PLUMBING & DRAINLAYING, MACS DAIRY AND SOUTHLAND GLASS  HURDLE",6000.00,12:50:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",0,"Fine",196670,1,6,"Full Force","6","g",63.00,5,,,90.40," 3 LEN","John & Karen Parsons","Balcairn",,,150.00,"Jonathan Riddell",63.00,0.00,0,0,0,"",144106,"WAIKIKI STAR (USA) 1983",138416,"CONCIERGE (NZ) 1989",
30558,2004-04-14,6,"Riverton","Other","Race","Riverton R.C.","RIVERTON RC 14 APR","Heavy",0,"Fine","True",122073,2,,Hurdle,2600,"MDN HDL","RIVERTON PLUMBING & DRAINLAYING, MACS DAIRY AND SOUTHLAND GLASS  HURDLE",6000.00,12:50:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",0,"Fine",202345,2,4,"Gentleman George","5","g",63.00,6,,,93.40," ","Russell McKay","Ashburton",,,0.00,"Tom Hazlett",63.00,0.00,0,0,0,"",167579,"HONOR GRADES (USA) 1988",23204,"LONG LIFE (NZ) 1985",
30558,2004-04-14,6,"Riverton","Other","Race","Riverton R.C.","RIVERTON RC 14 APR","Heavy",0,"Fine","True",122073,2,,Hurdle,2600,"MDN HDL","RIVERTON PLUMBING & DRAINLAYING, MACS DAIRY AND SOUTHLAND GLASS  HURDLE",6000.00,12:50:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",0,"Fine",198878,3,2,"Get Set Go","6","g",63.00,1,3.01.48,,," 22 LEN","Tony & Lyn Prendergast","West Melton",,,3750.00,"Tane Belsham",63.00,0.00,0,0,0,"",143723,"STAR OF LUSKIN (AUS) 1984",45693,"YAMAMA (NZ) 1981",
30558,2004-04-14,6,"Riverton","Other","Race","Riverton R.C.","RIVERTON RC 14 APR","Heavy",0,"Fine","True",122073,2,,Hurdle,2600,"MDN HDL","RIVERTON PLUMBING & DRAINLAYING, MACS DAIRY AND SOUTHLAND GLASS  HURDLE",6000.00,12:50:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",0,"Fine",204780,4,3,"Jamie's Chance","5","g",63.00,2,,,22.00," 1/2 HEAD","Paul Richards","Byerley Park",,,1200.00,"Corey Argue",60.00,3.00,0,0,0,"",32859,"RANDOM CHANCE (NZ) 1982",53674,"DARNOBLE (NZ) 1985",
30558,2004-04-14,6,"Riverton","Other","Race","Riverton R.C.","RIVERTON RC 14 APR","Heavy",0,"Fine","True",122073,2,,Hurdle,2600,"MDN HDL","RIVERTON PLUMBING & DRAINLAYING, MACS DAIRY AND SOUTHLAND GLASS  HURDLE",6000.00,12:50:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",0,"Fine",190536,5,1,"Order Wood","7","g",63.00,3,,,22.10," 3 1/4 LEN","Jack & Jo-Ann Gordon","Ascot Park",,,600.00,"Reon Aukett",61.50,1.50,0,0,0,"",84387,"SIR CHROMAR (NZ) 1985",27337,"MY BELLE (NZ) 1983",
30558,2004-04-14,6,"Riverton","Other","Race","Riverton R.C.","RIVERTON RC 14 APR","Heavy",0,"Fine","True",122073,2,,Hurdle,2600,"MDN HDL","RIVERTON PLUMBING & DRAINLAYING, MACS DAIRY AND SOUTHLAND GLASS  HURDLE",6000.00,12:50:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",0,"Fine",199319,6,5,"Random Step","6","g",63.00,4,,,25.40," 65 LEN","Brian & Shane Anderton","Wingatui",,,300.00,"Stewart Moir",61.50,1.50,0,0,0,"",32859,"RANDOM CHANCE (NZ) 1982",122090,"SWIFT RIVER (NZ) 1987",
30558,2004-04-14,6,"Riverton","Other","Race","Riverton R.C.","RIVERTON RC 14 APR","Heavy",0,"Fine","True",121096,3,,Flat,1200,"SPEC MDN","CLIVE WILSON COMPUTERS & SHOREFORD ROMNEY STUD HANDICAP",6000.00,13:20:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",0,"Fine",203911,1,10,"Padraig","5","g",56.00,3,,,0.80," 2 1/2 LEN","Gay Stuart","Ascot Park",,,600.00,"Jarrod Todd",53.00,3.00,0,0,0,"",175712,"DOCTOR DAVID (USA) 1991",105454,"SATCH (USA) 1981",
30558,2004-04-14,6,"Riverton","Other","Race","Riverton R.C.","RIVERTON RC 14 APR","Heavy",0,"Fine","True",121096,3,,Flat,1200,"SPEC MDN","CLIVE WILSON COMPUTERS & SHOREFORD ROMNEY STUD HANDICAP",6000.00,13:20:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",0,"Fine",211128,4,6,"Valet","4","g",56.00,11,,,32.10," ","Paul Richards","Byerley Park",,,0.00,"Paul Richards",56.00,0.00,0,0,0,"",179784,"PERSONAL ESCORT (USA) 1991",147634,"MAJESTIC GIRL (NZ) 1990",
30558,2004-04-14,6,"Riverton","Other","Race","Riverton R.C.","RIVERTON RC 14 APR","Heavy",0,"Fine","True",121096,3,,Flat,1200,"SPEC MDN","CLIVE WILSON COMPUTERS & SHOREFORD ROMNEY STUD HANDICAP",6000.00,13:20:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",0,"Fine",217071,5,5,"Full Thyme","3","g",55.50,5,,,5.30," HEAD","Kelly Thompson","Ascot Park",,,150.00,"Sharon Evans",51.50,4.00,0,0,0,"",156879,"BIO (USA) 1986",132022,"WAISTING THYME (NZ) 1989",
30558,2004-04-14,6,"Riverton","Other","Race","Riverton R.C.","RIVERTON RC 14 APR","Heavy",0,"Fine","True",121096,3,,Flat,1200,"SPEC MDN","CLIVE WILSON COMPUTERS & SHOREFORD ROMNEY STUD HANDICAP",6000.00,13:20:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",0,"Fine",216047,6,1,"Curraghloo","3","g",55.50,10,,,31.60," ","Sally McKay","Ascot Park",,,0.00,"Maria Hayston",55.50,0.00,0,0,0,"",199710,"FELIX THE CAT (USA) 1994",156430,"KAFFLES (NZ) 1991",
30558,2004-04-14,6,"Riverton","Other","Race","Riverton R.C.","RIVERTON RC 14 APR","Heavy",0,"Fine","True",121096,3,,Flat,1200,"SPEC MDN","CLIVE WILSON COMPUTERS & SHOREFORD ROMNEY STUD HANDICAP",6000.00,13:20:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",0,"Fine",213283,7,7,"Enda Deal","3","g",55.50,6,,,5.50," ","Jack & Jo-Ann Gordon","Ascot Park",,,0.00,"Kalai Selvan",55.50,0.00,0,0,0,"",179785,"WALLENDA (USA) 1990",155896,"RUM DEAL (NZ) 1991",
30558,2004-04-14,6,"Riverton","Other","Race","Riverton R.C.","RIVERTON RC 14 APR","Heavy",0,"Fine","True",121096,3,,Flat,1200,"SPEC MDN","CLIVE WILSON COMPUTERS & SHOREFORD ROMNEY STUD HANDICAP",6000.00,13:20:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",0,"Fine",220657,10,4,"Jay Kash","3","g",55.50,7,,,6.30," ","Kelly Thompson","Ascot Park",,,0.00,"Jamie Bates",55.50,0.00,0,0,0,"",179607,"KASHANI (USA) 1990",170103,"ROCKIN' SWELL (NZ) 1993",
30558,2004-04-14,6,"Riverton","Other","Race","Riverton R.C.","RIVERTON RC 14 APR","Heavy",0,"Fine","True",121096,3,,Flat,1200,"SPEC MDN","CLIVE WILSON COMPUTERS & SHOREFORD ROMNEY STUD HANDICAP",6000.00,13:20:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",0,"Fine",207761,12,8,"Summawave","4","m",54.50,1,1.22.66,,," NECK","Gay Stuart","Ascot Park",,,3750.00,"Lance Robinson",54.50,0.00,0,0,0,"",167565,"SUMAYR (IRE) 1982",166452,"SUMMERLEAZE (NZ) 1992",
30558,2004-04-14,6,"Riverton","Other","Race","Riverton R.C.","RIVERTON RC 14 APR","Heavy",0,"Fine","True",121096,3,,Flat,1200,"SPEC MDN","CLIVE WILSON COMPUTERS & SHOREFORD ROMNEY STUD HANDICAP",6000.00,13:20:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",0,"Fine",210487,13,2,"Vivid","4","m",54.50,9,,,29.60," ","Michael Pitman","Yaldhurst, Riccarton",,,0.00,"Jamie Bullard",54.50,0.00,0,0,0,"",172850,"JETBALL (AUS) 1990",10396,"DEVICE (NZ) 1984",
30558,2004-04-14,6,"Riverton","Other","Race","Riverton R.C.","RIVERTON RC 14 APR","Heavy",0,"Fine","True",121096,3,,Flat,1200,"SPEC MDN","CLIVE WILSON COMPUTERS & SHOREFORD ROMNEY STUD HANDICAP",6000.00,13:20:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",0,"Fine",213729,14,9,"Connie Cairns","3","f",54.00,4,,,3.30," 2 LEN","Sally McKay","Ascot Park",,,300.00,"Steffan Lockie",53.00,1.00,0,0,0,"",179784,"PERSONAL ESCORT (USA) 1991",14446,"GAY ELLERY (NZ) 1984",
30558,2004-04-14,6,"Riverton","Other","Race","Riverton R.C.","RIVERTON RC 14 APR","Heavy",0,"Fine","True",121096,3,,Flat,1200,"SPEC MDN","CLIVE WILSON COMPUTERS & SHOREFORD ROMNEY STUD HANDICAP",6000.00,13:20:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",0,"Fine",216559,15,3,"Roseay","3","f",54.00,2,,,0.30," 1/2 LEN","Leda McNeilly","Winton",,,1200.00,"Terry Moseley",54.00,0.00,0,0,0,"",20688,"KINGDOM BAY (NZ) 1981",206180,"TAJMIL (IRE) 1995",
30558,2004-04-14,6,"Riverton","Other","Race","Riverton R.C.","RIVERTON RC 14 APR","Heavy",0,"Fine","True",121096,3,,Flat,1200,"SPEC MDN","CLIVE WILSON COMPUTERS & SHOREFORD ROMNEY STUD HANDICAP",6000.00,13:20:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",0,"Fine",220529,16,11,"Shann A Mia","3","f",54.00,8,,,28.30," ","Kelly Thompson","Ascot Park",,,0.00,"Judy Lawson",54.00,0.00,0,0,0,"",36725,"SHANNON (NZ) 1983",132286,"THE MEADOWS (NZ) 1989",
30558,2004-04-14,6,"Riverton","Other","Race","Riverton R.C.","RIVERTON RC 14 APR","Heavy",0,"Fine","True",121097,4,,Flat,1200,"OPN HCP","MICO PIPELINES & TELFER DRAINLAYING HANDICAP",8000.00,13:55:00,"N",52.00,"Unrestricted","Open","unrestricted","hcp","Heavy",0,"Fine",175271,1,6,"Mick Ronald","9","g",58.00,6,,,18.70," ","Gary Gibson","Gore",,,0.00,"Tracey Smith",56.00,2.00,0,0,0,"",159452,"EXPLODING PROSPECT (USA) 1986",10389,"DEVASTATE (NZ) 1984",
30558,2004-04-14,6,"Riverton","Other","Race","Riverton R.C.","RIVERTON RC 14 APR","Heavy",0,"Fine","True",121097,4,,Flat,1200,"OPN HCP","MICO PIPELINES & TELFER DRAINLAYING HANDICAP",8000.00,13:55:00,"N",52.00,"Unrestricted","Open","unrestricted","hcp","Heavy",0,"Fine",209681,3,2,"Slinky Planet","4","m",55.00,1,1.18.05,,," 6 LEN","Paul Harris","Woodend Beach",,,5000.00,"Judy Lawson",55.00,0.00,99,0,0,"",198534,"DANEHILL DANCER (IRE) 1993",164334,"NIGHT FLIGHT (NZ) 1992",
30558,2004-04-14,6,"Riverton","Other","Race","Riverton R.C.","RIVERTON RC 14 APR","Heavy",0,"Fine","True",121097,4,,Flat,1200,"OPN HCP","MICO PIPELINES & TELFER DRAINLAYING HANDICAP",8000.00,13:55:00,"N",52.00,"Unrestricted","Open","unrestricted","hcp","Heavy",0,"Fine",192941,5,1,"My Cool Flatley","7","g",53.00,3,,,7.50," HEAD","Nikki Blatch","Tapanui",,,800.00,"Kylie Williams",53.00,0.00,0,0,0,"",159146,"HIGH STEPPER (AUS) 1986",32707,"RAGE UP (NZ) 1985",
30558,2004-04-14,6,"Riverton","Other","Race","Riverton R.C.","RIVERTON RC 14 APR","Heavy",0,"Fine","True",121097,4,,Flat,1200,"OPN HCP","MICO PIPELINES & TELFER DRAINLAYING HANDICAP",8000.00,13:55:00,"N",52.00,"Unrestricted","Open","unrestricted","hcp","Heavy",0,"Fine",189937,6,3,"Mr Kudos","7","g",54.50,5,,,14.20," 4 1/2 LEN","Rebecca Sutorius","Rangiora",,,200.00,"Terry Moseley",54.50,0.00,0,0,0,"",7032,"CENTAINE (AUS) 1980",172559,"VINNY (NZ) 1993",
30558,2004-04-14,6,"Riverton","Other","Race","Riverton R.C.","RIVERTON RC 14 APR","Heavy",0,"Fine","True",121097,4,,Flat,1200,"OPN HCP","MICO PIPELINES & TELFER DRAINLAYING HANDICAP",8000.00,13:55:00,"N",52.00,"Unrestricted","Open","unrestricted","hcp","Heavy",0,"Fine",212560,7,5,"Barney 'O","5","g",52.00,2,,,6.00," 1 1/2 LEN","Gay Stuart","Ascot Park",,,1600.00,"Lance Robinson",52.50,-0.50,0,0,0,"",66268,"ERB PRINZ (USA) 1982",31141,"PIXIE HONEY (NZ) 1984",
30558,2004-04-14,6,"Riverton","Other","Race","Riverton R.C.","RIVERTON RC 14 APR","Heavy",0,"Fine","True",121097,4,,Flat,1200,"OPN HCP","MICO PIPELINES & TELFER DRAINLAYING HANDICAP",8000.00,13:55:00,"N",52.00,"Unrestricted","Open","unrestricted","hcp","Heavy",0,"Fine",196522,8,4,"Kimani","6","g",52.00,4,,,7.70," 6 1/2 LEN","Neil Coulbeck","Leithfield",,,400.00,"Maria Hayston",52.00,0.00,0,0,0,"",179607,"KASHANI (USA) 1990",20519,"KIMANDRA (NZ) 1981",
30558,2004-04-14,6,"Riverton","Other","Race","Riverton R.C.","RIVERTON RC 14 APR","Heavy",0,"Fine","True",121099,5,,Flat,1400,"1-3 WIN","RIVERTON SUPERVALUE & F J SHEARING DRAINAGE 1400",6500.00,14:28:00,"N",52.00,"","","","","Heavy",0,"Fine",199739,1,6,"Jo Annie","6","m",57.00,3,,,1.30," 2 1/4 LEN","Russell McKay","Ashburton",,,650.00,"Steffan Lockie",55.00,2.00,0,0,0,"",69238,"STARJO (NZ) 1982",152538,"BLACK ANNIE (NZ) 1990",
30558,2004-04-14,6,"Riverton","Other","Race","Riverton R.C.","RIVERTON RC 14 APR","Heavy",0,"Fine","True",121099,5,,Flat,1400,"1-3 WIN","RIVERTON SUPERVALUE & F J SHEARING DRAINAGE 1400",6500.00,14:28:00,"N",52.00,"","","","","Heavy",0,"Fine",201732,2,7,"Truly Ascot","5","g",56.50,8,,,11.20," ","Gil Shirley","Ascot Park",,,0.00,"Kalai Selvan",56.50,0.00,0,0,0,"",43330,"TRULY VAIN (AUS) 1979",153324,"ASCOT GOLD (NZ) 1990",
30558,2004-04-14,6,"Riverton","Other","Race","Riverton R.C.","RIVERTON RC 14 APR","Heavy",0,"Fine","True",121099,5,,Flat,1400,"1-3 WIN","RIVERTON SUPERVALUE & F J SHEARING DRAINAGE 1400",6500.00,14:28:00,"N",52.00,"","","","","Heavy",0,"Fine",200019,3,1,"Ganza","5","g",56.00,6,,,4.40," ","Michael Pitman","Yaldhurst, Riccarton",,,0.00,"Kylie Williams",56.00,0.00,0,0,0,"",159391,"LOWELL (USA) 1986",92968,"BONE CHINA (NZ) 1985",
30558,2004-04-14,6,"Riverton","Other","Race","Riverton R.C.","RIVERTON RC 14 APR","Heavy",0,"Fine","True",121099,5,,Flat,1400,"1-3 WIN","RIVERTON SUPERVALUE & F J SHEARING DRAINAGE 1400",6500.00,14:28:00,"N",52.00,"","","","","Heavy",0,"Fine",202714,4,11,"Bernie","5","m",57.00,2,,,0.50," 3/4 LEN","Leda McNeilly","Winton",,,1300.00,"Jamie Bullard",57.00,0.00,0,0,0,"",173798,"HADAAD (USA) 1989",151550,"TSIBLENTO (NZ) 1990",
30558,2004-04-14,6,"Riverton","Other","Race","Riverton R.C.","RIVERTON RC 14 APR","Heavy",0,"Fine","True",121099,5,,Flat,1400,"1-3 WIN","RIVERTON SUPERVALUE & F J SHEARING DRAINAGE 1400",6500.00,14:28:00,"N",52.00,"","","","","Heavy",0,"Fine",185472,5,5,"Guard Mann","8","g",55.50,10,,,27.10," ","Valerie Christophers","Winton",,,0.00,"Judy Lawson",55.50,0.00,0,0,0,"",66273,"KIRMANN (IRE) 1981",23095,"LOCH GUARD (NZ) 1985",
30558,2004-04-14,6,"Riverton","Other","Race","Riverton R.C.","RIVERTON RC 14 APR","Heavy",0,"Fine","True",121099,5,,Flat,1400,"1-3 WIN","RIVERTON SUPERVALUE & F J SHEARING DRAINAGE 1400",6500.00,14:28:00,"N",52.00,"","","","","Heavy",0,"Fine",200063,6,9,"Diablo Law","5","m",54.50,1,1.34.68,,," 1/2 LEN","John & Karen Parsons","Balcairn",,,4065.00,"Maria Hayston",54.50,0.00,0,0,0,"",173458,"JUSTICE PREVAILS (AUS) 1990",146613,"DIABLO GIRL (NZ) 1990",
