<-- Copyright Notice: (c) 2018 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197559,1,,Flat,1200,"2YO SW+P","FOX PINE LOGGING/SOUTHERN RANGITIKEI VETERINARY SERVICES 2YO",22500.00,12:02:00,"N",,"2yo","Open","unrestricted","sw+p","Heavy",11,"Showery",346223,2,6,"Jon Wick","2","g",57.00,7,1.20.35,0.42.69,11.20," ","Shaune Ritchie","Cambridge",4.90,0.00,0.00,"Cameron Lammas",57.00,0.00,47,0,0,"Approved Plates, Lugging Bit, Blinkers (1st time)",278342,"THEWAYYOUARE (USA) 2005",240437,"CASABELLA LANE (NZ) 2004",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197559,1,,Flat,1200,"2YO SW+P","FOX PINE LOGGING/SOUTHERN RANGITIKEI VETERINARY SERVICES 2YO",22500.00,12:02:00,"N",,"2yo","Open","unrestricted","sw+p","Heavy",11,"Showery",346788,3,7,"Atenartin","2","g",57.00,3,1.19.12,0.41.22,3.70," 1/2 HEAD","Matthew Eales","Awapuni",26.30,4.40,2250.00,"Danielle Hirini",55.00,2.00,46,0,0,"Approved Plates, Lugging Bit, Blinkers, Nose Band",287687,"SHOWCASING (GB) 2007",249203,"FUDGE (NZ) 2005",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197559,1,,Flat,1200,"2YO SW+P","FOX PINE LOGGING/SOUTHERN RANGITIKEI VETERINARY SERVICES 2YO",22500.00,12:02:00,"N",,"2yo","Open","unrestricted","sw+p","Heavy",11,"Showery",348314,4,8,"Derecho","2","g",57.00,5,1.19.76,0.40.72,7.60," NECK","Matthew Eales","Awapuni",43.00,0.00,565.00,"Sarah MacNab",55.00,2.00,45,0,0,"Approved Plates, Lugging Bit, Side Winkers (1st time)",337159,"SIZZLING (AUS) 2009",337820,"SEATTLE STORM (AUS) 2009",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197559,1,,Flat,1200,"2YO SW+P","FOX PINE LOGGING/SOUTHERN RANGITIKEI VETERINARY SERVICES 2YO",22500.00,12:02:00,"N",,"2yo","Open","unrestricted","sw+p","Heavy",11,"Showery",363677,5,2,"Got The Call","2","f",55.00,8,1.20.55,0.42.38,12.20," ","Gary Vile","Awapuni",5.10,0.00,0.00,"Wiremu Pinn",51.00,4.00,50,0,0,"Approved Plates, Lugging Bit",268744,"BURGUNDY (NZ) 2008",252729,"ANOTHER CALL (NZ) 2006",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197559,1,,Flat,1200,"2YO SW+P","FOX PINE LOGGING/SOUTHERN RANGITIKEI VETERINARY SERVICES 2YO",22500.00,12:02:00,"N",,"2yo","Open","unrestricted","sw+p","Heavy",11,"Showery",344409,6,5,"Just Fabulous","2","f",55.00,4,1.19.15,0.40.93,3.80," 3 3/4 LEN","Roydon Bergerson","Awapuni",7.40,0.00,1125.00,"Rosie Myers",55.00,0.00,49,0,0,"Approved Plates, Tongue Control Bit (1st time)",172521,"O'REILLY (NZ) 1993",253261,"FABULIST (NZ) 2006",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197559,1,,Flat,1200,"2YO SW+P","FOX PINE LOGGING/SOUTHERN RANGITIKEI VETERINARY SERVICES 2YO",22500.00,12:02:00,"N",,"2yo","Open","unrestricted","sw+p","Heavy",11,"Showery",350247,7,4,"Platinum Rapper","2","f",55.00,1,1.18.51,0.40.10,," LONG NECK","Lisa Latta","Awapuni",2.50,1.30,14060.00,"Kelly McCulloch",55.00,0.00,47,0,0,"Approved Plates, Lugging Bit",287689,"MAKFI (GB) 2007",252406,"WEDNESDAY ROCKS (NZ) 2006",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197559,1,,Flat,1200,"2YO SW+P","FOX PINE LOGGING/SOUTHERN RANGITIKEI VETERINARY SERVICES 2YO",22500.00,12:02:00,"N",,"2yo","Open","unrestricted","sw+p","Heavy",11,"Showery",346887,8,1,"Sentimental Miss","2","f",55.00,2,1.18.59,0.40.46,0.40," 3 1/4 LEN","Lisa Latta","Awapuni",7.10,1.70,4500.00,"Lisa Allpress",55.00,0.00,47,0,0,"Approved Plates, Lugging Bit",313564,"RELIABLE MAN (GB) 2008",280148,"NOSTALGIC (AUS) 1999",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197559,1,,Flat,1200,"2YO SW+P","FOX PINE LOGGING/SOUTHERN RANGITIKEI VETERINARY SERVICES 2YO",22500.00,12:02:00,"N",,"2yo","Open","unrestricted","sw+p","Heavy",11,"Showery",347813,9,3,"Quintana","2","f",55.00,6,1.19.83,0.41.11,7.90," ","Team Rogerson","Tuhikaramea",18.40,0.00,0.00,"Masa Tanaka",55.00,0.00,45,0,0,"Approved Plates, Lugging Bit",244799,"DUELLED (AUS) 2002",203323,"CAREYES (NZ) 1998",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197558,2,,Flat,1400,"MDN","WAITOMO PETROLEUM/ ROADRUNNER MANUFACTURING NZ MAIDEN",10000.00,12:37:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Showery",314938,1,5,"Flagdown","5","g",58.50,4,1.34.04,0.39.32,10.30," 1 3/4 LEN","Stacey Dougan","Opaki",14.20,0.00,500.00,"Dylan Turner",58.50,0.00,49,0,0,"Approved Plates, Concussion Plates (Front), Lugging Bit, Side Winkers, Bandages (1st time)",277609,"RAISE THE FLAG (GB) 2005",238606,"SEA MAID (NZ) 2002",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197558,2,,Flat,1400,"MDN","WAITOMO PETROLEUM/ ROADRUNNER MANUFACTURING NZ MAIDEN",10000.00,12:37:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Showery",330040,2,7,"Yakety Yak","3","g",58.50,1,1.32.31,0.37.91,," 1/2 NECK","Kevin Gray","Copper Belt Lodge, Palmerston North",7.20,1.90,6250.00,"Johnathan Parkes",58.50,0.00,49,0,0,"Approved Plates, Lugging Bit, Tongue Tie",278260,"ROAD TO ROCK (AUS) 2004",220761,"KATIE'S DREAM (NZ) 2001",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197558,2,,Flat,1400,"MDN","WAITOMO PETROLEUM/ ROADRUNNER MANUFACTURING NZ MAIDEN",10000.00,12:37:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Showery",331225,3,1,"Mitjavile","3","g",58.50,6,1.34.43,0.39.90,12.60," ","Lisa Anderson","Matamata",12.40,0.00,0.00,"Cameron Lammas",58.50,0.00,47,0,0,"Approved Plates, Lugging Bit",242640,"ROC DE CAMBES (NZ) 2004",234133,"BLINK (NZ) 2003",
