<-- Copyright Notice: (c) 2018 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
46646,2018-06-23,2,"Tauranga","Premier 2","Race","Racing Tauranga","RACING TAURANGA 23 JUN","Heavy",11,"Fine","True | Raining | 11mm Rain Overnight",197374,1,,Flat,1400,"3YO SW+P","SANPELLEGRINO 3YO PREMIER",25000.00,12:25:00,"N",,"3yo","Open","unrestricted","sw+p","Heavy",11,"Fine",327798,1,7,"Socially Excited","3","g",57.50,7,1.31.92,0.40.84,17.80," ","Murray Baker & Andrew Forsman","Cambridge",4.10,0.00,0.00,"Matthew Cameron",57.50,0.00,64,0,0,"Approved Plates, Lugging Bit, Blinkers",215366,"FALKIRK (NZ) 2000",217621,"SATIN GOLD (NZ) 2000",
46646,2018-06-23,2,"Tauranga","Premier 2","Race","Racing Tauranga","RACING TAURANGA 23 JUN","Heavy",11,"Fine","True | Raining | 11mm Rain Overnight",197374,1,,Flat,1400,"3YO SW+P","SANPELLEGRINO 3YO PREMIER",25000.00,12:25:00,"N",,"3yo","Open","unrestricted","sw+p","Heavy",11,"Fine",334137,2,6,"Comeback","3","g",57.50,3,1.29.14,0.38.47,1.00," NOSE","Team Rogerson","Tuhikaramea",6.70,0.00,2500.00,"Ryan Elliot",56.50,1.00,63,0,0,"Approved Plates, Lugging Bit, Side Winkers",287689,"MAKFI (GB) 2007",277814,"INTELLIGENTSIA (AUS) 2005",
46646,2018-06-23,2,"Tauranga","Premier 2","Race","Racing Tauranga","RACING TAURANGA 23 JUN","Heavy",11,"Fine","True | Raining | 11mm Rain Overnight",197374,1,,Flat,1400,"3YO SW+P","SANPELLEGRINO 3YO PREMIER",25000.00,12:25:00,"N",,"3yo","Open","unrestricted","sw+p","Heavy",11,"Fine",326745,3,4,"Te Toro Pearl","3","f",56.50,1,1.28.96,0.38.44,," 3/4 LEN","Jon Miller","Cambridge",4.80,2.50,15625.00,"Michael Coleman",56.50,0.00,67,0,0,"Approved Plates, Lugging Bit",300510,"BULLBARS (AUS) 2007",251629,"TE TORO LASS (NZ) 2006",
46646,2018-06-23,2,"Tauranga","Premier 2","Race","Racing Tauranga","RACING TAURANGA 23 JUN","Heavy",11,"Fine","True | Raining | 11mm Rain Overnight",197374,1,,Flat,1400,"3YO SW+P","SANPELLEGRINO 3YO PREMIER",25000.00,12:25:00,"N",,"3yo","Open","unrestricted","sw+p","Heavy",11,"Fine",336889,4,1,"Leaf","3","g",56.00,5,1.29.40,0.38.72,2.60," 3 3/4 LEN","Karen Nicholson","Te Awamutu",12.00,0.00,625.00,"Samantha Collett",56.00,0.00,54,0,0,"Approved Plates, Lugging Bit, Blinkers",222919,"KEEPER (AUS) 1997",213646,"WAITUI PEARL (NZ) 2000",
46646,2018-06-23,2,"Tauranga","Premier 2","Race","Racing Tauranga","RACING TAURANGA 23 JUN","Heavy",11,"Fine","True | Raining | 11mm Rain Overnight",197374,1,,Flat,1400,"3YO SW+P","SANPELLEGRINO 3YO PREMIER",25000.00,12:25:00,"N",,"3yo","Open","unrestricted","sw+p","Heavy",11,"Fine",328495,5,5,"Come Back Tiger","3","g",56.00,4,1.29.15,0.38.24,1.10," 1 1/2 LEN","Peter Huxtable","Tauranga",12.00,0.00,1250.00,"Cameron Lammas",56.00,0.00,53,0,0,"Approved Plates, Lugging Bit",277655,"TIGER PRAWN (SAF) 2002",234710,"NEIL SUDURKA (NZ) 2003",
46646,2018-06-23,2,"Tauranga","Premier 2","Race","Racing Tauranga","RACING TAURANGA 23 JUN","Heavy",11,"Fine","True | Raining | 11mm Rain Overnight",197374,1,,Flat,1400,"3YO SW+P","SANPELLEGRINO 3YO PREMIER",25000.00,12:25:00,"N",,"3yo","Open","unrestricted","sw+p","Heavy",11,"Fine",327460,6,3,"Blanco Belle","3","f",55.50,2,1.29.10,0.38.64,0.80," LONG HEAD","Susan Rainford","New Plymouth",3.00,1.90,5000.00,"Kate Cowan",52.50,3.00,68,0,0,"Approved Plates, Lugging Bit, Barrier Blanket",301053,"CAPE BLANCO (IRE) 2007",249341,"MONDUE (NZ) 2005",
46646,2018-06-23,2,"Tauranga","Premier 2","Race","Racing Tauranga","RACING TAURANGA 23 JUN","Heavy",11,"Fine","True | Raining | 11mm Rain Overnight",197374,1,,Flat,1400,"3YO SW+P","SANPELLEGRINO 3YO PREMIER",25000.00,12:25:00,"N",,"3yo","Open","unrestricted","sw+p","Heavy",11,"Fine",331531,7,2,"Ego Princess","3","f",55.50,6,1.29.97,0.39.53,6.40," ","Noel Allen","Byerley Park",11.60,0.00,0.00,"Lisa Allpress",55.50,0.00,62,0,0,"Approved Plates, Lugging Bit, Blinkers, Nasal Strip, Nose Band",247685,"EGO (NZ) 2005",226627,"MOUNT ALBERT LIONS (NZ) 2002",
46646,2018-06-23,2,"Tauranga","Premier 2","Race","Racing Tauranga","RACING TAURANGA 23 JUN","Heavy",11,"Fine","True | Raining | 11mm Rain Overnight",197370,2,,Flat,1200,"Rating 85 Benchmark","AONGATETE COOLSTORES LIMITED PREMIER",30000.00,12:56:00,"N",54.00,"Unrestricted","Rating 85","unrestricted","hcp","Heavy",11,"Fine",363914,3,7,"Kitaya (IRE)","8","g",57.00,7,1.15.43,0.37.84,7.00," ","Danica Guy","Matamata",9.30,0.00,0.00,"Rebecca Scott",53.00,4.00,79,0,0,"Approved Plates, Lugging Bit, Tongue Tie",363915,"LAWMAN (FR) 2004",363917,"DOOKUS (IRE) 2005",
46646,2018-06-23,2,"Tauranga","Premier 2","Race","Racing Tauranga","RACING TAURANGA 23 JUN","Heavy",11,"Fine","True | Raining | 11mm Rain Overnight",197370,2,,Flat,1200,"Rating 85 Benchmark","AONGATETE COOLSTORES LIMITED PREMIER",30000.00,12:56:00,"N",54.00,"Unrestricted","Rating 85","unrestricted","hcp","Heavy",11,"Fine",306017,4,5,"Sleeping Beauty","5","m",56.50,1,1.14.33,0.37.02,," 3/4 LEN","Lance O'Sullivan & Andrew Scott","Matamata",3.80,2.10,18750.00,"Taiki Yanagida",52.50,4.00,82,0,0,"Approved Plates, Lugging Bit",287683,"RIP VAN WINKLE (IRE) 2006",187664,"KAILEY PRINCESS (AUS) 1992",
46646,2018-06-23,2,"Tauranga","Premier 2","Race","Racing Tauranga","RACING TAURANGA 23 JUN","Heavy",11,"Fine","True | Raining | 11mm Rain Overnight",197370,2,,Flat,1200,"Rating 85 Benchmark","AONGATETE COOLSTORES LIMITED PREMIER",30000.00,12:56:00,"N",54.00,"Unrestricted","Rating 85","unrestricted","hcp","Heavy",11,"Fine",304844,5,2,"Perfect Harmonee","5","g",56.50,5,1.14.91,0.37.40,3.50," 1 1/4 LEN","Evan & J J Rayner","Wanganui",3.60,0.00,750.00,"Lisa Allpress",56.50,0.00,78,0,0,"Approved Plates, Lugging Bit, Blinkers",261934,"NADEEM (AUS) 2003",252374,"HARMONY (NZ) 2006",
46646,2018-06-23,2,"Tauranga","Premier 2","Race","Racing Tauranga","RACING TAURANGA 23 JUN","Heavy",11,"Fine","True | Raining | 11mm Rain Overnight",197370,2,,Flat,1200,"Rating 85 Benchmark","AONGATETE COOLSTORES LIMITED PREMIER",30000.00,12:56:00,"N",54.00,"Unrestricted","Rating 85","unrestricted","hcp","Heavy",11,"Fine",299544,6,1,"Temple Tiger","6","g",55.00,2,1.14.48,0.37.22,0.80," 1 1/4 LEN","Gary Hennessy","Matamata",5.80,2.90,6000.00,"Jasmine Fawcett",53.00,2.00,75,0,0,"Approved Plates, Standard Bit, Blinkers, Nose Band",277655,"TIGER PRAWN (SAF) 2002",213440,"SUZIE TEMPLE (NZ) 2000",
