<-- Copyright Notice: (c) 2018 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197457,1,,Flat,1200,"MDN","WESTMERE 1200",10000.00,12:12:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Showery",315805,1,7,"Tryfan","4","g",58.50,1,1.18.72,0.40.61,," NOSE","Annabelle Johnson","Pukekohe Park",2.40,1.30,6250.00,"Samantha Collett",58.50,0.00,54,0,0,"Approved Plates, Lugging Bit",287689,"MAKFI (GB) 2007",270579,"KATMAI (AUS) 2003",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197457,1,,Flat,1200,"MDN","WESTMERE 1200",10000.00,12:12:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Showery",351811,2,6,"English Gambler (AUS)","3","g",58.50,2,1.18.73,0.40.78,0.10," 1/2 LEN","Lauren Brennan","Cambridge",3.20,1.40,2000.00,"Jonathan Riddell",58.50,0.00,52,0,0,"Approved Plates, Lugging Bit, Tongue Tie",253420,"CASINO PRINCE (AUS) 2003",351812,"CHRISTMAS DAY (AUS) 2007",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197457,1,,Flat,1200,"MDN","WESTMERE 1200",10000.00,12:12:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Showery",307785,3,10,"Pushka","5","g",58.50,6,1.19.35,0.40.73,3.30," ","George Merkulov","Muriwai Beach",70.40,0.00,0.00,"Rebecca Scott",54.50,4.00,49,0,0,"Approved Plates, Lugging Bit",245781,"SUFFICIENT (NZ) 2005",170626,"LA ROUSSET (NZ) 1993",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197457,1,,Flat,1200,"MDN","WESTMERE 1200",10000.00,12:12:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Showery",337759,5,4,"I Walk Alone","3","g",58.50,3,1.18.83,0.41.05,0.60," HEAD","Brent Gillovic","Te Awamutu",9.60,2.40,1000.00,"Lynsey Satherley",58.50,0.00,47,0,0,"Approved Plates, Lugging Bit",300510,"BULLBARS (AUS) 2007",217079,"BOULEVARDOFDREAMS (NZ) 2000",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197457,1,,Flat,1200,"MDN","WESTMERE 1200",10000.00,12:12:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Showery",332407,6,8,"Piggy Malone","3","g",58.50,8,1.20.58,0.43.17,9.90," ","Davina Waddell","Avondale",14.30,0.00,0.00,"Lisa Allpress",58.50,0.00,47,0,0,"Approved Plates, Lugging Bit",242513,"GUILLOTINE (NZ) 2004",237380,"COURTING (NZ) 2003",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197457,1,,Flat,1200,"MDN","WESTMERE 1200",10000.00,12:12:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Showery",324864,8,13,"Theonlyway","4","g",58.50,4,1.18.86,0.40.81,0.80," LONG HEAD","Nigel Tiley","Pukekohe",20.80,0.00,500.00,"Wiremu Pinn",55.50,3.00,45,0,0,"Approved Plates, Lugging Bit",278342,"THEWAYYOUARE (USA) 2005",263347,"SACSAYHUAMAN (AUS) 2007",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197457,1,,Flat,1200,"MDN","WESTMERE 1200",10000.00,12:12:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Showery",334453,10,1,"Secret Angel","3","f",56.50,5,1.18.90,0.41.49,1.00," 2 1/4 LEN","Noel Allen","Byerley Park",23.70,0.00,250.00,"Trudy Thornton",56.50,0.00,51,0,0,"Approved Plates, Lugging Bit, Blinkers, Nasal Strip",247685,"EGO (NZ) 2005",223353,"LAURETTE (NZ) 2001",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197457,1,,Flat,1200,"MDN","WESTMERE 1200",10000.00,12:12:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Showery",333373,12,5,"Scorched Earth","3","f",56.50,9,1.20.71,0.42.93,10.60," ","Stephen Marsh","Cambridge",22.80,0.00,0.00,"Taiki Yanagida",52.50,4.00,47,0,0,"Approved Plates, Lugging Bit",211629,"PINS (AUS) 1996",239669,"TURF FIRE (NZ) 2004",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197457,1,,Flat,1200,"MDN","WESTMERE 1200",10000.00,12:12:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Showery",327416,13,11,"Slice 'N Dice","3","f",56.50,12,1.26.30,0.45.49,40.70," ","Christopher Gibbs & Michelle Bradley","Ruakaka",14.60,0.00,0.00,"Matthew Cameron",56.50,0.00,47,0,0,"Approved Plates, Lugging Bit",242513,"GUILLOTINE (NZ) 2004",227667,"DANNESS (NZ) 2002",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197457,1,,Flat,1200,"MDN","WESTMERE 1200",10000.00,12:12:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Showery",328795,14,9,"Lowprofile","3","f",56.50,7,1.19.60,0.41.27,4.70," ","Stephen Marsh","Cambridge",40.10,0.00,0.00,"Bridget Grylls",56.50,0.00,45,0,0,"Approved Plates, Lugging Bit",248656,"TAVISTOCK (NZ) 2005",222821,"CROSS EXAMINE (NZ) 2001",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197457,1,,Flat,1200,"MDN","WESTMERE 1200",10000.00,12:12:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Showery",323296,16,3,"Tuff Girl","4","m",56.50,11,1.24.54,0.45.13,31.20," ","Team Rogerson","Tuhikaramea",19.50,0.00,0.00,"Chris Johnson",56.50,0.00,45,0,0,"Approved Plates, Lugging Bit, Blinkers, Tongue Tie (1st time)",300510,"BULLBARS (AUS) 2007",207653,"DEAUTCHE EXPRESS (NZ) 1999",
