<-- Copyright Notice: (c) 2018 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198332,1,,Flat,1600,"MDN","RBC RACING 1600",10000.00,12:35:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Raining",318254,1,14,"Argyll","5","g",58.50,4,1.46.80,0.41.36,0.80," SHORT HEAD","Ben Foote","Cambridge",15.20,0.00,500.00,"Sam Weatherley",58.50,0.00,52,0,0,"Approved Plates, Lugging Bit",255627,"GALLANT GURU (AUS) 2002",226955,"POLITIC (NZ) 2002",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198332,1,,Flat,1600,"MDN","RBC RACING 1600",10000.00,12:35:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Raining",351894,2,5,"Go Go Goal (AUS)","4","g",58.50,10,1.50.59,0.44.84,22.30," ","Murray Baker & Andrew Forsman","Cambridge",3.80,0.00,0.00,"Matthew Cameron",58.50,0.00,52,0,0,"Approved Plates, Lugging Bit",238756,"STREET CRY (IRE) 1998",351895,"NOTJUSTAPRETTYFACE (AUS) 2007",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198332,1,,Flat,1600,"MDN","RBC RACING 1600",10000.00,12:35:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Raining",331642,3,8,"Hunua Hank","4","g",58.50,2,1.46.67,0.40.44,0.20," LONG NECK","Nigel Tiley","Pukekohe",5.50,1.80,2000.00,"Kate Cowan",55.50,3.00,52,0,0,"Approved Plates, Standard Bit",193564,"PENTIRE (GB) 1992",210165,"DEVANT (NZ) 1999",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198332,1,,Flat,1600,"MDN","RBC RACING 1600",10000.00,12:35:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Raining",316256,4,7,"Captain Courier","5","g",58.50,7,1.47.24,0.40.81,3.80," ","Chris Bothwell","Stratford",17.10,0.00,0.00,"Bridget Grylls",58.50,0.00,50,0,0,"Approved Plates, Lugging Bit",238708,"CAPTAIN RIO (GB) 1999",218526,"ANN ECHO (NZ) 2000",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198332,1,,Flat,1600,"MDN","RBC RACING 1600",10000.00,12:35:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Raining",331287,5,3,"Azabeat","4","g",58.50,8,1.48.50,0.42.50,10.70," ","Wayne Hillis","Matamata",5.70,0.00,0.00,"Cameron Lammas",58.50,0.00,46,0,0,"Approved Plates, Lugging Bit",269429,"AZAMOUR (IRE) 2001",251774,"ART BEAT (NZ) 2006",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198332,1,,Flat,1600,"MDN","RBC RACING 1600",10000.00,12:35:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Raining",318392,8,9,"Kipling","5","g",58.50,6,1.47.23,0.42.04,3.70," ","John Mason","Tokoroa",35.00,0.00,0.00,"Trudy Thornton",58.50,0.00,45,0,0,"Approved Plates, Lugging Bit",287683,"RIP VAN WINKLE (IRE) 2006",241144,"SING SONG GIRL (NZ) 2004",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198332,1,,Flat,1600,"MDN","RBC RACING 1600",10000.00,12:35:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Raining",329462,9,1,"Roschana","4","m",56.50,1,1.46.63,0.40.92,," LONG HEAD","Chris Bothwell","Stratford",8.20,2.20,6250.00,"Sam Spratt",56.50,0.00,52,0,0,"Approved Plates (Front), Hoof Pads (Hind) (1st time), Lugging Bit",278260,"ROAD TO ROCK (AUS) 2004",252460,"JOYPOLOY (NZ) 2006",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198332,1,,Flat,1600,"MDN","RBC RACING 1600",10000.00,12:35:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Raining",331739,10,11,"Aftershock","4","m",56.50,11,1.51.14,0.44.62,25.30," ","Moira & Kieran Murdoch","Pukekohe Park",22.10,0.00,0.00,"Darren Danis",53.50,3.00,51,0,0,"Approved Plates, Lugging Bit, Tongue Tie",287450,"SHOCKING (AUS) 2005",241195,"SPANISH LULLABY (NZ) 2004",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198332,1,,Flat,1600,"MDN","RBC RACING 1600",10000.00,12:35:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Raining",337642,11,4,"Crossed My Mind","4","m",56.50,9,1.50.46,0.44.60,21.50," ","Michael Moroney & Pam Gerard","Matamata",9.00,0.00,0.00,"Jake Bayliss",56.50,0.00,50,0,0,"Approved Plates, Lugging Bit, Tongue Tie (1st time)",226925,"ZED (NZ) 2002",264820,"THE LIONS RULE (NZ) 2008",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198332,1,,Flat,1600,"MDN","RBC RACING 1600",10000.00,12:35:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Raining",335788,12,6,"Vainglory","4","m",56.50,5,1.46.82,0.40.92,0.90," 2 3/4 LEN","Cody Cole","Matamata",15.20,0.00,250.00,"Andrew Calder",56.50,0.00,50,0,0,"Approved Plates, Lugging Bit",287689,"MAKFI (GB) 2007",212726,"RISIBLE (NZ) 1999",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198332,1,,Flat,1600,"MDN","RBC RACING 1600",10000.00,12:35:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Raining",336124,13,13,"Avoca Dawn","4","m",56.50,12,1.51.65,0.45.02,28.10," ","Mark Brosnan","Matamata",57.00,0.00,0.00,"Lynsey Satherley",56.50,0.00,46,0,0,"Approved Plates, Lugging Bit",238720,"EKRAAR (USA) 1997",272992,"SO ELITE (NZ) 2009",
