<-- Copyright Notice: (c) 2018 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
47251,2018-09-26,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 26 SEP","Slow",7,"Cloudy","Out 11m | 1mm Rain Overnight | 4mm Rain Last 24 Hours",198420,1,,Flat,1600,"MDN","SAM WEATHERLEY CHAMPION APPRENTICE 1600",10000.00,12:32:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Cloudy",334758,2,7,"Go For Dough","4","g",58.50,13,1.40.89,0.39.54,18.70," ","Todd Mitchell","Cambridge",7.00,0.00,0.00,"Michael Coleman",58.50,0.00,53,0,0,"Hoof Pads (1st time), Lugging Bit, Blinkers on",257403,"HE'S REMARKABLE (NZ) 2007",263347,"SACSAYHUAMAN (AUS) 2007",
47251,2018-09-26,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 26 SEP","Slow",7,"Cloudy","Out 11m | 1mm Rain Overnight | 4mm Rain Last 24 Hours",198420,1,,Flat,1600,"MDN","SAM WEATHERLEY CHAMPION APPRENTICE 1600",10000.00,12:32:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Cloudy",317135,3,3,"Sure He Can","5","g",58.50,4,1.38.36,0.39.13,3.20," SHORT HEAD","Wayne Hillis","Matamata",4.60,0.00,500.00,"Matthew Cameron",58.50,0.00,53,0,0,"Approved Plates, Lugging Bit, Visor Blinkers",255989,"IFFRAAJ (GB) 2001",214675,"MULTI TASKER (NZ) 2000",
47251,2018-09-26,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 26 SEP","Slow",7,"Cloudy","Out 11m | 1mm Rain Overnight | 4mm Rain Last 24 Hours",198420,1,,Flat,1600,"MDN","SAM WEATHERLEY CHAMPION APPRENTICE 1600",10000.00,12:32:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Cloudy",299965,5,11,"Neddy Nadeem (AUS)","7","g",58.50,6,1.38.71,0.39.28,5.60," ","Scott Wenn","Te Aroha",30.70,0.00,0.00,"Sam Spratt",58.50,0.00,51,0,0,"Approved Plates, Lugging Bit, Blinkers",261934,"NADEEM (AUS) 2003",241863,"HONORJEU (NZ) 2004",
47251,2018-09-26,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 26 SEP","Slow",7,"Cloudy","Out 11m | 1mm Rain Overnight | 4mm Rain Last 24 Hours",198420,1,,Flat,1600,"MDN","SAM WEATHERLEY CHAMPION APPRENTICE 1600",10000.00,12:32:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Cloudy",333718,6,8,"Life Jacket","4","g",58.50,11,1.39.30,0.39.21,9.20," ","Nicholas Bishara","Ardmore Lodge",8.50,0.00,0.00,"Rowena Smyth",58.50,0.00,50,0,0,"Approved Plates, Lugging Bit, Blinkers, Nasal Strip, Tongue Tie",253399,"REMIND (USA) 2000",220572,"KAYTEE (NZ) 2001",
47251,2018-09-26,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 26 SEP","Slow",7,"Cloudy","Out 11m | 1mm Rain Overnight | 4mm Rain Last 24 Hours",198420,1,,Flat,1600,"MDN","SAM WEATHERLEY CHAMPION APPRENTICE 1600",10000.00,12:32:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Cloudy",328081,7,5,"Katie Perrie","4","m",56.50,1,1.37.81,0.37.98,," LONG HEAD","Jim Collett","Matamata",6.90,2.30,6250.00,"Reese Jones",56.50,0.00,53,0,0,"Ear Covers Pre-Race on, Approved Plates, Lugging Bit, Barrier Blanket (1st time)",264625,"ROCK 'N' POP (AUS) 2008",278954,"FRENCH LION (AUS) 2006",
47251,2018-09-26,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 26 SEP","Slow",7,"Cloudy","Out 11m | 1mm Rain Overnight | 4mm Rain Last 24 Hours",198420,1,,Flat,1600,"MDN","SAM WEATHERLEY CHAMPION APPRENTICE 1600",10000.00,12:32:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Cloudy",331637,8,6,"Chiara","4","m",56.50,10,1.39.19,0.39.08,8.50," ","Stephen Marsh","Cambridge",9.60,0.00,0.00,"Danielle Johnson",56.50,0.00,49,0,0,"Approved Plates, Lugging Bit",193564,"PENTIRE (GB) 1992",269726,"SHEGRA (AUS) 2003",
47251,2018-09-26,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 26 SEP","Slow",7,"Cloudy","Out 11m | 1mm Rain Overnight | 4mm Rain Last 24 Hours",198420,1,,Flat,1600,"MDN","SAM WEATHERLEY CHAMPION APPRENTICE 1600",10000.00,12:32:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Cloudy",337642,9,4,"Crossed My Mind","4","m",56.50,9,1.39.04,0.39.08,7.60," ","Michael Moroney & Pam Gerard","Matamata",20.40,0.00,0.00,"Jake Bayliss",56.50,0.00,49,0,0,"Approved Plates, Lugging Bit, Tongue Tie",226925,"ZED (NZ) 2002",264820,"THE LIONS RULE (NZ) 2008",
47251,2018-09-26,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 26 SEP","Slow",7,"Cloudy","Out 11m | 1mm Rain Overnight | 4mm Rain Last 24 Hours",198420,1,,Flat,1600,"MDN","SAM WEATHERLEY CHAMPION APPRENTICE 1600",10000.00,12:32:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Cloudy",322506,10,10,"Flying Fantasia","5","m",56.50,7,1.38.81,0.38.92,6.20," ","Ernie Griffiths","Te Aroha",9.50,0.00,0.00,"Jordan Nason",56.50,0.00,46,0,0,"Approved Plates, Lugging Bit",215366,"FALKIRK (NZ) 2000",209754,"ALCINA (NZ) 1999",
47251,2018-09-26,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 26 SEP","Slow",7,"Cloudy","Out 11m | 1mm Rain Overnight | 4mm Rain Last 24 Hours",198420,1,,Flat,1600,"MDN","SAM WEATHERLEY CHAMPION APPRENTICE 1600",10000.00,12:32:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Cloudy",324941,11,13,"Keepella Heights","5","m",56.50,12,1.40.53,0.40.41,16.50," ","Simon Rees","Morrinsville",65.60,0.00,0.00,"Lynsey Satherley",56.50,0.00,45,0,0,"Approved Plates, Lugging Bit",222919,"KEEPER (AUS) 1997",223938,"SENORITA HEIGHTS (NZ) 2001",
47251,2018-09-26,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 26 SEP","Slow",7,"Cloudy","Out 11m | 1mm Rain Overnight | 4mm Rain Last 24 Hours",198420,1,,Flat,1600,"MDN","SAM WEATHERLEY CHAMPION APPRENTICE 1600",10000.00,12:32:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Cloudy",327678,12,1,"Lilium","4","m",56.50,14,1.41.25,0.40.60,20.80," ","Roger James & Robert Wellwood","Cambridge",27.00,0.00,0.00,"Vinnie Colgan",56.50,0.00,45,0,0,"Approved Plates, Lugging Bit, Blinkers",300223,"ZACINTO (GB) 2006",248558,"MARZIA (NZ) 2005",
47251,2018-09-26,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 26 SEP","Slow",7,"Cloudy","Out 11m | 1mm Rain Overnight | 4mm Rain Last 24 Hours",198420,1,,Flat,1600,"MDN","SAM WEATHERLEY CHAMPION APPRENTICE 1600",10000.00,12:32:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Cloudy",353220,13,2,"Beastmode (AUS)","3","g",56.00,5,1.38.38,0.38.99,3.30," 2 1/4 LEN","Andrew Campbell","Cambridge",9.70,0.00,250.00,"Trudy Thornton",56.00,0.00,51,0,0,"Approved Plates, Lugging Bit, Blinkers (1st time), Tongue Tie",288589,"SPIRIT OF BOOM (AUS) 2007",353221,"DAZZLING DISPLAY (AUS) 2008",
