<-- Copyright Notice: (c) 2018 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
47385,2018-11-24,2,"Pukekohe Park","Premier 1","Race","Counties RC","COUNTIES RC 24 NOV","Slow",7,"Showery","True | 5mm Rain Overnight | Further Rain Forecast | Previously Dead 5",199669,1,,Flat,2400,"Rating 82 Benchmark","MOUNT SHOP 2400",30000.00,12:10:00,"N",54.00,"Unrestricted","Rating 82","unrestricted","hcp","Slow",7,"Showery",306515,1,4,"Roger That","6","g",59.00,1,2.35.63,0.36.73,," 1/2 LEN","Antony Fuller","Tauranga",7.80,2.70,18750.00,"Samantha Collett",59.00,0.00,80,0,0,"Approved Plates, Lugging Bit",199454,"SHINKO KING (IRE) 1991",247474,"HEATHER LYN (NZ) 2005",
47385,2018-11-24,2,"Pukekohe Park","Premier 1","Race","Counties RC","COUNTIES RC 24 NOV","Slow",7,"Showery","True | 5mm Rain Overnight | Further Rain Forecast | Previously Dead 5",199669,1,,Flat,2400,"Rating 82 Benchmark","MOUNT SHOP 2400",30000.00,12:10:00,"N",54.00,"Unrestricted","Rating 82","unrestricted","hcp","Slow",7,"Showery",300260,2,7,"Rough Cut","7","g",57.50,P,,,," ","Scott Wenn","Te Aroha",9.50,0.00,0.00,"Michael Coleman",57.50,0.00,77,0,0,"Approved Plates, Lugging Bit, Blinkers",232644,"ARIES DIAMOND (SAF) 1997",223490,"LADY JUMBLE (NZ) 2001",
47385,2018-11-24,2,"Pukekohe Park","Premier 1","Race","Counties RC","COUNTIES RC 24 NOV","Slow",7,"Showery","True | 5mm Rain Overnight | Further Rain Forecast | Previously Dead 5",199669,1,,Flat,2400,"Rating 82 Benchmark","MOUNT SHOP 2400",30000.00,12:10:00,"N",54.00,"Unrestricted","Rating 82","unrestricted","hcp","Slow",7,"Showery",317260,3,8,"Suliman","5","g",57.50,7,2.37.51,0.38.22,12.60," ","Graham Richardson & Gavin Parker","Matamata",7.80,0.00,0.00,"Cameron Lammas",57.50,0.00,77,0,0,"Approved Plates, Lugging Bit, Blinkers",301937,"REDWOOD (GB) 2006",242409,"RED MARIETE (AUS) 2000",
47385,2018-11-24,2,"Pukekohe Park","Premier 1","Race","Counties RC","COUNTIES RC 24 NOV","Slow",7,"Showery","True | 5mm Rain Overnight | Further Rain Forecast | Previously Dead 5",199669,1,,Flat,2400,"Rating 82 Benchmark","MOUNT SHOP 2400",30000.00,12:10:00,"N",54.00,"Unrestricted","Rating 82","unrestricted","hcp","Slow",7,"Showery",321823,4,9,"Zanyetta","5","m",57.00,6,2.37.23,0.37.97,10.90," ","Murray Baker & Andrew Forsman","Cambridge",9.00,0.00,0.00,"Matthew Cameron",57.00,0.00,80,0,0,"Approved Plates, Lugging Bit",248656,"TAVISTOCK (NZ) 2005",183862,"ZANETTA (NZ) 1995",
47385,2018-11-24,2,"Pukekohe Park","Premier 1","Race","Counties RC","COUNTIES RC 24 NOV","Slow",7,"Showery","True | 5mm Rain Overnight | Further Rain Forecast | Previously Dead 5",199669,1,,Flat,2400,"Rating 82 Benchmark","MOUNT SHOP 2400",30000.00,12:10:00,"N",54.00,"Unrestricted","Rating 82","unrestricted","hcp","Slow",7,"Showery",312938,5,3,"Diesel","8","g",57.00,2,2.35.71,0.36.96,0.50," 7 LEN","Shaun & Emma Clotworthy","Byerley Park",11.70,3.40,6000.00,"Rosie Myers",57.00,0.00,76,0,0,"Approved Plates, Standard Bit, Visor Blinkers, Nasal Strip, Tongue Tie",218686,"ELECTRONIC ZONE (USA) 1994",220535,"BLAZING VITAL (NZ) 2001",
47385,2018-11-24,2,"Pukekohe Park","Premier 1","Race","Counties RC","COUNTIES RC 24 NOV","Slow",7,"Showery","True | 5mm Rain Overnight | Further Rain Forecast | Previously Dead 5",199669,1,,Flat,2400,"Rating 82 Benchmark","MOUNT SHOP 2400",30000.00,12:10:00,"N",54.00,"Unrestricted","Rating 82","unrestricted","hcp","Slow",7,"Showery",311293,7,11,"No Loitering","6","g",56.00,10,2.40.83,0.41.99,32.40," ","Iain Marks","Te Aroha",21.60,0.00,0.00,"Darren Danis",53.00,3.00,74,0,0,"Approved Plates, Lugging Bit",232838,"NO EXCUSE NEEDED (GB) 1998",216255,"SCALLY WAG (NZ) 2000",
47385,2018-11-24,2,"Pukekohe Park","Premier 1","Race","Counties RC","COUNTIES RC 24 NOV","Slow",7,"Showery","True | 5mm Rain Overnight | Further Rain Forecast | Previously Dead 5",199669,1,,Flat,2400,"Rating 82 Benchmark","MOUNT SHOP 2400",30000.00,12:10:00,"N",54.00,"Unrestricted","Rating 82","unrestricted","hcp","Slow",7,"Showery",307421,9,6,"Blackmagicwoman","6","m",54.00,8,2.37.71,0.38.09,13.80," ","Shaune Ritchie","Cambridge",5.40,0.00,0.00,"Eilish McCall",50.00,4.00,73,0,0,"Approved Plates, Lugging Bit",287450,"SHOCKING (AUS) 2005",247914,"EBONY AND IVORY (NZ) 2005",
47385,2018-11-24,2,"Pukekohe Park","Premier 1","Race","Counties RC","COUNTIES RC 24 NOV","Slow",7,"Showery","True | 5mm Rain Overnight | Further Rain Forecast | Previously Dead 5",199669,1,,Flat,2400,"Rating 82 Benchmark","MOUNT SHOP 2400",30000.00,12:10:00,"N",54.00,"Unrestricted","Rating 82","unrestricted","hcp","Slow",7,"Showery",315039,10,5,"Prince Jabeel (AUS)","5","g",54.00,3,2.36.69,0.37.83,7.50," NECK","Lance Noble","Karaka",4.00,1.70,3000.00,"Leith Innes",54.50,-0.50,70,0,0,"Approved Plates, Lugging Bit, Nasal Strip, Tongue Tie",238456,"SAVABEEL (AUS) 2001",234412,"J'ADANE (NZ) 2003",
47385,2018-11-24,2,"Pukekohe Park","Premier 1","Race","Counties RC","COUNTIES RC 24 NOV","Slow",7,"Showery","True | 5mm Rain Overnight | Further Rain Forecast | Previously Dead 5",199669,1,,Flat,2400,"Rating 82 Benchmark","MOUNT SHOP 2400",30000.00,12:10:00,"N",54.00,"Unrestricted","Rating 82","unrestricted","hcp","Slow",7,"Showery",286204,11,2,"Chachi Arcola","8","g",54.00,11,2.41.70,0.42.40,37.60," ","Jacqui Wadham","Pukekohe Park",13.40,0.00,0.00,"Trudy Thornton",54.00,0.00,68,0,0,"Approved Plates, Lugging Bit, Blinkers",277796,"MYBOYCHARLIE (IRE) 2005",277819,"ELLA MAREE (AUS) 2005",
47385,2018-11-24,2,"Pukekohe Park","Premier 1","Race","Counties RC","COUNTIES RC 24 NOV","Slow",7,"Showery","True | 5mm Rain Overnight | Further Rain Forecast | Previously Dead 5",199669,1,,Flat,2400,"Rating 82 Benchmark","MOUNT SHOP 2400",30000.00,12:10:00,"N",54.00,"Unrestricted","Rating 82","unrestricted","hcp","Slow",7,"Showery",330830,12,1,"Vermont","4","m",54.00,12,2.49.96,0.50.56,87.10," ","Danica Guy","Matamata",26.80,0.00,0.00,"Jasmine Fawcett",52.50,1.50,67,0,0,"Approved Plates, Standard Bit",278104,"MASTERCRAFTSMAN (IRE) 2006",253135,"TEKEELA (NZ) 2006",
47385,2018-11-24,2,"Pukekohe Park","Premier 1","Race","Counties RC","COUNTIES RC 24 NOV","Slow",7,"Showery","True | 5mm Rain Overnight | Further Rain Forecast | Previously Dead 5",199669,1,,Flat,2400,"Rating 82 Benchmark","MOUNT SHOP 2400",30000.00,12:10:00,"N",54.00,"Unrestricted","Rating 82","unrestricted","hcp","Slow",7,"Showery",289652,13,10,"Black Lace","7","m",54.00,5,2.36.95,0.37.44,9.10," 1 3/4 LEN","Nicholas Bishara","Ardmore Lodge",40.50,0.00,750.00,"Rowena Smyth",54.00,0.00,62,0,0,"Approved Plates, Lugging Bit, Blinkers",203120,"TOWKAY (AUS) 1994",249265,"OPULENCE (NZ) 2005",
