<-- Copyright Notice: (c) 2019 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
47477,2019-01-26,6,"Riccarton Park","Feature","Race","Riccarton Park - Canterbury JC","RICCARTON PARK - CANTERBURY JC 26 JAN","Good",3,"Fine","True",200498,1,,Flat,1400,"MDN","CALOUNDRA CUP TOUR 2019 - BOOK NOW MAIDEN",10000.00,11:47:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",365547,1,6,"Lincoln Zephyr","4","g",58.50,8,1.24.12,0.34.78,2.50," ","Cheri Trembath","Ashburton",9.30,0.00,0.00,"Chris Johnson",58.50,0.00,49,0,0,"Approved Plates, Lugging Bit, Side Winkers",263679,"PATAPAN (USA) 2002",244680,"LET'S GO SHOPPING (NZ) 2004",
47477,2019-01-26,6,"Riccarton Park","Feature","Race","Riccarton Park - Canterbury JC","RICCARTON PARK - CANTERBURY JC 26 JAN","Good",3,"Fine","True",200498,1,,Flat,1400,"MDN","CALOUNDRA CUP TOUR 2019 - BOOK NOW MAIDEN",10000.00,11:47:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",330134,2,1,"Billabong Billy","4","g",58.50,13,1.24.38,0.35.63,4.30," ","Russell McKay","Ashburton",74.20,0.00,0.00,"BB Hong",55.50,3.00,45,0,0,"Approved Plates, Lugging Bit, Blinkers (1st time)",238720,"EKRAAR (USA) 1997",228306,"FLY SOLO (NZ) 2002",
47477,2019-01-26,6,"Riccarton Park","Feature","Race","Riccarton Park - Canterbury JC","RICCARTON PARK - CANTERBURY JC 26 JAN","Good",3,"Fine","True",200498,1,,Flat,1400,"MDN","CALOUNDRA CUP TOUR 2019 - BOOK NOW MAIDEN",10000.00,11:47:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",338454,3,4,"Bon Genre","5","g",58.50,11,1.24.27,0.34.54,3.50," ","Aaron Taylor","Riccarton Park",146.00,0.00,0.00,"Gee Saejorhor",54.50,4.00,45,0,0,"Approved Plates, Lugging Bit, Blinkers, Tongue Tie",248656,"TAVISTOCK (NZ) 2005",268763,"BON CHIC (NZ) 2008",
47477,2019-01-26,6,"Riccarton Park","Feature","Race","Riccarton Park - Canterbury JC","RICCARTON PARK - CANTERBURY JC 26 JAN","Good",3,"Fine","True",200498,1,,Flat,1400,"MDN","CALOUNDRA CUP TOUR 2019 - BOOK NOW MAIDEN",10000.00,11:47:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",335196,4,3,"Van Halen","4","g",58.50,4,1.23.88,0.34.91,0.80," 1/2 HEAD","Robyn Ayton","Ashburton",46.50,0.00,500.00,"Courtney Barnes",58.50,0.00,45,0,0,"Approved Plates, Lugging Bit, Nasal Strip (1st time)",264625,"ROCK 'N' POP (AUS) 2008",227492,"TARZIE (NZ) 2002",
47477,2019-01-26,6,"Riccarton Park","Feature","Race","Riccarton Park - Canterbury JC","RICCARTON PARK - CANTERBURY JC 26 JAN","Good",3,"Fine","True",200498,1,,Flat,1400,"MDN","CALOUNDRA CUP TOUR 2019 - BOOK NOW MAIDEN",10000.00,11:47:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",345007,5,2,"Clooney","3","g",57.00,5,1.23.89,0.34.32,0.90," ","Bevan & Robyn Wilson","Ashburton",8.50,0.00,250.00,"Jason Laking",57.00,0.00,47,0,0,"Approved Plates, Tongue Control Bit",313325,"POWER (GB) 2009",258274,"ROYAL GOVERNESS (NZ) 2007",
47477,2019-01-26,6,"Riccarton Park","Feature","Race","Riccarton Park - Canterbury JC","RICCARTON PARK - CANTERBURY JC 26 JAN","Good",3,"Fine","True",200498,1,,Flat,1400,"MDN","CALOUNDRA CUP TOUR 2019 - BOOK NOW MAIDEN",10000.00,11:47:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",346485,6,11,"Rivaldo","3","g",57.00,2,1.23.76,0.34.33,0.20," NECK","Daniel Champion & Kezia Murphy","Riccarton Park",57.30,7.80,2000.00,"Lee Callaway",57.00,0.00,46,0,0,"Approved Plates, Lugging Bit, Blinkers",278350,"RED GIANT (USA) 2004",278852,"DE WORLD CUP (AUS) 2005",
47477,2019-01-26,6,"Riccarton Park","Feature","Race","Riccarton Park - Canterbury JC","RICCARTON PARK - CANTERBURY JC 26 JAN","Good",3,"Fine","True",200498,1,,Flat,1400,"MDN","CALOUNDRA CUP TOUR 2019 - BOOK NOW MAIDEN",10000.00,11:47:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",365242,8,7,"Vouch","4","m",56.50,9,1.24.12,0.35.04,2.60," ","Andrew Carston","Riccarton Park",10.20,0.00,0.00,"Doni Prastiyou",56.50,0.00,50,0,0,"Approved Plates, Lugging Bit, Side Winkers, Rubber Ring",313563,"HIGHLY RECOMMENDED (AUS) 2008",250388,"SHOWUSYAHALO (NZ) 2003",
47477,2019-01-26,6,"Riccarton Park","Feature","Race","Riccarton Park - Canterbury JC","RICCARTON PARK - CANTERBURY JC 26 JAN","Good",3,"Fine","True",200498,1,,Flat,1400,"MDN","CALOUNDRA CUP TOUR 2019 - BOOK NOW MAIDEN",10000.00,11:47:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",334552,9,5,"Cee Sharp","4","m",56.50,6,1.24.03,0.33.96,1.90," ","Michael & Matthew Pitman","Yaldhurst, Riccarton Park",11.90,0.00,0.00,"Tina Comignaghi",54.50,2.00,48,0,0,"Approved Plates, Lugging Bit, Blinkers, Cheek Burrs, Nose Band",211629,"PINS (AUS) 1996",228230,"FALSETTO (NZ) 2002",
47477,2019-01-26,6,"Riccarton Park","Feature","Race","Riccarton Park - Canterbury JC","RICCARTON PARK - CANTERBURY JC 26 JAN","Good",3,"Fine","True",200498,1,,Flat,1400,"MDN","CALOUNDRA CUP TOUR 2019 - BOOK NOW MAIDEN",10000.00,11:47:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",327373,10,13,"Lonesome Lady","4","m",56.50,12,1.24.27,0.35.04,3.60," ","Jamie Bullard","Riccarton Park",33.50,0.00,0.00,"Jacob Lowry",57.00,-0.50,45,0,0,"Approved Plates, Lugging Bit",248656,"TAVISTOCK (NZ) 2005",248660,"ALL BY MYSELF (NZ) 2005",
47477,2019-01-26,6,"Riccarton Park","Feature","Race","Riccarton Park - Canterbury JC","RICCARTON PARK - CANTERBURY JC 26 JAN","Good",3,"Fine","True",200498,1,,Flat,1400,"MDN","CALOUNDRA CUP TOUR 2019 - BOOK NOW MAIDEN",10000.00,11:47:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",350256,11,12,"Three Shots","6","m",56.50,7,1.24.08,0.34.21,2.20," ","Suzanne McCarty","Rangiora",83.20,0.00,0.00,"Rohan Mudhoo",53.50,3.00,45,0,0,"Approved Plates, Tongue Control Bit, Nasal Strip, Nose Band",232166,"RUBY'S JESTER (AUS) 1998",227808,"ICAREFORYOU (NZ) 2002",
