<-- Copyright Notice: (c) 2019 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
47478,2019-01-28,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 28 JAN","Dead",4,"Fine","True | Heavy Dew | No Rain Overnight",199892,1,,Flat,1400,"MDN","THE BEACON 1400",10000.00,12:24:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",350570,1,6,"Off The Grid","4","g",58.50,6,1.24.54,0.35.51,4.40," ","Ralph Manning","Cambridge",27.30,0.00,0.00,"Nafish Alam",54.50,4.00,49,0,0,"Approved Plates, Lugging Bit",313563,"HIGHLY RECOMMENDED (AUS) 2008",228328,"SPARKS WILL FLY (NZ) 2002",
47478,2019-01-28,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 28 JAN","Dead",4,"Fine","True | Heavy Dew | No Rain Overnight",199892,1,,Flat,1400,"MDN","THE BEACON 1400",10000.00,12:24:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",333444,2,9,"Pop 'n' Rock","4","g",58.50,4,1.24.22,0.35.03,2.60," NECK","Keith & Gavin Opie","Te Aroha",12.40,0.00,500.00,"Andrew Calder",58.50,0.00,49,0,0,"Approved Plates, Lugging Bit, Shadow Roll (1st time)",264625,"ROCK 'N' POP (AUS) 2008",255572,"LASTING LUCK (AUS) 2002",
47478,2019-01-28,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 28 JAN","Dead",4,"Fine","True | Heavy Dew | No Rain Overnight",199892,1,,Flat,1400,"MDN","THE BEACON 1400",10000.00,12:24:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",347240,5,7,"Super Vino","3","g",57.00,5,1.24.28,0.35.27,2.90," 1 1/2 LEN","Graham Thomas & Mathew Gillies","Cambridge",5.50,0.00,250.00,"Lynsey Satherley",57.00,0.00,47,0,0,"Approved Plates, Lugging Bit, Blinkers",268640,"SUPER EASY (NZ) 2008",244613,"PINOT GRIEVE (NZ) 2004",
47478,2019-01-28,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 28 JAN","Dead",4,"Fine","True | Heavy Dew | No Rain Overnight",199892,1,,Flat,1400,"MDN","THE BEACON 1400",10000.00,12:24:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",321192,6,5,"The White Queen","5","m",56.50,2,1.23.91,0.34.79,0.20," NOSE","Stephen Marsh","Cambridge",2.00,1.10,2000.00,"Samantha Collett",56.50,0.00,54,0,0,"Approved Plates, Lugging Bit, Side Winkers on, Tongue Tie",301053,"CAPE BLANCO (IRE) 2007",234430,"MADAME ECHEZEAUX (NZ) 2003",
47478,2019-01-28,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 28 JAN","Dead",4,"Fine","True | Heavy Dew | No Rain Overnight",199892,1,,Flat,1400,"MDN","THE BEACON 1400",10000.00,12:24:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",336049,7,4,"Avoca Willow","4","m",56.50,3,1.23.92,0.35.10,0.30," 2 1/4 LEN","Mark Brosnan","Matamata",5.70,1.80,1000.00,"Craig Grylls",56.50,0.00,51,0,0,"Approved Plates, Lugging Bit",238720,"EKRAAR (USA) 1997",255394,"AVOCA RULER (NZ) 2006",
47478,2019-01-28,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 28 JAN","Dead",4,"Fine","True | Heavy Dew | No Rain Overnight",199892,1,,Flat,1400,"MDN","THE BEACON 1400",10000.00,12:24:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",336182,8,2,"Queen Sweep","4","m",56.50,1,1.23.88,0.35.05,," HEAD","David Greene","Te Rapa",15.10,3.20,6250.00,"Jasmine Fawcett",54.50,2.00,45,0,0,"Approved Plates, Lugging Bit, Tongue Tie",247685,"EGO (NZ) 2005",225480,"QUEEN'S VIEW (NZ) 2001",
47478,2019-01-28,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 28 JAN","Dead",4,"Fine","True | Heavy Dew | No Rain Overnight",199892,1,,Flat,1400,"MDN","THE BEACON 1400",10000.00,12:24:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",329781,9,3,"Regal Assassin","4","m",56.50,9,1.25.84,0.37.29,12.60," ","Jim Pender","Tauranga",20.30,0.00,0.00,"Trudy Thornton",56.50,0.00,45,0,0,"Approved Plates, Lugging Bit, Blinkers, Nose Band",242513,"GUILLOTINE (NZ) 2004",254021,"SO REGAL (NZ) 2006",
47478,2019-01-28,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 28 JAN","Dead",4,"Fine","True | Heavy Dew | No Rain Overnight",199892,1,,Flat,1400,"MDN","THE BEACON 1400",10000.00,12:24:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",334220,10,1,"Rumour Has It","4","m",56.50,8,1.24.74,0.36.20,5.70," ","Stephen McKee","Ardmore",21.40,0.00,0.00,"Sam Spratt",56.50,0.00,45,0,0,"Approved Plates, Lugging Bit, Barrier Blanket",238456,"SAVABEEL (AUS) 2001",277259,"WOLFMOTHER (AUS) 2004",
47478,2019-01-28,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 28 JAN","Dead",4,"Fine","True | Heavy Dew | No Rain Overnight",199892,1,,Flat,1400,"MDN","THE BEACON 1400",10000.00,12:24:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",346611,11,8,"Intrigue","3","f",55.00,7,1.24.63,0.35.29,5.00," ","Tony Pike","Cambridge",18.80,0.00,0.00,"Jake Bayliss",55.00,0.00,45,0,0,"Approved Plates, Lugging Bit",287687,"SHOWCASING (GB) 2007",311843,"FOREVER AND EVER (IRE) 2009",
47478,2019-01-28,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 28 JAN","Dead",4,"Fine","True | Heavy Dew | No Rain Overnight",199893,2,,Flat,1200,"MDN","GARTSHORE CONSTRUCTION 1200",10000.00,12:59:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",380595,3,5,"Mannering","3","g",57.00,4,1.11.10,0.34.27,2.90," NOSE","Clinton Isdale","Te Awamutu",7.20,0.00,500.00,"Andrew Calder",57.00,0.00,54,0,0,"Approved Plates, Lugging Bit, Side Winkers, Nasal Strip, Tongue Tie",245781,"SUFFICIENT (NZ) 2005",233984,"BIRTHDAY HILL (NZ) 2002",
47478,2019-01-28,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 28 JAN","Dead",4,"Fine","True | Heavy Dew | No Rain Overnight",199893,2,,Flat,1200,"MDN","GARTSHORE CONSTRUCTION 1200",10000.00,12:59:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",335272,5,3,"Chiquitita","4","m",56.50,1,1.10.67,0.33.93,," 1 1/4 LEN","Shaune Ritchie","Cambridge",5.80,1.60,6250.00,"Jake Bayliss",56.50,0.00,53,0,0,"Approved Plates, Lugging Bit",285139,"SWISS ACE (AUS) 2004",287279,"FLORAMOUR (AUS) 2005",
47478,2019-01-28,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 28 JAN","Dead",4,"Fine","True | Heavy Dew | No Rain Overnight",199893,2,,Flat,1200,"MDN","GARTSHORE CONSTRUCTION 1200",10000.00,12:59:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",329420,6,8,"Sheeznoteasy","4","m",56.50,7,1.11.76,0.34.91,7.40," ","Jim Pender","Tauranga",13.10,0.00,0.00,"Sam Spratt",56.50,0.00,53,0,0,"Approved Plates, Lugging Bit",268640,"SUPER EASY (NZ) 2008",264076,"BRISAYUS (NZ) 2008",
47478,2019-01-28,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 28 JAN","Dead",4,"Fine","True | Heavy Dew | No Rain Overnight",199893,2,,Flat,1200,"MDN","GARTSHORE CONSTRUCTION 1200",10000.00,12:59:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",338031,9,4,"Somethink","4","m",56.50,8,1.12.40,0.35.48,12.20," ","Keith & Gavin Opie","Te Aroha",54.30,0.00,0.00,"Jasmine Fawcett",54.50,2.00,45,0,0,"Approved Plates, Lugging Bit, Side Winkers, Nose Band",287683,"RIP VAN WINKLE (IRE) 2006",226742,"STORM AT SEA (NZ) 2002",
47478,2019-01-28,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 28 JAN","Dead",4,"Fine","True | Heavy Dew | No Rain Overnight",199893,2,,Flat,1200,"MDN","GARTSHORE CONSTRUCTION 1200",10000.00,12:59:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",344424,10,2,"Eleanor Rigby","3","f",55.00,3,1.11.04,0.33.81,2.60," NECK","Murray Baker & Andrew Forsman","Cambridge",1.80,1.30,1000.00,"Craig Grylls",55.00,0.00,52,0,0,"Approved Plates, Lugging Bit, Blinkers (1st time)",238456,"SAVABEEL (AUS) 2001",234980,"FORTY TWO BELOW (NZ) 2003",
47478,2019-01-28,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 28 JAN","Dead",4,"Fine","True | Heavy Dew | No Rain Overnight",199893,2,,Flat,1200,"MDN","GARTSHORE CONSTRUCTION 1200",10000.00,12:59:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",340370,11,6,"Decadence","3","f",55.00,5,1.11.11,0.33.77,3.00," 3 1/2 LEN","Stephen Marsh","Cambridge",9.20,0.00,250.00,"Samantha Collett",55.00,0.00,50,0,0,"Approved Plates, Lugging Bit",304111,"SWEET ORANGE (USA) 2007",240768,"POLYANA (NZ) 2004",
47478,2019-01-28,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 28 JAN","Dead",4,"Fine","True | Heavy Dew | No Rain Overnight",199893,2,,Flat,1200,"MDN","GARTSHORE CONSTRUCTION 1200",10000.00,12:59:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",364470,12,1,"Enduring Love (AUS)","3","f",55.00,2,1.10.85,0.33.86,1.30," 1 1/4 LEN","Jamie Richards","Matamata",11.40,2.40,2000.00,"Donavan Mansour",55.00,0.00,50,0,0,"Approved Plates, Lugging Bit, Visor Blinkers (1st time), Nose Band, Tongue Tie",328811,"CAMELOT (GB) 2009",268833,"HOLY MOLY (NZ) 2008",
47478,2019-01-28,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 28 JAN","Dead",4,"Fine","True | Heavy Dew | No Rain Overnight",199893,2,,Flat,1200,"MDN","GARTSHORE CONSTRUCTION 1200",10000.00,12:59:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",346894,14,7,"Strikingapose","3","f",55.00,6,1.11.64,0.34.61,6.50," ","Frank Ritchie","Cambridge",21.30,0.00,0.00,"Cameron Lammas",55.00,0.00,45,0,0,"Approved Plates, Lugging Bit, Blinkers",230462,"DARCI BRAHMA (NZ) 2002",253528,"SHOW UP (NZ) 2006",
47478,2019-01-28,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 28 JAN","Dead",4,"Fine","True | Heavy Dew | No Rain Overnight",201956,3,,Flat,1600,"MDN","ENGEL FIRES 1600",10000.00,13:34:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",336863,1,1,"Bahamas","4","g",58.50,1,1.37.34,0.36.16,," 1 1/2 LEN","Stephen McKee","Ardmore",7.10,1.90,6250.00,"Sam Spratt",58.50,0.00,53,0,0,"Approved Plates, Lugging Bit, Blinkers",255989,"IFFRAAJ (GB) 2001",261521,"TANGOETTE (NZ) 2007",
47478,2019-01-28,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 28 JAN","Dead",4,"Fine","True | Heavy Dew | No Rain Overnight",201956,3,,Flat,1600,"MDN","ENGEL FIRES 1600",10000.00,13:34:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",333548,2,8,"Curious George","4","g",58.50,7,1.38.15,0.36.16,5.50," ","John Bell","Cambridge",12.50,0.00,0.00,"Donavan Mansour",58.50,0.00,49,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit, Nose Band",238876,"RESET (AUS) 2000",227391,"LUCKY BE LUCKY (USA) 2000",
47478,2019-01-28,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 28 JAN","Dead",4,"Fine","True | Heavy Dew | No Rain Overnight",201956,3,,Flat,1600,"MDN","ENGEL FIRES 1600",10000.00,13:34:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",326757,3,5,"Shackeltons Edge","5","g",58.50,9,1.38.65,0.37.30,8.60," ","Darryn Weatherley","Matamata",20.70,0.00,0.00,"Reese Jones",58.50,0.00,49,0,0,"Approved Plates, Lugging Bit, Blinkers, Tongue Tie",259294,"THANO (ARG) 2002",252683,"ISABELLA SORAYA (NZ) 2006",
47478,2019-01-28,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 28 JAN","Dead",4,"Fine","True | Heavy Dew | No Rain Overnight",201956,3,,Flat,1600,"MDN","ENGEL FIRES 1600",10000.00,13:34:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",341023,4,6,"Fiery Dragon","3","g",57.00,4,1.37.67,0.35.94,2.10," 1 1/4 LEN","Murray Baker & Andrew Forsman","Cambridge",7.20,0.00,500.00,"Jonathan Riddell",57.00,0.00,51,0,0,"Approved Plates, Lugging Bit, Blinkers",255989,"IFFRAAJ (GB) 2001",262129,"NO TOLERANCE (NZ) 2007",
47478,2019-01-28,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 28 JAN","Dead",4,"Fine","True | Heavy Dew | No Rain Overnight",201956,3,,Flat,1600,"MDN","ENGEL FIRES 1600",10000.00,13:34:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",366852,5,3,"Dispatched (AUS)","3","g",57.00,10,1.39.05,0.37.54,11.10," ","Graham Richardson & Gavin Parker","Matamata",18.40,0.00,0.00,"Trudy Thornton",57.00,0.00,45,0,0,"Approved Plates, Lugging Bit",249056,"CHARGE FORWARD (AUS) 2001",366853,"ADMIRAL'S AFFAIR (AUS) 2000",
47478,2019-01-28,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 28 JAN","Dead",4,"Fine","True | Heavy Dew | No Rain Overnight",201956,3,,Flat,1600,"MDN","ENGEL FIRES 1600",10000.00,13:34:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",351949,6,4,"Havana Heights","4","m",56.50,2,1.37.57,0.35.84,1.50," NOSE","Mark Lupton","Matamata",21.20,4.00,2000.00,"Lynsey Satherley",56.50,0.00,47,0,0,"Approved Plates, Lugging Bit",271252,"TEOFILO (IRE) 2004",209404,"POLKA (NZ) 1999",
47478,2019-01-28,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 28 JAN","Dead",4,"Fine","True | Heavy Dew | No Rain Overnight",201956,3,,Flat,1600,"MDN","ENGEL FIRES 1600",10000.00,13:34:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",333413,7,7,"Aquarium","4","m",56.50,8,1.38.49,0.37.21,7.60," ","Team Rogerson","Tuhikaramea",29.20,0.00,0.00,"Jake Bayliss",56.50,0.00,45,0,0,"Approved Plates, Lugging Bit",265282,"OCEAN PARK (NZ) 2008",206423,"JACQWIN (AUS) 1993",
47478,2019-01-28,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 28 JAN","Dead",4,"Fine","True | Heavy Dew | No Rain Overnight",201956,3,,Flat,1600,"MDN","ENGEL FIRES 1600",10000.00,13:34:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",306203,8,11,"Hoopla","6","m",56.50,5,1.37.83,0.35.82,3.40," 1 3/4 LEN","Shelley Houston","Cambridge",36.70,0.00,250.00,"Samantha Collett",56.50,0.00,45,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit",238456,"SAVABEEL (AUS) 2001",203741,"NO HULA NO DANCE (NZ) 1998",
47478,2019-01-28,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 28 JAN","Dead",4,"Fine","True | Heavy Dew | No Rain Overnight",201956,3,,Flat,1600,"MDN","ENGEL FIRES 1600",10000.00,13:34:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",340254,10,9,"Qiji Crystal","3","f",55.00,3,1.37.58,0.35.70,1.60," 1/2 LEN","Jamie Richards","Matamata",1.90,1.20,1000.00,"Andrew Calder",55.00,0.00,52,0,0,"Approved Plates, Lugging Bit, Visor Blinkers, Nose Band, Tongue Tie",280637,"PER INCANTO (USA) 2004",285332,"MOSS LADY (NZ) 2010",
47478,2019-01-28,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 28 JAN","Dead",4,"Fine","True | Heavy Dew | No Rain Overnight",201956,3,,Flat,1600,"MDN","ENGEL FIRES 1600",10000.00,13:34:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",351375,11,2,"Cornish Point (AUS)","3","f",55.00,6,1.38.11,0.36.70,5.20," ","Roger James & Robert Wellwood","Cambridge",9.10,0.00,0.00,"Cameron Lammas",55.00,0.00,46,0,0,"Approved Plates, Lugging Bit",328811,"CAMELOT (GB) 2009",252398,"BUYMORE (NZ) 2006",
