<-- Copyright Notice: (c) 2019 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
47503,2019-03-01,4,"Awapuni","Industry","Race","Marton JC","MARTON JC 1 MAR","Dead",4,"Fine","Out 2m On Home Turn | Remainder Out 6m | 5mm Irrigation last night",202182,1,,Flat,2100,"MDN","TUI- BACKING A WINNER SINCE 1889 2100",10000.00,15:04:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",310083,2,3,"Master Courtsman","6","g",58.50,5,2.14.03,0.36.29,3.60," 2 1/4 LEN","Tony Corric","New Plymouth",24.40,0.00,250.00,"Sam O'Malley",54.50,4.00,50,50,0,"Approved Plates, Lugging Bit, Blinkers",278104,"MASTERCRAFTSMAN (IRE) 2006",169507,"EVOLUTION (NZ) 1993",
47503,2019-03-01,4,"Awapuni","Industry","Race","Marton JC","MARTON JC 1 MAR","Dead",4,"Fine","Out 2m On Home Turn | Remainder Out 6m | 5mm Irrigation last night",202182,1,,Flat,2100,"MDN","TUI- BACKING A WINNER SINCE 1889 2100",10000.00,15:04:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",333925,3,1,"Took The Catch","4","g",58.50,8,2.15.17,0.36.64,11.30," ","Gary Vile","Awapuni",9.90,0.00,0.00,"Robert Hannam",58.50,0.00,50,0,0,"Approved Plates, Lugging Bit",241092,"ALAMOSA (NZ) 2004",256313,"SHARP CHANCE (NZ) 2006",
47503,2019-03-01,4,"Awapuni","Industry","Race","Marton JC","MARTON JC 1 MAR","Dead",4,"Fine","Out 2m On Home Turn | Remainder Out 6m | 5mm Irrigation last night",202182,1,,Flat,2100,"MDN","TUI- BACKING A WINNER SINCE 1889 2100",10000.00,15:04:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",327054,4,9,"Do The Twist","4","g",58.50,7,2.15.16,0.36.52,11.20," ","Kevin Myers","Wanganui",15.70,0.00,0.00,"Sarah MacNab",56.50,2.00,47,0,0,"Approved Plates, Lugging Bit",313448,"NIAGARA (AUS) 2008",247083,"DANCING DEE (NZ) 2005",
47503,2019-03-01,4,"Awapuni","Industry","Race","Marton JC","MARTON JC 1 MAR","Dead",4,"Fine","Out 2m On Home Turn | Remainder Out 6m | 5mm Irrigation last night",202182,1,,Flat,2100,"MDN","TUI- BACKING A WINNER SINCE 1889 2100",10000.00,15:04:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",319901,5,10,"Senor Pinyata","5","g",58.50,10,2.15.85,0.38.05,15.60," ","Tony Dravitzki","Stratford",59.80,0.00,0.00,"Leah Hemi",58.50,0.00,45,0,0,"Approved Plates, Lugging Bit, Blinkers (1st time)",211629,"PINS (AUS) 1996",208998,"ZOE SPICE (NZ) 1999",
47503,2019-03-01,4,"Awapuni","Industry","Race","Marton JC","MARTON JC 1 MAR","Dead",4,"Fine","Out 2m On Home Turn | Remainder Out 6m | 5mm Irrigation last night",202182,1,,Flat,2100,"MDN","TUI- BACKING A WINNER SINCE 1889 2100",10000.00,15:04:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",351125,6,7,"Don't Know Jakk","3","g",58.00,1,2.13.53,0.35.34,," 2 1/4 LEN","Mark Oulaghan","Awapuni",2.60,1.30,6250.00,"Dylan Turner",58.00,0.00,54,0,0,"Approved Plates, Standard Bit, Blinkers",324908,"JAKKALBERRY (IRE) 2006",221558,"HULA BAR (NZ) 2001",
47503,2019-03-01,4,"Awapuni","Industry","Race","Marton JC","MARTON JC 1 MAR","Dead",4,"Fine","Out 2m On Home Turn | Remainder Out 6m | 5mm Irrigation last night",202182,1,,Flat,2100,"MDN","TUI- BACKING A WINNER SINCE 1889 2100",10000.00,15:04:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",321529,7,2,"Red Red Robin","5","m",56.50,6,2.14.36,0.36.69,5.90," ","David Hayes","Awapuni",7.90,0.00,0.00,"Holly Andrew",55.50,1.00,54,0,0,"Approved Plates, Standard Bit, Boots",248728,"FULLY FLEDGED (NZ) 2005",218945,"VERY ENGLISH (NZ) 2000",
47503,2019-03-01,4,"Awapuni","Industry","Race","Marton JC","MARTON JC 1 MAR","Dead",4,"Fine","Out 2m On Home Turn | Remainder Out 6m | 5mm Irrigation last night",202182,1,,Flat,2100,"MDN","TUI- BACKING A WINNER SINCE 1889 2100",10000.00,15:04:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",321646,8,5,"Bella Nero","5","m",56.50,2,2.13.86,0.35.75,2.30," LONG NECK","Suzy Gordon","Foxton",6.90,2.10,2000.00,"Charlotte O'Beirne",53.50,3.00,51,0,0,"Approved Plates, Lugging Bit",193564,"PENTIRE (GB) 1992",227901,"KRUGER VALLEY (NZ) 2002",
47503,2019-03-01,4,"Awapuni","Industry","Race","Marton JC","MARTON JC 1 MAR","Dead",4,"Fine","Out 2m On Home Turn | Remainder Out 6m | 5mm Irrigation last night",202182,1,,Flat,2100,"MDN","TUI- BACKING A WINNER SINCE 1889 2100",10000.00,15:04:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",332304,9,4,"Martinelli","4","m",56.50,9,2.15.71,0.37.12,14.80," ","Kirsty Lawrence","Waipukurau",23.90,0.00,0.00,"Samantha Collett",56.50,0.00,45,0,0,"Approved Plates, Lugging Bit, Blinkers, Bandages, Tongue Tie",268744,"BURGUNDY (NZ) 2008",252317,"A LA VOTRE (NZ) 2006",
47503,2019-03-01,4,"Awapuni","Industry","Race","Marton JC","MARTON JC 1 MAR","Dead",4,"Fine","Out 2m On Home Turn | Remainder Out 6m | 5mm Irrigation last night",202182,1,,Flat,2100,"MDN","TUI- BACKING A WINNER SINCE 1889 2100",10000.00,15:04:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",345201,10,6,"Quatromosa","3","f",56.00,4,2.13.93,0.35.92,2.80," 3/4 LEN","Lisa Latta","Awapuni",5.00,0.00,500.00,"Johnathan Parkes",56.00,0.00,50,0,0,"Approved Plates, Lugging Bit, Tongue Tie",241092,"ALAMOSA (NZ) 2004",277719,"QUATRO (AUS) 2005",
47503,2019-03-01,4,"Awapuni","Industry","Race","Marton JC","MARTON JC 1 MAR","Dead",4,"Fine","Out 2m On Home Turn | Remainder Out 6m | 5mm Irrigation last night",202182,1,,Flat,2100,"MDN","TUI- BACKING A WINNER SINCE 1889 2100",10000.00,15:04:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",351597,11,8,"Hattie Bee (AUS)","3","f",56.00,3,2.13.92,0.35.48,2.70," 1/2 HEAD","Emma-Lee & David Browne","Cambridge",14.30,3.50,1000.00,"Zinjete Moki",54.00,2.00,45,0,0,"Approved Plates, Lugging Bit, Tongue Tie",264285,"BERNARDINI (USA) 2003",351598,"FLIGHTY (AUS) 2001",
47503,2019-03-01,4,"Awapuni","Industry","Race","Marton JC","MARTON JC 1 MAR","Dead",4,"Fine","Out 2m On Home Turn | Remainder Out 6m | 5mm Irrigation last night",201338,2,,Flat,2100,"Rating 65 Benchmark*","RICHARD SIMPSON CONTRACTING/BJW MOTORS 2100",10000.00,15:34:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",4,"Fine",311812,1,7,"Katiem Marie","6","m",59.00,2,2.14.43,0.35.02,0.50," NOSE","Kevin Myers","Wanganui",3.10,2.00,2000.00,"Sarah MacNab",57.00,2.00,65,0,0,"Approved Plates, Lugging Bit",238456,"SAVABEEL (AUS) 2001",236009,"YANNA MARIE (NZ) 2003",
47503,2019-03-01,4,"Awapuni","Industry","Race","Marton JC","MARTON JC 1 MAR","Dead",4,"Fine","Out 2m On Home Turn | Remainder Out 6m | 5mm Irrigation last night",201338,2,,Flat,2100,"Rating 65 Benchmark*","RICHARD SIMPSON CONTRACTING/BJW MOTORS 2100",10000.00,15:34:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",4,"Fine",312723,2,6,"Deep Blue","6","g",58.00,7,2.15.02,0.36.41,4.20," ","Gene Andrew","Awapuni",4.10,0.00,0.00,"Johnathan Parkes",58.00,0.00,59,0,0,"Approved Plates, Lugging Bit, Barrier Blanket",245781,"SUFFICIENT (NZ) 2005",235851,"CRACK A DAWN (NZ) 2003",
