<-- Copyright Notice: (c) 2019 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
47511,2019-03-10,6,"Gore","Tier 2 Feature","Race","Wyndham RC","WYNDHAM @ GORE 10 MAR","Dead",5,"Fine","True | No Rain | Light Winds",201447,1,,Flat,1200,"MDN","RODGERS GARAGE / AB LIME HANDICAP",10000.00,12:04:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",5,"Fine",328768,2,3,"Buster Bolt","4","g",58.50,3,1.14.43,0.36.95,3.80," HEAD","Sophie Price","Winton",10.00,2.60,1000.00,"Terry Moseley",58.50,0.00,48,0,0,"Approved Plates, Lugging Bit, Bandages, Nose Band, Tongue Tie (1st time)",222919,"KEEPER (AUS) 1997",263820,"PARACETAMOL (NZ) 2008",
47511,2019-03-10,6,"Gore","Tier 2 Feature","Race","Wyndham RC","WYNDHAM @ GORE 10 MAR","Dead",5,"Fine","True | No Rain | Light Winds",201447,1,,Flat,1200,"MDN","RODGERS GARAGE / AB LIME HANDICAP",10000.00,12:04:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",5,"Fine",309424,3,7,"Ringbolt","6","g",58.50,2,1.14.24,0.37.13,2.50," 1 1/4 LEN","Jo-Ann Gordon","Ascot Park",30.80,5.20,2000.00,"Krishna Mudhoo",57.50,1.00,45,50,0,"Approved Plates, Tongue Control Bit, Blinkers",193564,"PENTIRE (GB) 1992",251754,"CYD CHARISSE (NZ) 2006",
47511,2019-03-10,6,"Gore","Tier 2 Feature","Race","Wyndham RC","WYNDHAM @ GORE 10 MAR","Dead",5,"Fine","True | No Rain | Light Winds",201447,1,,Flat,1200,"MDN","RODGERS GARAGE / AB LIME HANDICAP",10000.00,12:04:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",5,"Fine",348837,4,4,"Beeslaststing","3","g",58.00,7,1.16.31,0.38.98,16.50," ","Steve Tyler","Wingatui",8.90,0.00,0.00,"Corey Campbell",56.00,2.00,45,0,0,"Approved Plates, Lugging Bit",313390,"NATURAL DESTINY (AUS) 2002",272071,"VOLUPTUO'US (NZ) 2009",
47511,2019-03-10,6,"Gore","Tier 2 Feature","Race","Wyndham RC","WYNDHAM @ GORE 10 MAR","Dead",5,"Fine","True | No Rain | Light Winds",201447,1,,Flat,1200,"MDN","RODGERS GARAGE / AB LIME HANDICAP",10000.00,12:04:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",5,"Fine",364597,5,6,"Hillbillycharlie","3","g",58.00,8,1.18.94,0.41.02,33.00," ","Kevin Cairns","Winton",23.70,0.00,0.00,"Courtney Barnes",58.00,0.00,45,0,0,"Approved Plates, Lugging Bit",256237,"MINSTREL COURT (AUS) 2005",262555,"CEEJAY CYCLONE (NZ) 2007",
47511,2019-03-10,6,"Gore","Tier 2 Feature","Race","Wyndham RC","WYNDHAM @ GORE 10 MAR","Dead",5,"Fine","True | No Rain | Light Winds",201447,1,,Flat,1200,"MDN","RODGERS GARAGE / AB LIME HANDICAP",10000.00,12:04:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",5,"Fine",346869,6,2,"Marmaduke","3","g",58.00,4,1.14.46,0.37.02,4.00," 1/2 LEN","Barry Howden","Makarewa",16.30,0.00,500.00,"Daniel Bothamley",58.00,0.00,45,0,0,"Approved Plates, Tongue Control Bit (1st time), Nasal Strip",244648,"BACHELOR DUKE (USA) 2001",266003,"GAZUMPED (NZ) 2008",
47511,2019-03-10,6,"Gore","Tier 2 Feature","Race","Wyndham RC","WYNDHAM @ GORE 10 MAR","Dead",5,"Fine","True | No Rain | Light Winds",201447,1,,Flat,1200,"MDN","RODGERS GARAGE / AB LIME HANDICAP",10000.00,12:04:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",5,"Fine",334802,7,8,"Supertramp","4","m",56.50,5,1.14.54,0.37.38,4.50," ","Amanda Schwarz","Invercargill",4.00,0.00,250.00,"BB Hong",53.50,3.00,51,0,0,"Approved Plates, Lugging Bit, Bandages, Tongue Tie",268640,"SUPER EASY (NZ) 2008",268955,"GRANDE BELLEZZA (AUS) 2007",
47511,2019-03-10,6,"Gore","Tier 2 Feature","Race","Wyndham RC","WYNDHAM @ GORE 10 MAR","Dead",5,"Fine","True | No Rain | Light Winds",201447,1,,Flat,1200,"MDN","RODGERS GARAGE / AB LIME HANDICAP",10000.00,12:04:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",5,"Fine",334816,8,1,"Sheza Hazzard","4","m",56.50,6,1.14.98,0.37.66,7.50," ","Terry Kennedy","Wingatui",15.30,0.00,0.00,"Chris Johnson",56.50,0.00,45,0,0,"Ear Covers Pre-Race (1st time), Approved Plates, Lugging Bit",255627,"GALLANT GURU (AUS) 2002",268399,"THE WEE ONE (NZ) 2008",
47511,2019-03-10,6,"Gore","Tier 2 Feature","Race","Wyndham RC","WYNDHAM @ GORE 10 MAR","Dead",5,"Fine","True | No Rain | Light Winds",201447,1,,Flat,1200,"MDN","RODGERS GARAGE / AB LIME HANDICAP",10000.00,12:04:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",5,"Fine",351552,9,5,"Spring Blossom (AUS)","3","f",56.00,1,1.13.87,0.36.78,," 2 1/2 LEN","Les and Richard Didham","Riccarton Park",1.90,1.00,6250.00,"Jason Laking",56.00,0.00,53,0,0,"Approved Plates, Lugging Bit, Side Winkers, Tongue Tie (1st time)",336891,"EPAULETTE (AUS) 2009",351553,"BEGUILE (AUS) 2008",
47511,2019-03-10,6,"Gore","Tier 2 Feature","Race","Wyndham RC","WYNDHAM @ GORE 10 MAR","Dead",5,"Fine","True | No Rain | Light Winds",201446,2,,Flat,1200,"MDN F&M","NZB INSURANCE PEARL SERIES RACE",10000.00,12:39:00,"N",,"Unrestricted","Maiden","f&m","sw","Dead",5,"Fine",325299,1,7,"Tap Tap","5","m",57.50,6,1.14.62,0.38.16,4.00," ","Kerry & Ian Taplin","Isla Bank",3.20,0.00,0.00,"Chris Johnson",57.50,0.00,54,0,0,"Approved Plates, Lugging Bit, Blinkers, Tongue Tie",278342,"THEWAYYOUARE (USA) 2005",218151,"PERFECT TAP (NZ) 2000",
47511,2019-03-10,6,"Gore","Tier 2 Feature","Race","Wyndham RC","WYNDHAM @ GORE 10 MAR","Dead",5,"Fine","True | No Rain | Light Winds",201446,2,,Flat,1200,"MDN F&M","NZB INSURANCE PEARL SERIES RACE",10000.00,12:39:00,"N",,"Unrestricted","Maiden","f&m","sw","Dead",5,"Fine",334898,2,8,"Dontputyafootinit","4","m",57.50,7,1.14.82,0.37.97,5.30," ","Sophie Price","Winton",44.70,0.00,0.00,"Courtney Barnes",57.50,0.00,45,0,0,"Approved Plates, Lugging Bit, Side Winkers",277609,"RAISE THE FLAG (GB) 2005",255547,"VOLONTE (NZ) 2006",
47511,2019-03-10,6,"Gore","Tier 2 Feature","Race","Wyndham RC","WYNDHAM @ GORE 10 MAR","Dead",5,"Fine","True | No Rain | Light Winds",201446,2,,Flat,1200,"MDN F&M","NZB INSURANCE PEARL SERIES RACE",10000.00,12:39:00,"N",,"Unrestricted","Maiden","f&m","sw","Dead",5,"Fine",338270,3,9,"I Remember You","4","m",57.50,9,1.17.64,0.41.70,24.10," ","Stephen Blair-Edie","Riverton",25.60,0.00,0.00,"Amless Bohorun",54.50,3.00,45,0,0,"Approved Plates, Lugging Bit, Blinkers",250526,"COATS CHOICE (AUS) 2001",245599,"TICKLE MY FANCY (NZ) 2005",
