<-- Copyright Notice: (c) 2019 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
47539,2019-04-12,2,"Arawa Park","Industry","Race","Racing Rotorua","RACING ROTORUA 12 APR","Slow",7,"Fine","Out 5m | 8mm Rain Overnight | Strong Winds This Morning",201062,1,,Flat,1950,"MDN HWT","WAITOMO FUELS HWT",10000.00,11:40:00,"N",,"Unrestricted","Maiden","unrestricted","hwt","Slow",7,"Fine",349797,1,11,"Thomas Aquinas","3","g",68.00,2,2.06.50,0.38.27,0.40," 5 LEN","Murray Baker & Andrew Forsman","Cambridge",2.20,1.20,2000.00,"Jonathan Riddell",68.00,0.00,60,0,0,"Approved Plates, Lugging Bit",324908,"JAKKALBERRY (IRE) 2006",248458,"TRUE STAR (NZ) 2005",
47539,2019-04-12,2,"Arawa Park","Industry","Race","Racing Rotorua","RACING ROTORUA 12 APR","Slow",7,"Fine","Out 5m | 8mm Rain Overnight | Strong Winds This Morning",201062,1,,Flat,1950,"MDN HWT","WAITOMO FUELS HWT",10000.00,11:40:00,"N",,"Unrestricted","Maiden","unrestricted","hwt","Slow",7,"Fine",322164,2,1,"Burdocvelvetprince","5","g",68.00,3,2.07.32,0.39.11,5.40," 1/2 LEN","Tony Gillies","Matamata",47.10,9.90,1000.00,"Michael Roustoby",65.00,3.00,51,0,0,"Approved Plates, Lugging Bit",255435,"LUCKY UNICORN (AUS) 2002",206772,"DEEBEE JEAN (NZ) 1999",
47539,2019-04-12,2,"Arawa Park","Industry","Race","Racing Rotorua","RACING ROTORUA 12 APR","Slow",7,"Fine","Out 5m | 8mm Rain Overnight | Strong Winds This Morning",201062,1,,Flat,1950,"MDN HWT","WAITOMO FUELS HWT",10000.00,11:40:00,"N",,"Unrestricted","Maiden","unrestricted","hwt","Slow",7,"Fine",336721,3,2,"Dangerman","4","g",68.00,4,2.07.43,0.38.89,5.90," 3/4 LEN","Ralph Manning","Cambridge",7.60,0.00,500.00,"Ryan Elliot",68.00,0.00,51,0,0,"Approved Plates, Lugging Bit",226925,"ZED (NZ) 2002",258298,"PISTOL PACKIN MAMA (NZ) 2007",
47539,2019-04-12,2,"Arawa Park","Industry","Race","Racing Rotorua","RACING ROTORUA 12 APR","Slow",7,"Fine","Out 5m | 8mm Rain Overnight | Strong Winds This Morning",201062,1,,Flat,1950,"MDN HWT","WAITOMO FUELS HWT",10000.00,11:40:00,"N",,"Unrestricted","Maiden","unrestricted","hwt","Slow",7,"Fine",333444,4,6,"Pop 'n' Rock","4","g",68.00,1,2.06.42,0.37.97,," LONG NECK","Keith & Gavin Opie","Te Aroha",13.10,2.40,6250.00,"Emily Farr",68.00,0.00,50,0,0,"Approved Plates, Lugging Bit, Blinkers",264625,"ROCK 'N' POP (AUS) 2008",255572,"LASTING LUCK (AUS) 2002",
47539,2019-04-12,2,"Arawa Park","Industry","Race","Racing Rotorua","RACING ROTORUA 12 APR","Slow",7,"Fine","Out 5m | 8mm Rain Overnight | Strong Winds This Morning",201062,1,,Flat,1950,"MDN HWT","WAITOMO FUELS HWT",10000.00,11:40:00,"N",,"Unrestricted","Maiden","unrestricted","hwt","Slow",7,"Fine",335351,5,7,"Meant To Be","4","g",68.00,8,2.08.20,0.39.19,10.60," ","John Steffert","Te Aroha",44.80,0.00,0.00,"Stephan Karnicnik",66.00,2.00,47,0,0,"Approved Plates, Lugging Bit, Blinkers",241092,"ALAMOSA (NZ) 2004",256053,"MONASHEES (AUS) 2000",
47539,2019-04-12,2,"Arawa Park","Industry","Race","Racing Rotorua","RACING ROTORUA 12 APR","Slow",7,"Fine","Out 5m | 8mm Rain Overnight | Strong Winds This Morning",201062,1,,Flat,1950,"MDN HWT","WAITOMO FUELS HWT",10000.00,11:40:00,"N",,"Unrestricted","Maiden","unrestricted","hwt","Slow",7,"Fine",333372,6,8,"Inigo Montoya","4","g",68.00,9,2.08.37,0.39.25,11.60," ","Lance O'Sullivan & Andrew Scott","Matamata",8.00,0.00,0.00,"Shaun Phelan",68.00,0.00,45,0,0,"Approved Plates, Lugging Bit, Visor Blinkers, Nasal Strip, Tongue Tie",264625,"ROCK 'N' POP (AUS) 2008",245257,"FAIRY TALE (NZ) 2004",
47539,2019-04-12,2,"Arawa Park","Industry","Race","Racing Rotorua","RACING ROTORUA 12 APR","Slow",7,"Fine","Out 5m | 8mm Rain Overnight | Strong Winds This Morning",201062,1,,Flat,1950,"MDN HWT","WAITOMO FUELS HWT",10000.00,11:40:00,"N",,"Unrestricted","Maiden","unrestricted","hwt","Slow",7,"Fine",311180,7,9,"Paddington","6","g",68.00,10,2.09.38,0.39.85,17.50," ","Emma-Lee & David Browne","Cambridge",72.60,0.00,0.00,"Kayla Veenendaal",66.00,2.00,45,0,0,"Approved Plates, Lugging Bit",199454,"SHINKO KING (IRE) 1991",240608,"MEZEL (NZ) 2004",
47539,2019-04-12,2,"Arawa Park","Industry","Race","Racing Rotorua","RACING ROTORUA 12 APR","Slow",7,"Fine","Out 5m | 8mm Rain Overnight | Strong Winds This Morning",201062,1,,Flat,1950,"MDN HWT","WAITOMO FUELS HWT",10000.00,11:40:00,"N",,"Unrestricted","Maiden","unrestricted","hwt","Slow",7,"Fine",317962,8,3,"Shockool","5","g",68.00,7,2.07.89,0.38.98,8.80," ","Emma-Lee & David Browne","Cambridge",35.10,0.00,0.00,"Aaron Kuru",68.00,0.00,45,0,0,"Barrier Blindfold, Approved Plates, Lugging Bit",287450,"SHOCKING (AUS) 2005",314047,"KIMBERLEY COOL (AUS) 1998",
47539,2019-04-12,2,"Arawa Park","Industry","Race","Racing Rotorua","RACING ROTORUA 12 APR","Slow",7,"Fine","Out 5m | 8mm Rain Overnight | Strong Winds This Morning",201062,1,,Flat,1950,"MDN HWT","WAITOMO FUELS HWT",10000.00,11:40:00,"N",,"Unrestricted","Maiden","unrestricted","hwt","Slow",7,"Fine",341467,10,4,"June Rose","3","f",66.00,6,2.07.68,0.38.97,7.50," ","Graham Richardson & Gavin Parker","Matamata",4.20,0.00,0.00,"Buddy Lammas",66.00,0.00,51,0,0,"Approved Plates, Lugging Bit, Blinkers",313564,"RELIABLE MAN (GB) 2008",266017,"MAHAMAYA (NZ) 2008",
47539,2019-04-12,2,"Arawa Park","Industry","Race","Racing Rotorua","RACING ROTORUA 12 APR","Slow",7,"Fine","Out 5m | 8mm Rain Overnight | Strong Winds This Morning",201062,1,,Flat,1950,"MDN HWT","WAITOMO FUELS HWT",10000.00,11:40:00,"N",,"Unrestricted","Maiden","unrestricted","hwt","Slow",7,"Fine",334220,11,12,"Rumour Has It","4","m",66.00,11,2.10.64,0.41.77,25.00," ","Stephen McKee","Ardmore",30.90,0.00,0.00,"Christopher Dell",66.00,0.00,48,0,0,"Approved Plates, Lugging Bit, Blinkers, Barrier Blanket",238456,"SAVABEEL (AUS) 2001",277259,"WOLFMOTHER (AUS) 2004",
47539,2019-04-12,2,"Arawa Park","Industry","Race","Racing Rotorua","RACING ROTORUA 12 APR","Slow",7,"Fine","Out 5m | 8mm Rain Overnight | Strong Winds This Morning",201062,1,,Flat,1950,"MDN HWT","WAITOMO FUELS HWT",10000.00,11:40:00,"N",,"Unrestricted","Maiden","unrestricted","hwt","Slow",7,"Fine",335609,12,10,"Seemax","4","m",66.00,5,2.07.56,0.38.83,6.70," 3/4 LEN","Michael Wallace","Cambridge",20.90,0.00,250.00,"Mathew Gillies",66.00,0.00,47,0,0,"Approved Plates, Lugging Bit, Tongue Tie",287683,"RIP VAN WINKLE (IRE) 2006",208928,"BAILEYS ON ICE (NZ) 1999",
