<-- Copyright Notice: (c) 2019 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201563,1,,Flat,2200,"MDN","COREY N EMMA FAREWELL TO AUS",10000.00,12:08:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",6,"Fine",318284,1,9,"Bahhgoofy","5","g",58.50,6,2.26.69,0.39.38,9.70," ","Daniel Champion & Kezia Murphy","Riccarton Park",8.20,0.00,0.00,"Lee Callaway",58.50,0.00,50,0,0,"Approved Plates, Lugging Bit, Side Winkers",206002,"BAHHARE (USA) 1994",180351,"SAILING HIGH (NZ) 1994",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201563,1,,Flat,2200,"MDN","COREY N EMMA FAREWELL TO AUS",10000.00,12:08:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",6,"Fine",335637,2,7,"Steele Canyon","4","g",58.50,2,2.25.99,0.39.16,5.50," HEAD","Danny Crozier","Riccarton Park",9.90,3.10,2000.00,"Leah Hemi",58.50,0.00,49,0,0,"Approved Plates, Lugging Bit, Blinkers, Tongue Tie",226925,"ZED (NZ) 2002",255316,"MARANTA STAR (AUS) 2001",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201563,1,,Flat,2200,"MDN","COREY N EMMA FAREWELL TO AUS",10000.00,12:08:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",6,"Fine",291249,3,6,"Louvres","7","g",58.50,10,2.28.81,0.40.61,22.60," ","Phillip Craw","Oxford",29.00,0.00,0.00,"Courtney Barnes",58.50,0.00,45,0,0,"Approved Plates, Lugging Bit, Tongue Tie",270284,"SIR PERCY (GB) 2003",278402,"HISTORIC FILLY (AUS) 2003",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201563,1,,Flat,2200,"MDN","COREY N EMMA FAREWELL TO AUS",10000.00,12:08:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",6,"Fine",337758,4,3,"Nathan Detroit","4","g",58.50,1,2.25.09,0.37.35,," 5 1/2 LEN","Pam Robson","Riccarton Park",15.70,2.90,6250.00,"Brandon Morgenrood",59.00,-0.50,45,0,0,"Approved Plates, Lugging Bit, Blinkers",222919,"KEEPER (AUS) 1997",176553,"GLOCCA MORRA (NZ) 1994",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201563,1,,Flat,2200,"MDN","COREY N EMMA FAREWELL TO AUS",10000.00,12:08:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",6,"Fine",327663,5,2,"Ripinhet","4","g",58.50,8,2.27.79,0.40.23,16.40," ","Taylor Burnett","Christchurch",9.20,0.00,0.00,"Tanya Jonker",56.50,2.00,45,0,0,"Approved Plates, Lugging Bit, Nose Band (1st time)",287683,"RIP VAN WINKLE (IRE) 2006",263036,"ALMADAAM (USA) 2005",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201563,1,,Flat,2200,"MDN","COREY N EMMA FAREWELL TO AUS",10000.00,12:08:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",6,"Fine",338037,6,1,"Roc 'N' Gold","4","g",58.50,9,2.28.68,0.41.08,21.80," ","Neill Ridley","Riccarton Park",8.20,0.00,0.00,"Dylan Turner",58.50,0.00,45,0,0,"Approved Plates, Tongue Control Bit (1st time), Nose Band (1st time)",242640,"ROC DE CAMBES (NZ) 2004",267717,"DARCI'S GOLD (NZ) 2008",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201563,1,,Flat,2200,"MDN","COREY N EMMA FAREWELL TO AUS",10000.00,12:08:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",6,"Fine",335899,7,8,"Barzellar","4","m",56.50,5,2.26.63,0.39.52,9.30," ","John Blackadder","Rangiora",2.50,0.00,250.00,"Terry Moseley",56.50,0.00,52,0,0,"Approved Plates, Lugging Bit",241092,"ALAMOSA (NZ) 2004",251567,"ZABEX (AUS) 2006",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201563,1,,Flat,2200,"MDN","COREY N EMMA FAREWELL TO AUS",10000.00,12:08:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",6,"Fine",315246,8,10,"Hokitika Sunset","5","m",56.50,11,2.32.95,0.43.97,47.70," ","Gray Eatwell","Hokitika",60.90,0.00,0.00,"Rohan Mudhoo",53.50,3.00,46,0,0,"Approved Plates, Lugging Bit",277609,"RAISE THE FLAG (GB) 2005",171147,"GLACIER GEM (NZ) 1993",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201563,1,,Flat,2200,"MDN","COREY N EMMA FAREWELL TO AUS",10000.00,12:08:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",6,"Fine",327396,9,5,"Eliza Long","4","m",56.50,4,2.26.23,0.39.43,7.00," 2 1/4 LEN","Neill Ridley","Riccarton Park",6.70,0.00,500.00,"Doni Prastiyou",56.50,0.00,45,0,0,"Approved Plates, Lugging Bit, Blinkers on",278104,"MASTERCRAFTSMAN (IRE) 2006",251303,"DROM (NZ) 2006",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201563,1,,Flat,2200,"MDN","COREY N EMMA FAREWELL TO AUS",10000.00,12:08:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",6,"Fine",350642,10,11,"Raise Your Sights","3","f",56.50,3,2.26.01,0.38.10,5.70," 1 1/4 LEN","Mike McCann","Riccarton Park",37.10,7.10,1000.00,"Krishna Mudhoo",55.50,1.00,45,0,0,"Approved Plates, Lugging Bit, Blinkers",277609,"RAISE THE FLAG (GB) 2005",268113,"KEEPERCROSSED (NZ) 2008",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201563,1,,Flat,2200,"MDN","COREY N EMMA FAREWELL TO AUS",10000.00,12:08:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",6,"Fine",344710,11,4,"Suffragette","3","f",56.50,7,2.27.09,0.39.77,12.10," ","Andrew Carston","Riccarton Park",23.20,0.00,0.00,"Kylie Williams",56.50,0.00,45,0,0,"Concussion Plates (Front), Tongue Control Bit",300223,"ZACINTO (GB) 2006",199957,"INCOMMUNICADO (IRE) 1994",
