<-- Copyright Notice: (c) 2019 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",202525,1,,Hurdle,2500,"MDN HDL","HAWKE'S BAY HUNT MAIDEN HURDLE",10000.00,11:09:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",310778,1,3,"El Fernando","6","g",68.00,2,2.51.18,,1.50," LONG NECK","Mark Brooks","Cambridge",2.80,1.50,2000.00,"Shaun Phelan",68.00,0.00,70,59,0,"Approved Plates, Lugging Bit, Side Winkers (1st time), Boots",247999,"EL HERMANO (NZ) 2005",249932,"FEATHERTOP (AUS) 2002",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",202525,1,,Hurdle,2500,"MDN HDL","HAWKE'S BAY HUNT MAIDEN HURDLE",10000.00,11:09:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",271868,2,7,"Zartan","9","g",68.00,6,2.54.28,,19.50," ","Stephen Nickalls","Palmerston North",7.90,0.00,0.00,"Hamish McNeill",67.00,1.00,67,59,0,"Approved Plates, Hoof Pads (Front), Lugging Bit, Boots, Nasal Strip",226925,"ZED (NZ) 2002",220062,"ROYAL PIXIE (NZ) 2001",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",202525,1,,Hurdle,2500,"MDN HDL","HAWKE'S BAY HUNT MAIDEN HURDLE",10000.00,11:09:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",326788,3,5,"Abacus","4","g",68.00,4,2.51.82,,5.20," 13 LEN","John Wheeler","New Plymouth",6.70,0.00,500.00,"Mathew Cropp",68.00,0.00,65,57,0,"Approved Plates, Lugging Bit, Tongue Tie",225552,"POSTPONED (USA) 1997",288342,"UTMOST CAUTION (AUS) 2007",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",202525,1,,Hurdle,2500,"MDN HDL","HAWKE'S BAY HUNT MAIDEN HURDLE",10000.00,11:09:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",284892,4,4,"Revolution","8","g",68.00,3,2.51.25,,1.90," 3 1/4 LEN","Paul Nelson & Corrina McDougal","Hastings",5.60,2.00,1000.00,"Aaron Kuru",68.00,0.00,60,52,0,"Approved Plates, Lugging Bit, Boots, Nose Band",242513,"GUILLOTINE (NZ) 2004",222181,"KETTLE HILL (NZ) 2001",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",202525,1,,Hurdle,2500,"MDN HDL","HAWKE'S BAY HUNT MAIDEN HURDLE",10000.00,11:09:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",325324,5,8,"Animator (AUS)","6","g",68.00,1,2.50.90,,," 1 1/2 LEN","Brendon Hawtin","Te Awamutu",5.70,2.10,6250.00,"Emily Farr",68.00,0.00,64,50,0,"Approved Plates, Standard Bit, Cheek Burrs",215858,"ENCOSTA DE LAGO (AUS) 1993",325325,"HIDDEN STRINGS (AUS) 2000",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",202525,1,,Hurdle,2500,"MDN HDL","HAWKE'S BAY HUNT MAIDEN HURDLE",10000.00,11:09:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",282392,6,2,"Cool Hand Duke","8","g",68.00,7,2.55.67,,27.80," ","John Bary","Hastings",27.30,0.00,0.00,"Isaac Lupton",68.00,0.00,55,50,0,"Approved Plates, Lugging Bit, Boots",244648,"BACHELOR DUKE (USA) 2001",239605,"JOLIE FEMME (FR) 2001",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",202525,1,,Hurdle,2500,"MDN HDL","HAWKE'S BAY HUNT MAIDEN HURDLE",10000.00,11:09:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",295709,7,6,"King's Secret","7","g",68.00,P,,,," ","Bob Autridge","Matamata",42.00,0.00,0.00,"James Seivwright",66.00,2.00,57,50,0,"Approved Plates, Tongue Control Bit, Boots, Nasal Strip, Tongue Tie",278791,"INDY KING (USA) 1999",202950,"FOXY BOSS (NZ) 1998",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",202525,1,,Hurdle,2500,"MDN HDL","HAWKE'S BAY HUNT MAIDEN HURDLE",10000.00,11:09:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",277484,8,1,"Mr Ink","9","g",68.00,9,2.57.51,,38.60," ","Aaron Bidlake","Opaki",48.20,0.00,0.00,"Nick Downs",66.00,2.00,55,50,0,"Hoof Pads (Front), Lugging Bit, Boots, Nose Band",209726,"ISTIDAAD (USA) 1992",220931,"SHARPIN (NZ) 2001",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",202525,1,,Hurdle,2500,"MDN HDL","HAWKE'S BAY HUNT MAIDEN HURDLE",10000.00,11:09:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",311987,9,9,"Mandalay","6","m",66.00,5,2.54.09,,18.20," 1 1/4 LEN","Kevin Myers","Wanganui",26.80,0.00,250.00,"Shaun Fannin",66.00,0.00,58,55,57,"Approved Plates, Lugging Bit, Boots, Tongue Tie",287687,"SHOWCASING (GB) 2007",236006,"SOMETIMES (NZ) 2003",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",202525,1,,Hurdle,2500,"MDN HDL","HAWKE'S BAY HUNT MAIDEN HURDLE",10000.00,11:09:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",307535,10,11,"Florence Ivy","6","m",66.00,8,2.56.32,,31.60," ","Shaun & Emma Clotworthy","Byerley Park",13.20,0.00,0.00,"Toni Moki",63.50,2.50,63,50,0,"Standard Bit, Boots, Nasal Strip",241392,"NOM DU JEU (NZ) 2004",248901,"VERMILLION (NZ) 2005",
47398,2019-06-29,4,"Hastings","Feature","Race","Hawke's Bay RI","HAWKE'S BAY RI 29 JUN","Slow",7,"Fine","Out 7m | Frost | Heavy Fog",202525,1,,Hurdle,2500,"MDN HDL","HAWKE'S BAY HUNT MAIDEN HURDLE",10000.00,11:09:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",309686,11,10,"Medini","6","m",66.00,10,2.57.94,,41.10," ","Team Rogerson","Tuhikaramea",67.40,0.00,0.00,"Mathew Gillies",66.00,0.00,55,50,0,"Approved Plates, Lugging Bit, Boots",244799,"DUELLED (AUS) 2002",247838,"MAYA (NZ) 2005",
