<-- Copyright Notice: (c) 2019 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",203943,1,,Flat,2100,"Rating 65 Benchmark*","SSANGYONG 2100",10000.00,10:57:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",8,"Fine",325324,1,8,"Animator (AUS)","6","g",60.00,7,2.18.01,0.35.99,4.60," ","Brendon Hawtin","Te Awamutu",27.80,0.00,0.00,"Chris Dell",60.00,0.00,65,0,0,"Approved Plates, Standard Bit, Visor Blinkers, Cheek Burrs on",215858,"ENCOSTA DE LAGO (AUS) 1993",325325,"HIDDEN STRINGS (AUS) 2000",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",203943,1,,Flat,2100,"Rating 65 Benchmark*","SSANGYONG 2100",10000.00,10:57:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",8,"Fine",326680,2,6,"Toorak Tower (AUS)","5","g",59.50,8,2.18.04,0.36.72,4.80," ","Warren Lund","Pokuru",28.40,0.00,0.00,"Ashvin Goindasamy",56.50,3.00,64,0,0,"Approved Plates, Lugging Bit, Nasal Strip",325561,"TOORAK TOFF (AUS) 2007",326681,"VIGNOR (AUS) 1998",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",203943,1,,Flat,2100,"Rating 65 Benchmark*","SSANGYONG 2100",10000.00,10:57:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",8,"Fine",335177,3,5,"Beached As Bro","4","g",59.00,2,2.17.32,0.35.92,0.20," SHORT HEAD","Stephen Marsh","Cambridge",9.90,3.20,2000.00,"Samantha Collett",59.00,0.00,63,0,0,"Approved Plates, Lugging Bit",265282,"OCEAN PARK (NZ) 2008",247603,"KEY MESSAGE (NZ) 2005",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",203943,1,,Flat,2100,"Rating 65 Benchmark*","SSANGYONG 2100",10000.00,10:57:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",8,"Fine",313782,4,11,"Delegate","6","g",59.00,4,2.17.53,0.35.64,1.60," 1 1/2 LEN","Shaun & Emma Clotworthy","Byerley Park",17.20,0.00,500.00,"Erin Leighton",55.00,4.00,63,73,0,"Approved Plates, Standard Bit, Nose Band (1st time)",277609,"RAISE THE FLAG (GB) 2005",244017,"RIVER BEAR (NZ) 2004",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",203943,1,,Flat,2100,"Rating 65 Benchmark*","SSANGYONG 2100",10000.00,10:57:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",8,"Fine",351627,5,3,"The Ice Knight","4","g",59.00,11,2.18.53,0.36.99,7.80," ","Nigel Tiley","Pukekohe",7.20,0.00,0.00,"Sam Spratt",59.00,0.00,63,0,0,"Approved Plates, Lugging Bit, Visor Blinkers",255989,"IFFRAAJ (GB) 2001",216541,"TICKLISH (NZ) 2000",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",203943,1,,Flat,2100,"Rating 65 Benchmark*","SSANGYONG 2100",10000.00,10:57:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",8,"Fine",328314,7,4,"Mav","4","g",58.50,10,2.18.38,0.36.80,7.00," ","Cody Cole","Matamata",16.40,0.00,0.00,"Andrew Calder",58.50,0.00,62,0,0,"Approved Plates, Lugging Bit, Blinkers",276923,"BATTLE PAINT (USA) 2004",262266,"JUST LA DON (NZ) 2007",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",203943,1,,Flat,2100,"Rating 65 Benchmark*","SSANGYONG 2100",10000.00,10:57:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",8,"Fine",319466,8,14,"L'Escalier Rose","5","m",58.00,14,2.19.25,0.37.28,12.20," ","Luke Pertab","Pukekohe",18.60,0.00,0.00,"Vinnie Colgan",58.00,0.00,65,0,0,"Approved Plates, Lugging Bit, Blinkers, Barrier Blanket, Nose Band",216271,"STARCRAFT (NZ) 2000",313881,"CROSS RATE (IRE) 2006",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",203943,1,,Flat,2100,"Rating 65 Benchmark*","SSANGYONG 2100",10000.00,10:57:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",8,"Fine",336368,9,10,"Yatima","4","m",58.00,9,2.18.38,0.36.80,6.90," ","Stephen Marsh","Cambridge",4.20,0.00,0.00,"Craig Grylls",58.00,0.00,65,0,0,"Approved Plates, Lugging Bit",238456,"SAVABEEL (AUS) 2001",233096,"CANCUN (NZ) 2003",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",203943,1,,Flat,2100,"Rating 65 Benchmark*","SSANGYONG 2100",10000.00,10:57:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",8,"Fine",335896,10,7,"Skaaboom","4","m",57.00,3,2.17.33,0.36.15,0.30," 1 1/4 LEN","Tony Pike","Cambridge",15.30,4.00,1000.00,"Michael McNab",57.00,0.00,63,0,0,"Approved Plates, Lugging Bit, Blinkers",255989,"IFFRAAJ (GB) 2001",240900,"SKAAPA (NZ) 2004",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",203943,1,,Flat,2100,"Rating 65 Benchmark*","SSANGYONG 2100",10000.00,10:57:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",8,"Fine",346700,12,9,"Winklebelle","3","f",56.50,5,2.17.77,0.36.37,3.10," LONG HEAD","Ben Foote","Cambridge",11.20,0.00,250.00,"Shaun McKay",56.50,0.00,62,0,0,"Approved Plates, Lugging Bit, Side Winkers - 1 N/S (1st time)",287683,"RIP VAN WINKLE (IRE) 2006",281226,"LAURINEL PRINCESS (AUS) 2004",
47407,2019-06-20,2,"Pukekohe Park","Industry","Race","Counties RC","COUNTIES RC 20 JUN","Slow",8,"Fine","True | No Rain Overnight | Shower Forecast This Afternoon",203943,1,,Flat,2100,"Rating 65 Benchmark*","SSANGYONG 2100",10000.00,10:57:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",8,"Fine",349753,13,12,"Nulli Secundus","3","f",56.00,1,2.17.30,0.35.93,," HEAD","Nicholas Bishara","Ardmore Lodge",6.90,2.80,6250.00,"Rebecca Scott",53.00,3.00,61,0,0,"Approved Plates, Lugging Bit",258606,"JIMMY CHOUX (NZ) 2007",299611,"SPRITES DELIGHT (AUS) 2002",
