<-- Copyright Notice: (c) 2019 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",203553,1,,Hurdle,3000,"RST OPN HDL SWP","ROSSER UNDERWRITING AND LSJ RST OPN HDL 3000",15000.00,11:42:00,"N",65.00,"Unrestricted","Open","unrestricted","sw+p","Heavy",11,"Fine",275031,1,7,"Max","10","g",66.50,4,3.52.63,,16.50," 25 3/4 LEN","Raymond Connors","Wanganui",4.20,0.00,750.00,"Isaac Lupton",66.50,0.00,59,72,92,"Approved Plates, Lugging Bit, Boots",255627,"GALLANT GURU (AUS) 2002",222556,"VITIQUE (NZ) 2001",
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",203553,1,,Hurdle,3000,"RST OPN HDL SWP","ROSSER UNDERWRITING AND LSJ RST OPN HDL 3000",15000.00,11:42:00,"N",65.00,"Unrestricted","Open","unrestricted","sw+p","Heavy",11,"Fine",316232,3,2,"The Cossack","6","g",65.00,2,3.49.93,,1.00," 12 LEN","John Bary","Hastings",9.40,2.40,3000.00,"Aaron Kuru",65.00,0.00,55,59,0,"Approved Plates, Lugging Bit, Boots",278104,"MASTERCRAFTSMAN (IRE) 2006",249817,"STELLARDELMAR (AUS) 2005",
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",203553,1,,Hurdle,3000,"RST OPN HDL SWP","ROSSER UNDERWRITING AND LSJ RST OPN HDL 3000",15000.00,11:42:00,"N",65.00,"Unrestricted","Open","unrestricted","sw+p","Heavy",11,"Fine",271868,4,4,"Zartan","10","g",65.00,5,3.57.15,,42.30," ","Stephen Nickalls","Palmerston North",14.10,0.00,375.00,"Mathew Cropp",65.00,0.00,67,57,0,"Approved Plates, Standard Bit, Boots, Nasal Strip",226925,"ZED (NZ) 2002",220062,"ROYAL PIXIE (NZ) 2001",
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",203553,1,,Hurdle,3000,"RST OPN HDL SWP","ROSSER UNDERWRITING AND LSJ RST OPN HDL 3000",15000.00,11:42:00,"N",65.00,"Unrestricted","Open","unrestricted","sw+p","Heavy",11,"Fine",331352,5,8,"Starbro","5","g",65.00,P,,,," ","Ken Duncan","Hunterville",45.40,0.00,0.00,"Lemmy Douglas",62.00,3.00,45,52,0,"Approved Plates, Lugging Bit, Boots",236672,"METTRE EN JEU (NZ) 2003",236234,"MEYNER (NZ) 2003",
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",203553,1,,Hurdle,3000,"RST OPN HDL SWP","ROSSER UNDERWRITING AND LSJ RST OPN HDL 3000",15000.00,11:42:00,"N",65.00,"Unrestricted","Open","unrestricted","sw+p","Heavy",11,"Fine",313775,6,6,"Grinner","7","h",65.00,3,3.52.02,,13.00," 3 1/2 LEN","John Wheeler","New Plymouth",4.30,1.70,1500.00,"Emily Farr",65.00,0.00,70,50,0,"Approved Plates, Lugging Bit, Boots",255989,"IFFRAAJ (GB) 2001",252464,"ALL SMILES (NZ) 2006",
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",203553,1,,Hurdle,3000,"RST OPN HDL SWP","ROSSER UNDERWRITING AND LSJ RST OPN HDL 3000",15000.00,11:42:00,"N",65.00,"Unrestricted","Open","unrestricted","sw+p","Heavy",11,"Fine",305646,7,1,"Kion","7","g",65.00,P,,,," ","Raymond Connors","Wanganui",8.70,0.00,0.00,"Shaun Fannin",65.00,0.00,54,50,0,"Approved Plates, Lugging Bit, Boots",232838,"NO EXCUSE NEEDED (GB) 1998",253203,"NALA (NZ) 2005",
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",203553,1,,Hurdle,3000,"RST OPN HDL SWP","ROSSER UNDERWRITING AND LSJ RST OPN HDL 3000",15000.00,11:42:00,"N",65.00,"Unrestricted","Open","unrestricted","sw+p","Heavy",11,"Fine",291049,8,9,"Mr Davinci","8","g",65.00,P,,,," ","Gail Temperton","Awapuni",79.50,0.00,0.00,"Gary Walsh",65.00,0.00,45,50,50,"Approved Plates, Lugging Bit, Side Winkers (1st time), Nose Band",226925,"ZED (NZ) 2002",244957,"LOYAL MAID (NZ) 2005",
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",203553,1,,Hurdle,3000,"RST OPN HDL SWP","ROSSER UNDERWRITING AND LSJ RST OPN HDL 3000",15000.00,11:42:00,"N",65.00,"Unrestricted","Open","unrestricted","sw+p","Heavy",11,"Fine",318880,9,5,"Ave Maria","6","m",64.50,1,3.49.75,,," 1 LEN","Kevin Myers","Wanganui",3.20,1.40,9375.00,"Kayla Veenendaal",63.50,1.00,63,69,0,"Boots",244648,"BACHELOR DUKE (USA) 2001",222411,"AVE MAREE (NZ) 2001",
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",203553,1,,Hurdle,3000,"RST OPN HDL SWP","ROSSER UNDERWRITING AND LSJ RST OPN HDL 3000",15000.00,11:42:00,"N",65.00,"Unrestricted","Open","unrestricted","sw+p","Heavy",11,"Fine",337491,10,3,"Heavenly Gold","6","m",63.00,LR,,,," ","Peter & Jessica Brosnan","Matamata",11.20,0.00,0.00,"Timothy Johnson",60.00,3.00,67,50,0,"Approved Plates, Lugging Bit, Bandages, Boots",300392,"ECHOES OF HEAVEN (AUS) 2007",172343,"MIGHTY GOLD (NZ) 1993",
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",204312,2,,Hurdle,3000,"RST OPN HDL SWP","PROPERTY BROKERS COMPLIANCE LTD RST OPN HDL 3000",15000.00,12:10:00,"N",65.00,"Unrestricted","Open","unrestricted","sw+p","Heavy",11,"Fine",300643,1,6,"Zentangle","8","g",71.00,1,3.55.60,,," HEAD","Kevin Myers","Wanganui",2.50,1.30,9375.00,"Ryan Elliot",68.00,3.00,89,81,52,"Approved Plates, Lugging Bit, Boots",261517,"CHINESE DRAGON (USA) 2002",206165,"DOODLE (GB) 1995",
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",204312,2,,Hurdle,3000,"RST OPN HDL SWP","PROPERTY BROKERS COMPLIANCE LTD RST OPN HDL 3000",15000.00,12:10:00,"N",65.00,"Unrestricted","Open","unrestricted","sw+p","Heavy",11,"Fine",265779,2,3,"Ready Eddie","11","g",69.50,6,4.03.10,,43.00," ","Laura Knight","Palmerston North",20.40,0.00,0.00,"Hamish McNeill",68.50,1.00,55,89,0,"Approved Plates, Hoof Pads (Front), Standard Bit, Boots",149270,"YAMANIN VITAL (NZ) 1990",203034,"TAWNCE (NZ) 1998",
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",204312,2,,Hurdle,3000,"RST OPN HDL SWP","PROPERTY BROKERS COMPLIANCE LTD RST OPN HDL 3000",15000.00,12:10:00,"N",65.00,"Unrestricted","Open","unrestricted","sw+p","Heavy",11,"Fine",297666,3,1,"King Oberon","8","g",66.50,2,3.55.63,,0.20," 19 LEN","Raymond Connors","Wanganui",2.60,1.20,3000.00,"Isaac Lupton",66.50,0.00,71,69,0,"Approved Plates, Lugging Bit, Boots, Tongue Tie",238456,"SAVABEEL (AUS) 2001",209778,"THE FAERIE QUEENE (NZ) 1999",
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",204312,2,,Hurdle,3000,"RST OPN HDL SWP","PROPERTY BROKERS COMPLIANCE LTD RST OPN HDL 3000",15000.00,12:10:00,"N",65.00,"Unrestricted","Open","unrestricted","sw+p","Heavy",11,"Fine",299164,4,8,"Kangaroo","8","g",65.00,7,4.03.31,,44.00," ","Kevin Myers","Wanganui",7.30,0.00,0.00,"Toni Moki",63.00,2.00,45,57,57,"Approved Plates, Lugging Bit, Boots, Ear Covers",224608,"BRILLIANCE (USA) 1997",209082,"RAADEE (NZ) 1999",
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",204312,2,,Hurdle,3000,"RST OPN HDL SWP","PROPERTY BROKERS COMPLIANCE LTD RST OPN HDL 3000",15000.00,12:10:00,"N",65.00,"Unrestricted","Open","unrestricted","sw+p","Heavy",11,"Fine",282392,5,7,"Cool Hand Duke","9","g",65.00,5,4.01.97,,36.70," ","John Bary","Hastings",17.70,0.00,375.00,"Aaron Kuru",65.00,0.00,55,50,0,"Approved Plates, Lugging Bit, Boots",244648,"BACHELOR DUKE (USA) 2001",239605,"JOLIE FEMME (FR) 2001",
