<-- Copyright Notice: (c) 2020 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
48594,2020-01-27,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 27 JAN","Good",3,"Fine","True | Heavy dew | 4.5mm rain last 7 days",204675,1,,Flat,1400,"MDN","THE BEACON 1400",10000.00,12:35:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",345575,1,8,"Rocking Along","4","g",58.50,4,1.24.89,0.34.84,2.50," 1 1/4 LEN","Michael Moroney & Pam Gerard","Matamata",3.20,0.00,500.00,"Ryan Elliot",58.50,0.00,51,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit, Tongue Tie",264625,"ROCK 'N' POP (AUS) 2008",269721,"NINA FROM PASADENA (AUS) 2006",
48594,2020-01-27,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 27 JAN","Good",3,"Fine","True | Heavy dew | 4.5mm rain last 7 days",204675,1,,Flat,1400,"MDN","THE BEACON 1400",10000.00,12:35:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",341239,2,3,"War Path","4","g",58.50,6,1.25.46,0.35.95,6.30," ","Stephen Ralph","Te Awamutu",4.80,0.00,0.00,"Samantha Collett",58.50,0.00,51,0,0,"Approved Plates, Lugging Bit, Side Winkers",304111,"SWEET ORANGE (USA) 2007",257748,"PUNT HILL (NZ) 2007",
48594,2020-01-27,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 27 JAN","Good",3,"Fine","True | Heavy dew | 4.5mm rain last 7 days",204675,1,,Flat,1400,"MDN","THE BEACON 1400",10000.00,12:35:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",315825,3,7,"Castle Black","6","g",58.50,5,1.25.08,0.35.21,3.80," 2 1/2 LEN","Team Rogerson","Tuhikaramea",5.80,0.00,250.00,"Matthew Cameron",58.50,0.00,50,0,0,"Approved Plates, Lugging Bit, Tongue Tie",256540,"CECCONI (AUS) 2004",278106,"MISS ONLY YOU (AUS) 2006",
48594,2020-01-27,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 27 JAN","Good",3,"Fine","True | Heavy dew | 4.5mm rain last 7 days",204675,1,,Flat,1400,"MDN","THE BEACON 1400",10000.00,12:35:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",284204,4,4,"Goldchi","9","g",58.50,3,1.24.85,0.35.53,2.30," SHORT NECK","Pat Rodewald","Te Aroha",28.90,4.90,1000.00,"Jasmine Fawcett",57.50,1.00,45,0,0,"Approved Plates, Lugging Bit",238128,"CHIANTI (IRE) 1998",171398,"TWENAPINA (NZ) 1993",
48594,2020-01-27,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 27 JAN","Good",3,"Fine","True | Heavy dew | 4.5mm rain last 7 days",204675,1,,Flat,1400,"MDN","THE BEACON 1400",10000.00,12:35:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",364817,5,1,"Like A Boss","3","g",57.00,2,1.24.54,0.35.33,0.30," 2 LEN","Mark Brosnan","Matamata",5.70,1.70,2000.00,"Andrew Calder",57.00,0.00,50,0,0,"Approved Plates, Lugging Bit, Visor Blinkers, Barrier Blanket",215366,"FALKIRK (NZ) 2000",267893,"QUEST (NZ) 2008",
48594,2020-01-27,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 27 JAN","Good",3,"Fine","True | Heavy dew | 4.5mm rain last 7 days",204675,1,,Flat,1400,"MDN","THE BEACON 1400",10000.00,12:35:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",362102,7,5,"Under the Pump","3","g",57.00,7,1.25.62,0.35.97,7.30," ","Paul Mirabelli","Cambridge",26.70,0.00,0.00,"Richard Oliver",57.00,0.00,45,0,0,"Approved Plates, Lugging Bit, Blinkers, Cheek Burrs",287992,"EL ROCA (AUS) 2010",243038,"SOLITARY (NZ) 2004",
48594,2020-01-27,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 27 JAN","Good",3,"Fine","True | Heavy dew | 4.5mm rain last 7 days",204675,1,,Flat,1400,"MDN","THE BEACON 1400",10000.00,12:35:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",347479,8,6,"Money Shot","4","m",56.50,8,1.26.55,0.36.78,13.10," ","Ralph Manning","Cambridge",6.30,0.00,0.00,"Danielle Johnson",56.50,0.00,45,0,0,"Approved Plates, Lugging Bit, Nose Band",279438,"MEDAGLIA D'ORO (USA) 1999",282803,"BONNIE TYLER (NZ) 2010",
48594,2020-01-27,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 27 JAN","Good",3,"Fine","True | Heavy dew | 4.5mm rain last 7 days",204675,1,,Flat,1400,"MDN","THE BEACON 1400",10000.00,12:35:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",358040,10,2,"Miss Miller","3","f",55.00,1,1.24.48,0.34.96,," NECK","Karen Fursdon","Matamata",9.90,2.60,6250.00,"Taiki Yanagida",54.00,1.00,45,0,0,"Approved Plates, Lugging Bit",211629,"PINS (AUS) 1996",191257,"ZABEELS ANGEL (NZ) 1996",
48594,2020-01-27,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 27 JAN","Good",3,"Fine","True | Heavy dew | 4.5mm rain last 7 days",204672,2,,Flat,1400,"Rating 65 Benchmark*","NICHOLSON AUTOS 1400",10000.00,13:09:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Good",3,"Fine",348200,1,1,"Operator","4","g",59.00,5,1.23.23,0.35.50,3.60," 1 1/2 LEN","Tony Pike","Cambridge",8.90,0.00,250.00,"Ryan Elliot",59.00,0.00,62,0,0,"Approved Plates, Lugging Bit, Nose Band",172521,"O'REILLY (NZ) 1993",162173,"MISS OPERA (NZ) 1992",
48594,2020-01-27,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 27 JAN","Good",3,"Fine","True | Heavy dew | 4.5mm rain last 7 days",204672,2,,Flat,1400,"Rating 65 Benchmark*","NICHOLSON AUTOS 1400",10000.00,13:09:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Good",3,"Fine",350596,3,7,"Call Me Evie","4","m",58.50,3,1.22.93,0.35.10,1.90," 1 1/2 LEN","Bill Pomare","Rotorua",2.90,0.00,1000.00,"Jasmine Fawcett",57.50,1.00,65,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit",276923,"BATTLE PAINT (USA) 2004",247104,"FASTNFREE (NZ) 2005",
48594,2020-01-27,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 27 JAN","Good",3,"Fine","True | Heavy dew | 4.5mm rain last 7 days",204672,2,,Flat,1400,"Rating 65 Benchmark*","NICHOLSON AUTOS 1400",10000.00,13:09:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Good",3,"Fine",339971,4,3,"Glenhope","4","g",58.50,7,1.23.57,0.36.22,5.60," ","Michael Moroney & Pam Gerard","Matamata",8.00,0.00,0.00,"Cameron Lammas",58.50,0.00,61,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit",172521,"O'REILLY (NZ) 1993",222133,"SAPPHIRE BELLE (NZ) 2001",
