<-- Copyright Notice: (c) 2020 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
49441,2020-08-01,2,"Matamata","Feature","Race","Matamata RC","MATAMATA RC 1 AUG","Slow",7,"Overcast","Out 3m | Windy | No rain",207939,1,,Flat,1600,"MDN","BLANDFORD LODGE 1600",10000.00,11:33:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Overcast",363935,1,6,"You Are So Vain","4","g",58.50,7,1.40.76,0.37.68,6.90," ","Stephen Marsh","Cambridge",3.30,0.00,200.00,"Craig Grylls",58.50,0.00,51,0,0,"Approved Plates, Lugging Bit, Blinkers",313563,"HIGHLY RECOMMENDED (AUS) 2008",250211,"STREET SIREN (AUS) 2004",
49441,2020-08-01,2,"Matamata","Feature","Race","Matamata RC","MATAMATA RC 1 AUG","Slow",7,"Overcast","Out 3m | Windy | No rain",207939,1,,Flat,1600,"MDN","BLANDFORD LODGE 1600",10000.00,11:33:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Overcast",346774,2,7,"Atom Ant","5","g",58.50,13,1.41.75,0.38.80,13.10," NECK","Karyn McQuade","Matamata",33.10,0.00,200.00,"Mubs Kareem",55.50,3.00,50,0,0,"Approved Plates, Lugging Bit, Pacifiers",300223,"ZACINTO (GB) 2006",265195,"BARBARA JENNIE (NZ) 2008",
49441,2020-08-01,2,"Matamata","Feature","Race","Matamata RC","MATAMATA RC 1 AUG","Slow",7,"Overcast","Out 3m | Windy | No rain",207939,1,,Flat,1600,"MDN","BLANDFORD LODGE 1600",10000.00,11:33:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Overcast",330744,3,5,"Monbeau","6","g",58.50,3,1.39.96,0.36.44,1.60," 2 LEN","Shelley Houston","Cambridge",27.30,6.70,700.00,"Chad Ormsby",58.50,0.00,50,0,0,"Approved Plates, Lugging Bit, Nose Band",278104,"MASTERCRAFTSMAN (IRE) 2006",246253,"MON BEAU CHEVAL (NZ) 2005",
49441,2020-08-01,2,"Matamata","Feature","Race","Matamata RC","MATAMATA RC 1 AUG","Slow",7,"Overcast","Out 3m | Windy | No rain",207939,1,,Flat,1600,"MDN","BLANDFORD LODGE 1600",10000.00,11:33:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Overcast",353752,4,14,"Mr Ghibson","4","g",58.50,8=,1.41.05,0.38.70,8.70," DEAD HEAT","Daniel Miller","Matamata",10.50,0.00,200.00,"Sam Weatherley",58.50,0.00,50,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit",338027,"GHIBELLINES (AUS) 2011",300865,"THEWAYIAM (NZ) 2011",
49441,2020-08-01,2,"Matamata","Feature","Race","Matamata RC","MATAMATA RC 1 AUG","Slow",7,"Overcast","Out 3m | Windy | No rain",207939,1,,Flat,1600,"MDN","BLANDFORD LODGE 1600",10000.00,11:33:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Overcast",341595,5,8,"Prestigious Lad","5","g",58.50,1,1.39.74,0.37.05,," NECK","Iain Kennedy","Rotorua",29.30,6.20,5400.00,"Jonathan Riddell",58.50,0.00,50,0,0,"Approved Plates, Lugging Bit, Blinkers",313325,"POWER (GB) 2009",258373,"DONTDYEWONDERIN (NZ) 2007",
49441,2020-08-01,2,"Matamata","Feature","Race","Matamata RC","MATAMATA RC 1 AUG","Slow",7,"Overcast","Out 3m | Windy | No rain",207939,1,,Flat,1600,"MDN","BLANDFORD LODGE 1600",10000.00,11:33:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Overcast",343016,6,15,"Remember O'Reilly","5","g",58.50,12,1.41.74,0.39.42,13.00," ","Chris Wood","Cambridge",24.60,0.00,200.00,"Matthew Cameron",58.50,0.00,50,0,0,"Approved Plates, Lugging Bit, Blinkers, Tongue Tie",172521,"O'REILLY (NZ) 1993",258931,"ARDECHE (NZ) 2007",
49441,2020-08-01,2,"Matamata","Feature","Race","Matamata RC","MATAMATA RC 1 AUG","Slow",7,"Overcast","Out 3m | Windy | No rain",207939,1,,Flat,1600,"MDN","BLANDFORD LODGE 1600",10000.00,11:33:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Overcast",362405,7,11,"Harvey Darvey","4","g",58.50,11,1.41.67,0.38.28,12.60," ","Karen Fursdon","Matamata",50.50,0.00,200.00,"Jasmine Fawcett",57.50,1.00,45,0,0,"Approved Plates, Lugging Bit",193564,"PENTIRE (GB) 1992",209404,"POLKA (NZ) 1999",
49441,2020-08-01,2,"Matamata","Feature","Race","Matamata RC","MATAMATA RC 1 AUG","Slow",7,"Overcast","Out 3m | Windy | No rain",207939,1,,Flat,1600,"MDN","BLANDFORD LODGE 1600",10000.00,11:33:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Overcast",352895,8,13,"Pistolero","5","g",58.50,14,1.41.78,0.38.16,13.40," ","Brian Hedley","Te Aroha",46.40,0.00,200.00,"Trudy Thornton",58.50,0.00,45,0,0,"Approved Plates, Lugging Bit, Blinkers",238720,"EKRAAR (USA) 1997",199615,"FORLORNA (IRE) 1996",
49441,2020-08-01,2,"Matamata","Feature","Race","Matamata RC","MATAMATA RC 1 AUG","Slow",7,"Overcast","Out 3m | Windy | No rain",207939,1,,Flat,1600,"MDN","BLANDFORD LODGE 1600",10000.00,11:33:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Overcast",340696,9,9,"Rocco","5","g",58.50,16,1.42.25,0.38.63,16.30," ","Darryn Weatherley","Matamata",43.20,0.00,0.00,"Shaun McKay",58.50,0.00,45,0,0,"Approved Plates, Tongue Control Bit, Blinkers (1st time), Nose Band (1st time)",278260,"ROAD TO ROCK (AUS) 2004",252683,"ISABELLA SORAYA (NZ) 2006",
49441,2020-08-01,2,"Matamata","Feature","Race","Matamata RC","MATAMATA RC 1 AUG","Slow",7,"Overcast","Out 3m | Windy | No rain",207939,1,,Flat,1600,"MDN","BLANDFORD LODGE 1600",10000.00,11:33:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Overcast",359402,10,3,"Silver Nugget","4","g",58.50,10,1.41.22,0.37.93,9.70," ","Janenne Dalley","Cambridge",70.30,0.00,200.00,"Richard Oliver",58.50,0.00,45,0,0,"Approved Plates, Lugging Bit",302210,"DALGHAR (FR) 2006",270572,"MAGIC MEMORIES (NZ) 2007",
49441,2020-08-01,2,"Matamata","Feature","Race","Matamata RC","MATAMATA RC 1 AUG","Slow",7,"Overcast","Out 3m | Windy | No rain",207939,1,,Flat,1600,"MDN","BLANDFORD LODGE 1600",10000.00,11:33:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Overcast",364213,11,1,"Altar Girl","4","m",56.50,6,1.40.73,0.37.33,6.70," ","Rudy Liefting","Pukekohe Park",3.20,0.00,200.00,"Masa Hashizume",53.50,3.00,54,0,0,"Approved Plates, Lugging Bit",287992,"EL ROCA (AUS) 2010",278025,"REQUIEM MOSS (AUS) 2006",
