<-- Copyright Notice: (c) 2020 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",208043,1,,Flat,1800,"MDN","EVENTS TARANAKI MDN",10000.00,12:04:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",10,"Overcast",361677,1,4,"No Compromise","4","g",58.50,3,1.56.84,0.38.26,1.60," 1/2 HEAD","Bill Thurlow","Waverley",2.80,1.30,700.00,"Sam O'Malley",56.50,2.00,54,0,0,"Approved Plates, Lugging Bit, Blinkers, Nose Band",211629,"PINS (AUS) 1996",325978,"BAGGY GREEN (AUS) 2008",
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",208043,1,,Flat,1800,"MDN","EVENTS TARANAKI MDN",10000.00,12:04:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",10,"Overcast",324325,2,1,"Country Bumpkin","7","g",58.50,2,1.56.69,0.38.97,0.80," 3/4 LEN","Niall Quinn","Wanganui",15.60,5.60,1500.00,"Tegan Newman",55.50,3.00,52,57,69,"Approved Plates, Lugging Bit, Blinkers",210214,"ST REIMS (NZ) 1999",232590,"DELECTICA (AUS) 1999",
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",208043,1,,Flat,1800,"MDN","EVENTS TARANAKI MDN",10000.00,12:04:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",10,"Overcast",360574,4,7,"Ribzz","4","g",58.50,10,1.59.33,0.41.10,16.40," ","Stephen Marsh","Cambridge",5.20,0.00,200.00,"Samantha Collett",58.50,0.00,52,0,0,"Approved Plates, Standard Bit",338027,"GHIBELLINES (AUS) 2011",264736,"AIMEES GOLD (NZ) 2008",
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",208043,1,,Flat,1800,"MDN","EVENTS TARANAKI MDN",10000.00,12:04:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",10,"Overcast",348073,5,13,"Hijacked","5","g",58.50,13,2.00.81,0.42.18,25.00," ","Kevin Myers","Wanganui",10.40,0.00,200.00,"Kozzi Asano",57.50,1.00,51,0,0,"Approved Plates, Lugging Bit",271558,"SHAMEXPRESS (NZ) 2009",269071,"SHEHAD (NZ) 2008",
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",208043,1,,Flat,1800,"MDN","EVENTS TARANAKI MDN",10000.00,12:04:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",10,"Overcast",290345,7,8,"Bear Gryls","9","g",58.50,8,1.58.17,0.39.35,9.40," ","Barry Coxhead","Hawera",55.70,0.00,200.00,"Maria Sanson",54.50,4.00,46,0,0,"Approved Plates, Lugging Bit, Side Winkers on, Boots",256540,"CECCONI (AUS) 2004",244163,"SAINT LUCY (AUS) 2000",
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",208043,1,,Flat,1800,"MDN","EVENTS TARANAKI MDN",10000.00,12:04:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",10,"Overcast",366224,8,10,"Yulong Lanson (AUS)","5","g",58.50,6,1.57.98,0.39.02,8.30," ","Kevin Myers","Wanganui",38.80,0.00,200.00,"Sarah Macnab",57.50,1.00,46,0,0,"Approved Plates, Lugging Bit",253420,"CASINO PRINCE (AUS) 2003",177827,"CHAMPAGNE (NZ) 1994",
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",208043,1,,Flat,1800,"MDN","EVENTS TARANAKI MDN",10000.00,12:04:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",10,"Overcast",364213,9,9,"Altar Girl","4","m",56.50,5,1.57.75,0.39.88,7.00," ","Rudy Liefting","Pukekohe Park",11.10,0.00,200.00,"Chris Dell",56.50,0.00,53,0,0,"Approved Plates, Lugging Bit",287992,"EL ROCA (AUS) 2010",278025,"REQUIEM MOSS (AUS) 2006",
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",208043,1,,Flat,1800,"MDN","EVENTS TARANAKI MDN",10000.00,12:04:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",10,"Overcast",364069,10,12,"Crimson Star","4","m",56.50,11,1.59.85,0.41.30,19.40," ","Clinton Isdale","Te Awamutu",12.50,0.00,200.00,"Hazel Schofer",55.00,1.50,51,0,0,"Approved Plates, Lugging Bit, Blinkers, Nasal Strip",268744,"BURGUNDY (NZ) 2008",279098,"RED TULIP (AUS) 2003",
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",208043,1,,Flat,1800,"MDN","EVENTS TARANAKI MDN",10000.00,12:04:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",10,"Overcast",335736,11,2,"Princess Jenni","6","m",56.50,4,1.56.86,0.38.63,1.70," 5 1/4 LEN","Anna Clement","Hawera",22.50,0.00,400.00,"Bridie Ansell",53.50,3.00,50,0,0,"Ear Covers Pre-Race, Approved Plates, Norton Bit, Blinkers",226925,"ZED (NZ) 2002",189801,"JENNIBEGOOD (NZ) 1996",
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",208043,1,,Flat,1800,"MDN","EVENTS TARANAKI MDN",10000.00,12:04:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",10,"Overcast",359170,12,14,"Redgum","4","m",56.50,9,1.59.30,0.40.33,16.20," ","John Wheeler","New Plymouth",11.40,0.00,200.00,"Temyia Taiaroa",53.50,3.00,50,0,0,"Approved Plates, Lugging Bit",301937,"REDWOOD (GB) 2006",265314,"SMOKE 'N' MIRRORS (NZ) 2008",
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",208043,1,,Flat,1800,"MDN","EVENTS TARANAKI MDN",10000.00,12:04:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",10,"Overcast",345849,13,11,"Shezabelter","5","m",56.50,12,2.00.51,0.41.19,23.20," ","Janelle Millar","New Plymouth",12.80,0.00,200.00,"Rosie Myers",56.50,0.00,50,0,0,"Approved Plates, Lugging Bit, Tongue Tie (1st time)",276923,"BATTLE PAINT (USA) 2004",253128,"ROYAL QUEEN (NZ) 2006",
