<-- Copyright Notice: (c) 2020 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208734,1,,Flat,1000,"2YO SW+P","NZB RTR TRAINERS SERIES 2YO",22500.00,12:39:00,"N",,"2yo","Open","unrestricted","sw+p","Dead",4,"Overcast",383616,1,2,"King Of Reds","2","g",57.00,3,0.58.62,0.34.49,2.10," SHORT NECK","Peter McKay","Matamata",5.00,1.30,1575.00,"Sam Weatherley",57.00,0.00,52,0,0,"Approved Plates, Lugging Bit",268744,"BURGUNDY (NZ) 2008",276663,"QUEEN OF EXCUSES (NZ) 2009",
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208734,1,,Flat,1000,"2YO SW+P","NZB RTR TRAINERS SERIES 2YO",22500.00,12:39:00,"N",,"2yo","Open","unrestricted","sw+p","Dead",4,"Overcast",398780,2,4,"Palamos (AUS)","2","c",57.00,1,0.58.35,0.33.99,," 2 LEN","Jamie Richards","Matamata",2.10,1.30,13050.00,"Troy Harris",57.00,0.00,47,0,0,"Approved Plates, Lugging Bit",384828,"EXTREME CHOICE (AUS) 2013",398781,"UNREVEALED (USA) 2009",
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208734,1,,Flat,1000,"2YO SW+P","NZB RTR TRAINERS SERIES 2YO",22500.00,12:39:00,"N",,"2yo","Open","unrestricted","sw+p","Dead",4,"Overcast",395250,3,9,"Te Poropiti","2","c",57.00,6,0.59.12,0.34.27,5.80," ","Team Rogerson","Tuhikaramea",16.80,0.00,450.00,"Samantha Collett",57.00,0.00,47,0,0,"Approved Plates, Lugging Bit",368438,"DIVINE PROPHET (AUS) 2013",284147,"CARAMELLOS (NZ) 2010",
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208734,1,,Flat,1000,"2YO SW+P","NZB RTR TRAINERS SERIES 2YO",22500.00,12:39:00,"N",,"2yo","Open","unrestricted","sw+p","Dead",4,"Overcast",384329,4,7,"Cherokee Warrior","2","c",57.00,8,1.01.07,0.35.90,19.00," ","Dean Wiles","Cambridge",28.00,0.00,450.00,"Trudy Thornton",57.00,0.00,46,0,0,"Approved Plates, Lugging Bit",287687,"SHOWCASING (GB) 2007",269818,"LADY CHEROKEE (USA) 2002",
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208734,1,,Flat,1000,"2YO SW+P","NZB RTR TRAINERS SERIES 2YO",22500.00,12:39:00,"N",,"2yo","Open","unrestricted","sw+p","Dead",4,"Overcast",393320,5,5,"Heroic Warrior","2","c",57.00,7,1.00.27,0.35.70,13.60," ","Dean Wiles","Cambridge",84.00,0.00,450.00,"Lynsey Satherley",57.00,0.00,46,0,0,"Approved Plates, Lugging Bit",265282,"OCEAN PARK (NZ) 2008",239893,"VOLIERA (AUS) 2004",
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208734,1,,Flat,1000,"2YO SW+P","NZB RTR TRAINERS SERIES 2YO",22500.00,12:39:00,"N",,"2yo","Open","unrestricted","sw+p","Dead",4,"Overcast",390506,6,8,"Miss Ipenema","2","f",55.00,2,0.58.61,0.34.47,2.00," NOSE","Glen Harvey","Cambridge",17.70,3.10,3375.00,"Leith Innes",55.00,0.00,52,0,0,"Approved Plates on, Lugging Bit, Ear Covers (1st time)",271956,"SACRED FALLS (NZ) 2009",278535,"MISS ELUSIVE (AUS) 2004",
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208734,1,,Flat,1000,"2YO SW+P","NZB RTR TRAINERS SERIES 2YO",22500.00,12:39:00,"N",,"2yo","Open","unrestricted","sw+p","Dead",4,"Overcast",396980,8,6,"Hillaby (AUS)","2","f",55.00,5,0.58.87,0.34.30,3.80," 2 LEN","Johno Benner & Hollie Wynyard","Otaki",3.50,0.00,450.00,"Danielle Johnson",55.00,0.00,47,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit",344019,"SHOOTING TO WIN (AUS) 2011",294301,"THRILL (NZ) 2011",
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208734,1,,Flat,1000,"2YO SW+P","NZB RTR TRAINERS SERIES 2YO",22500.00,12:39:00,"N",,"2yo","Open","unrestricted","sw+p","Dead",4,"Overcast",392883,9,1,"Indy Rose Warrior","2","f",55.00,4,0.58.65,0.34.28,2.30," 1 1/2 LEN","Dean Wiles","Cambridge",20.50,0.00,900.00,"Hazel Schofer",55.50,-0.50,47,0,0,"Approved Plates, Lugging Bit",287992,"EL ROCA (AUS) 2010",234545,"BLACK CAT (NZ) 2003",
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208734,1,,Flat,1000,"2YO SW+P","NZB RTR TRAINERS SERIES 2YO",22500.00,12:39:00,"N",,"2yo","Open","unrestricted","sw+p","Dead",4,"Overcast",385057,10,3,"Lady Maroal","2","f",55.00,9,1.01.72,0.36.67,23.40," ","Nigel Tiley","Pukekohe",33.30,0.00,450.00,"Matthew Cameron",55.00,0.00,45,0,0,"Approved Plates, Standard Bit",313325,"POWER (GB) 2009",207224,"LADY DEHERE (NZ) 1999",
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208729,2,,Flat,1400,"OPN HCP","BEEFEATER GARDEN  BAR 12/12 1400",32500.00,13:12:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Dead",4,"Overcast",334119,2,4,"Swisswatch","6","g",61.50,8,1.22.41,0.35.47,4.50," ","Shaune Ritchie & Colm Murray","Cambridge",6.60,0.00,650.00,"Sam Weatherley",61.50,0.00,88,0,0,"Approved Plates, Lugging Bit, Blinkers",285139,"SWISS ACE (AUS) 2004",277811,"DEUTSCHE (AUS) 2005",
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208729,2,,Flat,1400,"OPN HCP","BEEFEATER GARDEN  BAR 12/12 1400",32500.00,13:12:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Dead",4,"Overcast",340717,3,5,"Vernanme","5","g",60.00,2,1.21.82,0.34.52,0.80," SHORT HEAD","Stephen Marsh","Cambridge",9.90,2.40,4875.00,"Danielle Johnson",60.00,0.00,85,0,0,"Approved Plates, Lugging Bit, Tongue Tie",172521,"O'REILLY (NZ) 1993",198965,"BOHEMIAN BLUES (NZ) 1997",
