<-- Copyright Notice: (c) 2020 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",209334,1,,Flat,1400,"3YO SW+P","INTER BUILDING LTD 3YO – NOEL EALES MEMORIAL",25000.00,12:13:00,"N",,"3yo","Open","unrestricted","sw+p","Dead",4,"Fine",373621,1,2,"Invisible Spirit","3","g",58.50,4,1.24.20,0.36.15,1.90," 3/4 LEN","Johno Benner & Hollie Wynyard","Otaki",2.20,0.00,1000.00,"Lisa Allpress",58.50,0.00,68,0,0,"Approved Plates, Lugging Bit, Blinkers, Tongue Tie (1st time)",337951,"CHARM SPIRIT (IRE) 2011",338825,"INVISIBLE COIN (AUS) 2010",
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",209334,1,,Flat,1400,"3YO SW+P","INTER BUILDING LTD 3YO – NOEL EALES MEMORIAL",25000.00,12:13:00,"N",,"3yo","Open","unrestricted","sw+p","Dead",4,"Fine",381397,2,9,"Just Ben (AUS)","3","g",56.00,9,1.26.29,0.38.19,15.30," ","Gary Vile","Awapuni",38.10,0.00,500.00,"Hazel Schofer",56.00,0.00,51,0,0,"Approved Plates, Lugging Bit, Blinkers on, Nose Band, Tongue Tie",311287,"BENFICA (AUS) 2008",381398,"FASTBEAT (AUS) 2011",
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",209334,1,,Flat,1400,"3YO SW+P","INTER BUILDING LTD 3YO – NOEL EALES MEMORIAL",25000.00,12:13:00,"N",,"3yo","Open","unrestricted","sw+p","Dead",4,"Fine",367412,3,5,"Mahoe","3","g",56.00,1,1.23.94,0.35.64,," NECK","Kevin Gray","Copper Belt Lodge, Palmerston North",30.00,4.70,13500.00,"Temyia Taiaroa",53.00,3.00,47,0,0,"Approved Plates, Lugging Bit",241092,"ALAMOSA (NZ) 2004",245394,"JUNGLETIME (AUS) 2005",
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",209334,1,,Flat,1400,"3YO SW+P","INTER BUILDING LTD 3YO – NOEL EALES MEMORIAL",25000.00,12:13:00,"N",,"3yo","Open","unrestricted","sw+p","Dead",4,"Fine",376579,4,7,"Bo Jackson","3","g",56.00,8,1.25.85,0.36.81,12.50," ","Anne Herbert","Awapuni",37.60,0.00,500.00,"Leah Hemi",56.00,0.00,45,0,0,"Approved Plates, Lugging Bit, Blinkers",300491,"MONGOLIAN KHAN (AUS) 2011",220127,"RAADISI (NZ) 2001",
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",209334,1,,Flat,1400,"3YO SW+P","INTER BUILDING LTD 3YO – NOEL EALES MEMORIAL",25000.00,12:13:00,"N",,"3yo","Open","unrestricted","sw+p","Dead",4,"Fine",367992,5,6,"Regal Ruby","3","f",55.50,6,1.24.39,0.35.47,3.00," ","Robbie Patterson","New Plymouth",6.40,0.00,500.00,"Johnathan Parkes",56.00,-0.50,63,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit",353230,"NIGHT OF THUNDER (IRE) 2011",290103,"CHOICE (NZ) 2011",
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",209334,1,,Flat,1400,"3YO SW+P","INTER BUILDING LTD 3YO – NOEL EALES MEMORIAL",25000.00,12:13:00,"N",,"3yo","Open","unrestricted","sw+p","Dead",4,"Fine",377186,6,8,"Sumi","3","f",55.50,3,1.24.09,0.34.97,1.10," 3/4 LEN","Allan Sharrock","New Plymouth",2.70,1.10,1750.00,"Ashvin Goindasamy",54.50,1.00,63,0,0,"Approved Plates, Lugging Bit",300453,"ATLANTE (AUS) 2010",218015,"SEEK A FORTUNE (NZ) 2000",
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",209334,1,,Flat,1400,"3YO SW+P","INTER BUILDING LTD 3YO – NOEL EALES MEMORIAL",25000.00,12:13:00,"N",,"3yo","Open","unrestricted","sw+p","Dead",4,"Fine",376149,7,3,"Victorem","3","f",54.00,5,1.24.33,0.36.10,2.70," NECK","Anne Herbert","Awapuni",16.60,0.00,500.00,"Shaun McKay",54.00,0.00,51,0,0,"Approved Plates, Lugging Bit, Nose Band",344019,"SHOOTING TO WIN (AUS) 2011",338470,"GYMNAST (AUS) 2011",
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",209334,1,,Flat,1400,"3YO SW+P","INTER BUILDING LTD 3YO – NOEL EALES MEMORIAL",25000.00,12:13:00,"N",,"3yo","Open","unrestricted","sw+p","Dead",4,"Fine",375942,8,1,"Meglio Di Falcrest","3","f",54.00,2,1.23.99,0.35.96,0.30," 3/4 LEN","Ashley Meadows","Awapuni",19.50,3.00,3750.00,"Sarah Macnab",53.00,1.00,50,0,0,"Approved Plates, Lugging Bit",364984,"BETTER THAN READY (AUS) 2009",233135,"FALCREST (NZ) 2003",
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",209334,1,,Flat,1400,"3YO SW+P","INTER BUILDING LTD 3YO – NOEL EALES MEMORIAL",25000.00,12:13:00,"N",,"3yo","Open","unrestricted","sw+p","Dead",4,"Fine",377673,9,4,"Jingle Jangle","3","f",54.00,7,1.24.61,0.36.01,4.50," ","Jeff Bliss","Stratford",34.00,0.00,500.00,"Ashvin Mudhoo",50.00,4.00,45,0,0,"Approved Plates, Lugging Bit",249127,"KEANO (NZ) 2005",253629,"ASCOLINI (NZ) 2006",
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",209329,2,,Flat,1200,"Rating 74 Benchmark","JAPAC HOMES 1200",27500.00,12:45:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Dead",4,"Fine",352890,1,5,"Challa (AUS)","4","g",60.50,5,1.11.70,0.36.15,3.10," 3/4 LEN","Jamie Richards","Matamata",2.30,0.00,550.00,"Joe Kamaruddin",56.50,4.00,75,0,0,"Approved Plates, Lugging Bit, Nose Band, Tongue Tie",344095,"DISSIDENT (AUS) 2010",352891,"ARE THERE ANY (AUS) 2009",
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",209329,2,,Flat,1200,"Rating 74 Benchmark","JAPAC HOMES 1200",27500.00,12:45:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Dead",4,"Fine",325662,2,1,"Hugo The Boss (AUS)","7","g",60.50,7,1.11.86,0.36.37,4.10," ","John Bary","Hastings",16.10,0.00,550.00,"Kate Hercock",60.50,0.00,75,0,0,"Approved Plates, Standard Bit, Ear Covers on, Nose Band",250799,"STRATUM (AUS) 2002",259982,"DRESSED (NZ) 2007",
