<-- Copyright Notice: (c) 2020 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
49636,2020-12-30,6,"Kurow","Industry","Race","Kurow JC","KUROW 30 DEC","Dead",4,"Fine","True | No Rain Last 24hrs",209093,1,,Flat,1400,"MDN","COCHRANES FARM MACHINERY MDN 1400",10000.00,13:18:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",328835,1,2,"Ideal Warrior","6","g",58.50,10,1.29.11,0.37.82,16.10," ","Brett Inglis","Timaru",41.20,0.00,200.00,"Sanu Toolooa",55.50,3.00,48,0,0,"Approved Plates, Lugging Bit, Blinkers",287883,"SHAMOLINE WARRIOR (AUS) 2006",235689,"MY IDEAL (NZ) 2003",
49636,2020-12-30,6,"Kurow","Industry","Race","Kurow JC","KUROW 30 DEC","Dead",4,"Fine","True | No Rain Last 24hrs",209093,1,,Flat,1400,"MDN","COCHRANES FARM MACHINERY MDN 1400",10000.00,13:18:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",360277,2,7,"Listenlikethieves","4","g",58.50,5,1.27.14,0.36.40,2.50," ","John Blackadder","Rangiora",17.00,0.00,200.00,"Brett Murray",58.50,0.00,45,0,0,"Approved Plates, Lugging Bit, Blinkers (1st time)",271558,"SHAMEXPRESS (NZ) 2009",232549,"MYSTIFY (NZ) 2002",
49636,2020-12-30,6,"Kurow","Industry","Race","Kurow JC","KUROW 30 DEC","Dead",4,"Fine","True | No Rain Last 24hrs",209093,1,,Flat,1400,"MDN","COCHRANES FARM MACHINERY MDN 1400",10000.00,13:18:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",379893,3,4,"Our Clarry","3","g",57.00,7,1.27.55,0.37.57,5.50," ","Bruce Tapper","Timaru",4.90,0.00,200.00,"Daniel Bothamley",57.00,0.00,45,0,0,"Approved Plates, Lugging Bit, Tongue Tie (1st time)",313390,"NATURAL DESTINY (AUS) 2002",247191,"CHARLENE (NZ) 2005",
49636,2020-12-30,6,"Kurow","Industry","Race","Kurow JC","KUROW 30 DEC","Dead",4,"Fine","True | No Rain Last 24hrs",209093,1,,Flat,1400,"MDN","COCHRANES FARM MACHINERY MDN 1400",10000.00,13:18:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",359055,4,3,"Crystal Bellini","4","m",56.50,3,1.26.98,0.36.56,1.60," 3/4 LEN","Brian & Shane Anderton","Wingatui",8.30,2.40,700.00,"Courtney Barnes",56.50,0.00,46,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit, Blinkers on, Nose Band, Tongue Tie",338027,"GHIBELLINES (AUS) 2011",216074,"MEGAGEM (NZ) 2000",
49636,2020-12-30,6,"Kurow","Industry","Race","Kurow JC","KUROW 30 DEC","Dead",4,"Fine","True | No Rain Last 24hrs",209093,1,,Flat,1400,"MDN","COCHRANES FARM MACHINERY MDN 1400",10000.00,13:18:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",358150,5,8,"Katchin Feelings","4","m",56.50,4,1.27.13,0.37.07,2.40," 1/2 HEAD","Ken Rae & Krystal Williams-Tuhoro","Ruakaka",10.00,0.00,400.00,"Racha Cuneen",57.00,-0.50,46,0,0,"Approved Plates, Lugging Bit, Blinkers, Tongue Tie",337951,"CHARM SPIRIT (IRE) 2011",285809,"APPLAUDING (NZ) 2010",
49636,2020-12-30,6,"Kurow","Industry","Race","Kurow JC","KUROW 30 DEC","Dead",4,"Fine","True | No Rain Last 24hrs",209093,1,,Flat,1400,"MDN","COCHRANES FARM MACHINERY MDN 1400",10000.00,13:18:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",346102,6,9,"Shelob","5","m",56.50,6,1.27.15,0.36.73,2.70," ","Ken Rae & Krystal Williams-Tuhoro","Ruakaka",16.50,0.00,200.00,"Tanya Jonker",56.50,0.00,45,0,0,"Approved Plates, Lugging Bit",278342,"THEWAYYOUARE (USA) 2005",215341,"DOMINIQUE (NZ) 2000",
49636,2020-12-30,6,"Kurow","Industry","Race","Kurow JC","KUROW 30 DEC","Dead",4,"Fine","True | No Rain Last 24hrs",209093,1,,Flat,1400,"MDN","COCHRANES FARM MACHINERY MDN 1400",10000.00,13:18:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",361858,7,1,"Sombra Deamor","4","m",56.50,9,1.28.50,0.37.77,12.10," ","John & Karen Parsons","Balcairn",11.40,0.00,200.00,"Gosen Jogoo",56.50,0.00,45,0,0,"Approved Plates, Lugging Bit, Side Winkers, Tongue Tie",211629,"PINS (AUS) 1996",253686,"DRIZZLE (NZ) 2006",
49636,2020-12-30,6,"Kurow","Industry","Race","Kurow JC","KUROW 30 DEC","Dead",4,"Fine","True | No Rain Last 24hrs",209093,1,,Flat,1400,"MDN","COCHRANES FARM MACHINERY MDN 1400",10000.00,13:18:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",366552,10,5,"Gone With The Wind","3","f",55.00,1,1.26.76,0.35.41,," NOSE","Andrew Carston","Riccarton Park",4.10,1.60,5800.00,"Chris Johnson",55.00,0.00,47,0,0,"Approved Plates, Lugging Bit, Blinkers",271315,"SEBRING (AUS) 2005",299577,"DANCE ON BY (IRE) 2007",
49636,2020-12-30,6,"Kurow","Industry","Race","Kurow JC","KUROW 30 DEC","Dead",4,"Fine","True | No Rain Last 24hrs",209093,1,,Flat,1400,"MDN","COCHRANES FARM MACHINERY MDN 1400",10000.00,13:18:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",368002,12,6,"Miss If Formax","3","f",55.00,2,1.26.77,0.35.75,0.10," 1 1/2 LEN","Michael & Matthew Pitman","Yaldhurst, Riccarton Park",4.30,1.60,1500.00,"Samantha Wynne",55.00,0.00,45,0,0,"Approved Plates, Lugging Bit, Side Winkers",255989,"IFFRAAJ (GB) 2001",267497,"MISS MAXIMUSS (NZ) 2007",
49636,2020-12-30,6,"Kurow","Industry","Race","Kurow JC","KUROW 30 DEC","Dead",4,"Fine","True | No Rain Last 24hrs",209093,1,,Flat,1400,"MDN","COCHRANES FARM MACHINERY MDN 1400",10000.00,13:18:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",379898,16,10,"Nellie Grey","4","m",56.50,8,1.28.09,0.37.68,9.30," ","Pat Collins","Timaru",18.10,0.00,200.00,"Tina Comignaghi",56.50,0.00,45,0,0,"Approved Plates, Lugging Bit",255433,"PERFECTLY READY (AUS) 2002",280454,"SILVER SHADOW (NZ) 2010",
49636,2020-12-30,6,"Kurow","Industry","Race","Kurow JC","KUROW 30 DEC","Dead",4,"Fine","True | No Rain Last 24hrs",210820,2,,Flat,1400,"MDN","MCKEOWN PETROLEUM MDN 1400",10000.00,13:52:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",359236,1,2,"Our Echo","4","g",58.50,1,1.27.04,0.36.04,," LONG NECK","Danny Frye","Balcairn",1.50,1.00,5800.00,"Akshay Balloo",58.50,0.00,54,0,0,"Approved Plates, Lugging Bit, Cheek Burrs",300392,"ECHOES OF HEAVEN (AUS) 2007",224457,"SAKURA CLUDEN (NZ) 2001",
