<-- Copyright Notice: (c) 2021 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
49704,2021-03-31,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 31 MAR","Slow",8,"Overcast","Out 9m | 5mm Rain Last 24 Hours | 2mm Rain Overnight | Heavy Rain Forecast",210119,1,,Flat,1600,"MDN","MATAMATA FUNCTION CENTRE 1600",10000.00,12:37:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Overcast",353707,2,7,"Glen Frey","4","g",58.50,3,1.39.74,0.36.72,0.90," 2 1/4 LEN","Stephen Autridge & Kris Shailer","Matamata",5.70,2.20,700.00,"Craig Grylls",58.50,0.00,51,0,0,"Approved Plates, Lugging Bit, Ear Covers, Nose Band",326948,"CARLTON HOUSE (USA) 2008",272203,"GALSHAAN (AUS) 2007",
49704,2021-03-31,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 31 MAR","Slow",8,"Overcast","Out 9m | 5mm Rain Last 24 Hours | 2mm Rain Overnight | Heavy Rain Forecast",210119,1,,Flat,1600,"MDN","MATAMATA FUNCTION CENTRE 1600",10000.00,12:37:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Overcast",364817,3,3,"Like A Boss","4","g",58.50,4,1.40.09,0.37.05,3.20," SHORT HEAD","Mark Brosnan","Matamata",10.90,0.00,400.00,"Lynsey Satherley",58.50,0.00,51,0,0,"Approved Plates, Lugging Bit, Tongue Tie (1st time)",215366,"FALKIRK (NZ) 2000",267893,"QUEST (NZ) 2008",
49704,2021-03-31,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 31 MAR","Slow",8,"Overcast","Out 9m | 5mm Rain Last 24 Hours | 2mm Rain Overnight | Heavy Rain Forecast",210119,1,,Flat,1600,"MDN","MATAMATA FUNCTION CENTRE 1600",10000.00,12:37:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Overcast",348867,4,10,"Ollie","5","g",58.50,9,1.42.43,0.39.59,17.60," ","Emma-Lee & David Browne","Cambridge",16.30,0.00,200.00,"Joe Kamaruddin",55.50,3.00,47,0,0,"Approved Plates, Tongue Control Bit (1st time), Nose Band (1st time)",287683,"RIP VAN WINKLE (IRE) 2006",272543,"STYLEE (NZ) 2009",
49704,2021-03-31,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 31 MAR","Slow",8,"Overcast","Out 9m | 5mm Rain Last 24 Hours | 2mm Rain Overnight | Heavy Rain Forecast",210119,1,,Flat,1600,"MDN","MATAMATA FUNCTION CENTRE 1600",10000.00,12:37:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Overcast",376429,6,9,"Let's Sea","3","g",58.00,2,1.39.73,0.36.45,0.80," NOSE","Stephen Marsh","Cambridge",6.50,2.30,1500.00,"Danielle Johnson",58.00,0.00,46,0,0,"Approved Plates, Lugging Bit",265282,"OCEAN PARK (NZ) 2008",288461,"LETI (AUS) 2006",
49704,2021-03-31,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 31 MAR","Slow",8,"Overcast","Out 9m | 5mm Rain Last 24 Hours | 2mm Rain Overnight | Heavy Rain Forecast",210119,1,,Flat,1600,"MDN","MATAMATA FUNCTION CENTRE 1600",10000.00,12:37:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Overcast",358903,9,8,"Endean Bay","4","m",56.50,7,1.40.85,0.37.81,7.70," ","Iain Kennedy","Rotorua",20.40,0.00,200.00,"Masa Hashizume",54.50,2.00,47,0,0,"Approved Plates, Lugging Bit, Blinkers",222919,"KEEPER (AUS) 1997",267115,"EVENADUCHESS (NZ) 2008",
49704,2021-03-31,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 31 MAR","Slow",8,"Overcast","Out 9m | 5mm Rain Last 24 Hours | 2mm Rain Overnight | Heavy Rain Forecast",210119,1,,Flat,1600,"MDN","MATAMATA FUNCTION CENTRE 1600",10000.00,12:37:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Overcast",367732,10,6,"Graceful Way","4","m",56.50,6,1.40.78,0.37.51,7.30," ","Catherine Cameron","Cambridge",17.50,0.00,200.00,"Andrew Calder",56.50,0.00,47,0,0,"Approved Plates, Lugging Bit, Visor Blinkers, Barrier Blanket, Tongue Tie",313448,"NIAGARA (AUS) 2008",262475,"HERECOMESTHECAT (AUS) 2007",
49704,2021-03-31,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 31 MAR","Slow",8,"Overcast","Out 9m | 5mm Rain Last 24 Hours | 2mm Rain Overnight | Heavy Rain Forecast",210119,1,,Flat,1600,"MDN","MATAMATA FUNCTION CENTRE 1600",10000.00,12:37:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Overcast",377487,11,11,"Primo Stella","3","f",56.00,5,1.40.11,0.37.41,3.30," 4 LEN","Karen Fursdon","Matamata",3.10,0.00,200.00,"Wiremu Pinn",54.00,2.00,52,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit, Blinkers",248656,"TAVISTOCK (NZ) 2005",295406,"NIGHT SKY (NZ) 2011",
49704,2021-03-31,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 31 MAR","Slow",8,"Overcast","Out 9m | 5mm Rain Last 24 Hours | 2mm Rain Overnight | Heavy Rain Forecast",210119,1,,Flat,1600,"MDN","MATAMATA FUNCTION CENTRE 1600",10000.00,12:37:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Overcast",381540,12,1,"El Fiesta Girl","3","f",56.00,1,1.39.62,0.36.59,," 3/4 LEN","Darryn Weatherley","Matamata",6.50,2.00,5400.00,"Sam Weatherley",56.00,0.00,50,0,0,"Approved Plates, Lugging Bit, Tongue Tie",247999,"EL HERMANO (NZ) 2005",257312,"PARTY CAT (NZ) 2007",
49704,2021-03-31,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 31 MAR","Slow",8,"Overcast","Out 9m | 5mm Rain Last 24 Hours | 2mm Rain Overnight | Heavy Rain Forecast",210119,1,,Flat,1600,"MDN","MATAMATA FUNCTION CENTRE 1600",10000.00,12:37:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Overcast",372218,13,2,"Kwaussie Girl","3","f",56.00,8,1.41.52,0.38.01,11.90," ","Murray Baker & Andrew Forsman","Cambridge",14.20,0.00,200.00,"Vinnie Colgan",56.00,0.00,46,0,0,"Approved Plates, Lugging Bit, Blinkers, Tongue Tie",258606,"JIMMY CHOUX (NZ) 2007",281825,"CHARLESTON GIRL (NZ) 2010",
49704,2021-03-31,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 31 MAR","Slow",8,"Overcast","Out 9m | 5mm Rain Last 24 Hours | 2mm Rain Overnight | Heavy Rain Forecast",210119,1,,Flat,1600,"MDN","MATAMATA FUNCTION CENTRE 1600",10000.00,12:37:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Overcast",372062,14,5,"Last Leg","3","f",56.00,10,1.42.97,0.39.62,21.00," ","Stephen Marsh","Cambridge",33.90,0.00,200.00,"Darren Danis",54.00,2.00,45,0,0,"Approved Plates, Lugging Bit, Blinkers",211629,"PINS (AUS) 1996",221579,"LOWLAND (NZ) 2001",
49704,2021-03-31,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 31 MAR","Slow",8,"Overcast","Out 9m | 5mm Rain Last 24 Hours | 2mm Rain Overnight | Heavy Rain Forecast",210119,1,,Flat,1600,"MDN","MATAMATA FUNCTION CENTRE 1600",10000.00,12:37:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Overcast",375879,15,4,"Self Made","3","f",56.00,11,1.43.32,0.39.69,23.10," ","Wayne Hillis","Matamata",41.40,0.00,200.00,"Sam Spratt",56.00,0.00,45,0,0,"Approved Plates, Lugging Bit, Blinkers",273123,"FERLAX (NZ) 2009",274807,"LABELS (NZ) 2009",
