<-- Copyright Notice: (c) 2021 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",210404,1,,Flat,2100,"MDN HWT","POUATU MANUKA 2100",10000.00,11:45:00,"N",65.00,"Unrestricted","Maiden","unrestricted","hwt","Dead",5,"Fine",340758,1,4,"Lava Rock","5","g",68.00,2,2.16.07,0.35.63,1.50," 3/4 LEN","Chrissy Bambry","Foxton",3.90,1.80,1500.00,"Shaun Phelan",68.00,0.00,53,0,0,"Approved Plates, Lugging Bit, Blinkers",264625,"ROCK 'N' POP (AUS) 2008",271979,"LOVE SOPHIA (NZ) 2009",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",210404,1,,Flat,2100,"MDN HWT","POUATU MANUKA 2100",10000.00,11:45:00,"N",65.00,"Unrestricted","Maiden","unrestricted","hwt","Dead",5,"Fine",357411,2,6,"Southroad","4","g",68.00,1,2.15.82,0.34.50,," 1 1/2 LEN","Allan Sharrock","New Plymouth",4.60,1.80,5400.00,"Sam O'Malley",68.00,0.00,52,0,0,"Approved Plates, Lugging Bit",287450,"SHOCKING (AUS) 2005",256869,"MIDNIGHT ALIYANA (NZ) 2006",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",210404,1,,Flat,2100,"MDN HWT","POUATU MANUKA 2100",10000.00,11:45:00,"N",65.00,"Unrestricted","Maiden","unrestricted","hwt","Dead",5,"Fine",307231,3,2,"Coconut","8","g",68.00,10,2.17.59,0.36.51,11.10," ","Stephen Nickalls","Rangiotu",34.70,0.00,200.00,"Mathew Cropp",68.00,0.00,51,0,67,"Approved Plates, Standard Bit, Blinkers, Nasal Strip",241392,"NOM DU JEU (NZ) 2004",224232,"GOOD REASON (NZ) 2001",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",210404,1,,Flat,2100,"MDN HWT","POUATU MANUKA 2100",10000.00,11:45:00,"N",65.00,"Unrestricted","Maiden","unrestricted","hwt","Dead",5,"Fine",359181,4,5,"Grand Prospect","4","g",68.00,5,2.16.90,0.35.26,6.80," 1 LEN","Sue Walsh","Foxton",5.10,0.00,200.00,"Dean Parker",65.00,3.00,51,0,0,"Approved Plates, Lugging Bit, Nasal Strip, Nose Band",264906,"HARADASUN (AUS) 2003",249265,"OPULENCE (NZ) 2005",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",210404,1,,Flat,2100,"MDN HWT","POUATU MANUKA 2100",10000.00,11:45:00,"N",65.00,"Unrestricted","Maiden","unrestricted","hwt","Dead",5,"Fine",359684,5,7,"I'm Chuck","4","g",68.00,4,2.16.28,0.34.76,2.80," 4 LEN","Paul Nelson & Corrina McDougal","Hastings",5.70,0.00,400.00,"Barry Donoghue",65.50,2.50,51,0,0,"Approved Plates, Standard Bit, Blinkers, Tongue Tie",324908,"JAKKALBERRY (IRE) 2006",274338,"DOMINEER (NZ) 2009",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",210404,1,,Flat,2100,"MDN HWT","POUATU MANUKA 2100",10000.00,11:45:00,"N",65.00,"Unrestricted","Maiden","unrestricted","hwt","Dead",5,"Fine",343665,6,9,"Irish Flare","5","g",68.00,6,2.17.05,0.36.13,7.80," ","John Wheeler","New Plymouth",8.80,0.00,200.00,"Emily Farr",68.00,0.00,51,0,0,"Approved Plates, Lugging Bit, Barrier Blanket",264906,"HARADASUN (AUS) 2003",213722,"FLEUR DE L'ORIENT (NZ) 2000",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",210404,1,,Flat,2100,"MDN HWT","POUATU MANUKA 2100",10000.00,11:45:00,"N",65.00,"Unrestricted","Maiden","unrestricted","hwt","Dead",5,"Fine",360752,8,10,"Hold My Beer","4","g",68.00,3,2.16.19,0.35.49,2.30," 1/2 LEN","Buddy Lammas","Otaki",15.30,3.60,700.00,"Buddy Lammas",68.50,-0.50,45,0,0,"Approved Plates, Lugging Bit, Visor Blinkers, Bandages, Tongue Tie",257403,"HE'S REMARKABLE (NZ) 2007",310829,"PROVE IT (NZ) 2012",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",210404,1,,Flat,2100,"MDN HWT","POUATU MANUKA 2100",10000.00,11:45:00,"N",65.00,"Unrestricted","Maiden","unrestricted","hwt","Dead",5,"Fine",368248,9,11,"Kentucky Boy","3","g",68.00,9,2.17.39,0.35.51,9.80," ","Mark Oulaghan","Awapuni",44.00,0.00,200.00,"Timothy Johnson",68.00,0.00,45,0,0,"Approved Plates, Lugging Bit",324908,"JAKKALBERRY (IRE) 2006",266483,"PRINCESS ALEXANDRA (NZ) 2008",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",210404,1,,Flat,2100,"MDN HWT","POUATU MANUKA 2100",10000.00,11:45:00,"N",65.00,"Unrestricted","Maiden","unrestricted","hwt","Dead",5,"Fine",380483,10,1,"Tartan Field (AUS)","4","g",68.00,7,2.17.07,0.35.83,7.90," ","Bryce Newman","Bulls",17.90,0.00,200.00,"Ryan Elliot",68.00,0.00,45,0,0,"Approved Plates, Lugging Bit, Blinkers",345678,"DEEP FIELD (AUS) 2010",380484,"CASTA LAETITIA (AUS) 2007",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",210404,1,,Flat,2100,"MDN HWT","POUATU MANUKA 2100",10000.00,11:45:00,"N",65.00,"Unrestricted","Maiden","unrestricted","hwt","Dead",5,"Fine",354206,11,8,"Alarama","4","m",66.00,11,2.18.22,0.36.78,15.10," ","Fraser Auret","Marton",39.30,0.00,200.00,"Michael Roustoby",63.00,3.00,45,0,0,"Approved Plates, Lugging Bit",241092,"ALAMOSA (NZ) 2004",247227,"VALDERAMA (NZ) 2005",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",210404,1,,Flat,2100,"MDN HWT","POUATU MANUKA 2100",10000.00,11:45:00,"N",65.00,"Unrestricted","Maiden","unrestricted","hwt","Dead",5,"Fine",343715,12,12,"Beaudacea","5","m",66.00,8,2.17.31,0.35.55,9.40," ","Paul Moseley","Hawera",56.80,0.00,200.00,"Kayla Macnab",64.00,2.00,45,0,0,"Approved Plates, Standard Bit, Side Winkers",241392,"NOM DU JEU (NZ) 2004",226578,"ROANAH (NZ) 2002",
