<-- Copyright Notice: (c) 2021 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
49737,2021-05-12,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC 12 MAY","Slow",7,"Fine","Out 3m | 17mm Rain Overnight | 3mm Rain Since 6.30am",211551,1,,Flat,1600,"MDN F&M","NZB INSURANCE PEARL SERIES RACE",10000.00,12:32:00,"N",,"Unrestricted","Maiden","f&m","sw","Slow",7,"Fine",364213,1,10,"Altar Girl","4","m",57.50,2,1.40.64,0.38.38,1.50," 1 1/4 LEN","Amanda Higgins","Ashburton",8.70,2.50,1500.00,"Samantha Wynne",57.50,0.00,53,0,0,"Approved Plates, Lugging Bit, Blinkers on",287992,"EL ROCA (AUS) 2010",278025,"REQUIEM MOSS (AUS) 2006",
49737,2021-05-12,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC 12 MAY","Slow",7,"Fine","Out 3m | 17mm Rain Overnight | 3mm Rain Since 6.30am",211551,1,,Flat,1600,"MDN F&M","NZB INSURANCE PEARL SERIES RACE",10000.00,12:32:00,"N",,"Unrestricted","Maiden","f&m","sw","Slow",7,"Fine",367078,3,7,"Folktale","3","f",57.50,4,1.41.01,0.37.95,4.10," 1 1/4 LEN","Mike McCann","Riccarton Park",4.10,0.00,400.00,"Rohan Mudhoo",55.50,2.00,51,0,0,"Approved Plates, Lugging Bit",287683,"RIP VAN WINKLE (IRE) 2006",284156,"MUSCAT HILLS (NZ) 2010",
49737,2021-05-12,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC 12 MAY","Slow",7,"Fine","Out 3m | 17mm Rain Overnight | 3mm Rain Since 6.30am",211551,1,,Flat,1600,"MDN F&M","NZB INSURANCE PEARL SERIES RACE",10000.00,12:32:00,"N",,"Unrestricted","Maiden","f&m","sw","Slow",7,"Fine",374940,4,3,"Iffraajable","3","f",57.50,5,1.41.20,0.37.95,5.40," ","Andrew Carston","Riccarton Park",3.70,0.00,200.00,"Kylie Williams",57.50,0.00,51,0,0,"Approved Plates, Lugging Bit, Side Winkers",255989,"IFFRAAJ (GB) 2001",291236,"SHE'S REMARKABLE (NZ) 2011",
49737,2021-05-12,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC 12 MAY","Slow",7,"Fine","Out 3m | 17mm Rain Overnight | 3mm Rain Since 6.30am",211551,1,,Flat,1600,"MDN F&M","NZB INSURANCE PEARL SERIES RACE",10000.00,12:32:00,"N",,"Unrestricted","Maiden","f&m","sw","Slow",7,"Fine",359061,5,6,"Nevets","4","m",57.50,3,1.40.83,0.37.66,2.80," 1 1/4 LEN","Brian & Shane Anderton","Wingatui",8.60,2.60,700.00,"Corey Campbell",56.50,1.00,51,0,0,"Approved Plates, Lugging Bit, Blinkers, Tongue Tie",338027,"GHIBELLINES (AUS) 2011",273650,"SISTER LUCY (NZ) 2009",
49737,2021-05-12,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC 12 MAY","Slow",7,"Fine","Out 3m | 17mm Rain Overnight | 3mm Rain Since 6.30am",211551,1,,Flat,1600,"MDN F&M","NZB INSURANCE PEARL SERIES RACE",10000.00,12:32:00,"N",,"Unrestricted","Maiden","f&m","sw","Slow",7,"Fine",358781,6,1,"Kentucky Cougar","4","m",57.50,7,1.42.23,0.38.79,11.40," ","Terry Kennedy","Wingatui",10.00,0.00,200.00,"Sam Weatherley",57.50,0.00,50,0,0,"Approved Plates, Lugging Bit, Blinkers, Tongue Tie",255989,"IFFRAAJ (GB) 2001",269269,"ON THE BOARD (AUS) 2003",
49737,2021-05-12,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC 12 MAY","Slow",7,"Fine","Out 3m | 17mm Rain Overnight | 3mm Rain Since 6.30am",211551,1,,Flat,1600,"MDN F&M","NZB INSURANCE PEARL SERIES RACE",10000.00,12:32:00,"N",,"Unrestricted","Maiden","f&m","sw","Slow",7,"Fine",347244,7,12,"Mistletoe","5","m",57.50,6,1.41.29,0.38.87,5.90," ","Mark Jones","Burnham",11.00,0.00,200.00,"Jason Laking",57.50,0.00,50,0,0,"Approved Plates, Lugging Bit on, Blinkers",248656,"TAVISTOCK (NZ) 2005",287233,"TINSEL TIME (USA) 2004",
49737,2021-05-12,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC 12 MAY","Slow",7,"Fine","Out 3m | 17mm Rain Overnight | 3mm Rain Since 6.30am",211551,1,,Flat,1600,"MDN F&M","NZB INSURANCE PEARL SERIES RACE",10000.00,12:32:00,"N",,"Unrestricted","Maiden","f&m","sw","Slow",7,"Fine",359913,8,8,"Repulse","4","m",57.50,1,1.40.36,0.37.73,," 1 1/2 LEN","Mike McCann","Riccarton Park",8.50,2.50,5400.00,"Krishna Mudhoo",57.50,0.00,50,0,0,"Approved Plates, Lugging Bit",337555,"PROISIR (AUS) 2009",227901,"KRUGER VALLEY (NZ) 2002",
49737,2021-05-12,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC 12 MAY","Slow",7,"Fine","Out 3m | 17mm Rain Overnight | 3mm Rain Since 6.30am",211551,1,,Flat,1600,"MDN F&M","NZB INSURANCE PEARL SERIES RACE",10000.00,12:32:00,"N",,"Unrestricted","Maiden","f&m","sw","Slow",7,"Fine",364069,9,9,"Crimson Star","4","m",57.50,8,1.42.32,0.40.16,11.90," ","Lance Robinson","Riccarton Park",30.80,0.00,200.00,"Tanya Jonker",57.50,0.00,48,0,0,"Approved Plates, Norton Bit, Visor Blinkers, Tongue Tie",268744,"BURGUNDY (NZ) 2008",279098,"RED TULIP (AUS) 2003",
49737,2021-05-12,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC 12 MAY","Slow",7,"Fine","Out 3m | 17mm Rain Overnight | 3mm Rain Since 6.30am",211551,1,,Flat,1600,"MDN F&M","NZB INSURANCE PEARL SERIES RACE",10000.00,12:32:00,"N",,"Unrestricted","Maiden","f&m","sw","Slow",7,"Fine",375732,10,4,"Justwonprincess","3","f",57.50,11,1.42.66,0.39.62,13.80," ","Steven Woodsford","Rangiora",67.60,0.00,200.00,"Akshay Balloo",57.50,0.00,46,0,0,"Approved Plates, Lugging Bit, Nose Band on, Shadow Roll (1st time)",313564,"RELIABLE MAN (GB) 2008",240967,"PYRATE PRINCESS (NZ) 2004",
49737,2021-05-12,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC 12 MAY","Slow",7,"Fine","Out 3m | 17mm Rain Overnight | 3mm Rain Since 6.30am",211551,1,,Flat,1600,"MDN F&M","NZB INSURANCE PEARL SERIES RACE",10000.00,12:32:00,"N",,"Unrestricted","Maiden","f&m","sw","Slow",7,"Fine",368205,11,2,"Keeper Beel","3","f",57.50,10,1.42.40,0.38.46,12.50," ","Daniel Champion & Kezia Murphy","Riccarton Park",55.10,0.00,200.00,"Meghann Gestain",53.50,4.00,45,0,0,"Approved Plates, Norton Bit, Side Winkers",222919,"KEEPER (AUS) 1997",298102,"LUCKY J'ABEEL (NZ) 2011",
49737,2021-05-12,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC 12 MAY","Slow",7,"Fine","Out 3m | 17mm Rain Overnight | 3mm Rain Since 6.30am",211551,1,,Flat,1600,"MDN F&M","NZB INSURANCE PEARL SERIES RACE",10000.00,12:32:00,"N",,"Unrestricted","Maiden","f&m","sw","Slow",7,"Fine",360427,12,5,"Splash Palace","4","m",57.50,9,1.42.40,0.39.35,12.40," ","Les and Richard Didham","Riccarton Park",54.60,0.00,200.00,"Kavish Chowdhoory",56.50,1.00,45,0,0,"Approved Plates, Lugging Bit",300223,"ZACINTO (GB) 2006",257016,"CARLYON BAY (NZ) 2007",
49737,2021-05-12,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC 12 MAY","Slow",7,"Fine","Out 3m | 17mm Rain Overnight | 3mm Rain Since 6.30am",211551,1,,Flat,1600,"MDN F&M","NZB INSURANCE PEARL SERIES RACE",10000.00,12:32:00,"N",,"Unrestricted","Maiden","f&m","sw","Slow",7,"Fine",356367,13,11,"Sweet Storm","4","m",57.50,12,1.42.73,0.39.71,14.30," ","Lance Robinson","Riccarton Park",18.10,0.00,200.00,"Courtney Barnes",57.50,0.00,45,0,0,"Approved Plates, Side Winkers, Tongue Tie",304111,"SWEET ORANGE (USA) 2007",286910,"SEA FURY (NZ) 2010",
49737,2021-05-12,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC 12 MAY","Slow",7,"Fine","Out 3m | 17mm Rain Overnight | 3mm Rain Since 6.30am",211552,2,,Flat,1400,"MDN","JUICE SIGNS ASHBURTON",10000.00,13:07:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",359063,1,6,"Jack Knows Best","4","g",58.50,1,1.27.70,0.37.05,," 1/2 HEAD","Lance Robinson","Riccarton Park",3.60,1.70,5400.00,"Chris Johnson",58.50,0.00,52,0,0,"Approved Plates, Tongue Control Bit (1st time)",338027,"GHIBELLINES (AUS) 2011",275017,"STRUCTURE (NZ) 2009",
49737,2021-05-12,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC 12 MAY","Slow",7,"Fine","Out 3m | 17mm Rain Overnight | 3mm Rain Since 6.30am",211552,2,,Flat,1400,"MDN","JUICE SIGNS ASHBURTON",10000.00,13:07:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",363323,2,1,"Jimmy Who","4","g",58.50,3,1.27.88,0.37.09,1.40," 3/4 LEN","John Blackadder","Rangiora",9.70,3.30,700.00,"Akshay Balloo",58.50,0.00,50,0,0,"Approved Plates, Lugging Bit, Blinkers",258606,"JIMMY CHOUX (NZ) 2007",204242,"AMRITSAR JET (NZ) 1998",
49737,2021-05-12,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC 12 MAY","Slow",7,"Fine","Out 3m | 17mm Rain Overnight | 3mm Rain Since 6.30am",211552,2,,Flat,1400,"MDN","JUICE SIGNS ASHBURTON",10000.00,13:07:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",328964,3,13,"Mr Fahrenheit","6","g",58.50,11,1.28.77,0.37.44,6.60," ","Stephanie Clark","Timaru",87.60,0.00,200.00,"Kin Kwo",56.50,2.00,50,0,0,"Approved Plates, Lugging Bit, Side Winkers",226925,"ZED (NZ) 2002",223420,"RITES OF SPRING (NZ) 2001",
49737,2021-05-12,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC 12 MAY","Slow",7,"Fine","Out 3m | 17mm Rain Overnight | 3mm Rain Since 6.30am",211552,2,,Flat,1400,"MDN","JUICE SIGNS ASHBURTON",10000.00,13:07:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",307557,4,9,"Mr Tool","8","g",58.50,14,1.30.80,0.39.48,18.30," ","Fiona Robertson","Riccarton Park",14.60,0.00,200.00,"Sam Weatherley",58.50,0.00,48,0,0,"Approved Plates, Lugging Bit, Nose Band",255433,"PERFECTLY READY (AUS) 2002",260491,"OUR BLACK PEARL (NZ) 2007",
49737,2021-05-12,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC 12 MAY","Slow",7,"Fine","Out 3m | 17mm Rain Overnight | 3mm Rain Since 6.30am",211552,2,,Flat,1400,"MDN","JUICE SIGNS ASHBURTON",10000.00,13:07:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",378829,5,8,"Ceedoubleujay","3","g",58.50,9,1.28.71,0.37.26,6.20," ","John & Karen Parsons","Balcairn",16.80,0.00,200.00,"Meghann Gestain",54.50,4.00,47,0,0,"Approved Plates, Lugging Bit, Blinkers",350344,"SWEYNESSE (AUS) 2011",233124,"MRS TITTLEMOUSE (NZ) 2003",
49737,2021-05-12,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC 12 MAY","Slow",7,"Fine","Out 3m | 17mm Rain Overnight | 3mm Rain Since 6.30am",211552,2,,Flat,1400,"MDN","JUICE SIGNS ASHBURTON",10000.00,13:07:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",371933,6,12,"Dettifoss","3","g",58.50,5,1.28.06,0.37.09,2.40," ","Andrew Carston","Riccarton Park",41.60,0.00,200.00,"Krishna Mudhoo",58.50,0.00,45,0,0,"Approved Plates, Lugging Bit, Tongue Tie",271956,"SACRED FALLS (NZ) 2009",223335,"ZAMFIR (NZ) 2001",
49737,2021-05-12,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC 12 MAY","Slow",7,"Fine","Out 3m | 17mm Rain Overnight | 3mm Rain Since 6.30am",211552,2,,Flat,1400,"MDN","JUICE SIGNS ASHBURTON",10000.00,13:07:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",362267,7,11,"Dreams Of Heaven","4","g",58.50,6,1.28.19,0.37.86,3.20," ","Danny Crozier","Riccarton Park",38.50,0.00,200.00,"Jason Laking",58.50,0.00,45,0,0,"Approved Plates, Lugging Bit, Blinkers",300392,"ECHOES OF HEAVEN (AUS) 2007",272680,"FULL CHARGE (NZ) 2009",
