<-- Copyright Notice: (c) 2021 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
49739,2021-05-13,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI RC 13 MAY","Slow",9,"Cloudy","Out 4m | 4mm Rain Last 24hrs | No Rain Overnight",211364,1,,Hurdle,3000,"MDN HDL","PALAMOUNTAINS NUTRITION MDN HDL 3000",10000.00,10:24:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",9,"Cloudy",325135,1,9,"Wholetthefoxout","7","g",68.00,4,3.38.48,,12.10," 1 1/4 LEN","Dean Cunningham","Marton",6.20,0.00,400.00,"Shaun Fannin",68.00,0.00,57,59,0,"Approved Plates, Lugging Bit, Boots",236672,"METTRE EN JEU (NZ) 2003",221197,"TINKERBEEL (NZ) 2001",
49739,2021-05-13,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI RC 13 MAY","Slow",9,"Cloudy","Out 4m | 4mm Rain Last 24hrs | No Rain Overnight",211364,1,,Hurdle,3000,"MDN HDL","PALAMOUNTAINS NUTRITION MDN HDL 3000",10000.00,10:24:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",9,"Cloudy",325814,2,6,"Izymydaad","8","g",68.00,6,3.40.29,,23.20," ","Ken Duncan","Hunterville",23.50,0.00,200.00,"Buddy Lammas",68.50,-0.50,45,58,0,"Approved Plates, Lugging Bit, Boots, Nose Band",209726,"ISTIDAAD (USA) 1992",219193,"SAVANNAH LIL (NZ) 2000",
49739,2021-05-13,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI RC 13 MAY","Slow",9,"Cloudy","Out 4m | 4mm Rain Last 24hrs | No Rain Overnight",211364,1,,Hurdle,3000,"MDN HDL","PALAMOUNTAINS NUTRITION MDN HDL 3000",10000.00,10:24:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",9,"Cloudy",307463,3,7,"Carnaby","8","g",68.00,3,3.37.45,,5.80," 6 1/4 LEN","Kevin Myers","Wanganui",3.60,1.40,700.00,"James Seivwright",67.00,1.00,56,57,0,"Approved Plates, Lugging Bit, Boots",213341,"DANROAD (AUS) 1999",218945,"VERY ENGLISH (NZ) 2000",
49739,2021-05-13,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI RC 13 MAY","Slow",9,"Cloudy","Out 4m | 4mm Rain Last 24hrs | No Rain Overnight",211364,1,,Hurdle,3000,"MDN HDL","PALAMOUNTAINS NUTRITION MDN HDL 3000",10000.00,10:24:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",9,"Cloudy",299164,4,2,"Kangaroo","9","g",68.00,5,3.38.71,,13.40," ","Kevin Myers","Wanganui",10.90,0.00,200.00,"Toni Moki",68.00,0.00,45,56,69,"Approved Plates, Lugging Bit, Boots, Ear Covers",224608,"BRILLIANCE (USA) 1997",209082,"RAADEE (NZ) 1999",
49739,2021-05-13,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI RC 13 MAY","Slow",9,"Cloudy","Out 4m | 4mm Rain Last 24hrs | No Rain Overnight",211364,1,,Hurdle,3000,"MDN HDL","PALAMOUNTAINS NUTRITION MDN HDL 3000",10000.00,10:24:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",9,"Cloudy",327696,5,3,"Beau Geste","6","g",68.00,1,3.36.51,,," 2 1/4 LEN","Kevin Myers","Wanganui",3.20,1.60,5800.00,"Dean Parker",65.00,3.00,63,50,0,"Approved Plates, Lugging Bit, Boots",300680,"POUR MOI (IRE) 2008",211858,"VILLA WANDA (GB) 1996",
49739,2021-05-13,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI RC 13 MAY","Slow",9,"Cloudy","Out 4m | 4mm Rain Last 24hrs | No Rain Overnight",211364,1,,Hurdle,3000,"MDN HDL","PALAMOUNTAINS NUTRITION MDN HDL 3000",10000.00,10:24:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",9,"Cloudy",337946,6,5,"Chief Sequoyah","6","g",68.00,2,3.36.87,,2.30," 3 1/2 LEN","John Wheeler","New Plymouth",8.20,2.30,1500.00,"Emily Farr",68.00,0.00,71,50,0,"Approved Plates, Lugging Bit, Boots",301937,"REDWOOD (GB) 2006",249578,"FANTASY ROSE (NZ) 2005",
49739,2021-05-13,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI RC 13 MAY","Slow",9,"Cloudy","Out 4m | 4mm Rain Last 24hrs | No Rain Overnight",211364,1,,Hurdle,3000,"MDN HDL","PALAMOUNTAINS NUTRITION MDN HDL 3000",10000.00,10:24:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",9,"Cloudy",338472,7,8,"My Tommy","8","g",68.00,8,3.42.49,,36.50," ","Tim Symes","Hastings",18.30,0.00,200.00,"Hamish McNeill",67.00,1.00,55,50,0,"Approved Plates, Lugging Bit, Boots, Tongue Tie",203120,"TOWKAY (AUS) 1994",179098,"LOVE PROPOSAL (NZ) 1994",
49739,2021-05-13,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI RC 13 MAY","Slow",9,"Cloudy","Out 4m | 4mm Rain Last 24hrs | No Rain Overnight",211364,1,,Hurdle,3000,"MDN HDL","PALAMOUNTAINS NUTRITION MDN HDL 3000",10000.00,10:24:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",9,"Cloudy",350311,9,4,"Wicklow","5","g",68.00,7,3.40.78,,26.00," ","John Wheeler","New Plymouth",7.50,0.00,200.00,"Barry Donoghue",66.50,1.50,53,50,0,"Approved Plates, Lugging Bit, Boots",230462,"DARCI BRAHMA (NZ) 2002",234555,"CASTLEBAR (NZ) 2003",
49739,2021-05-13,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI RC 13 MAY","Slow",9,"Cloudy","Out 4m | 4mm Rain Last 24hrs | No Rain Overnight",212083,2,,Hurdle,3000,"RST OPN HDL","FASTTRACK INSURANCE OPN HDL 3000",20000.00,10:52:00,"N",65.00,"Unrestricted","Restr Open","unrestricted","hcp","Slow",9,"Cloudy",287498,1,5,"It's A Wonder","10","g",70.00,3,3.36.92,,8.10," 7 LEN","Harvey Wilson","Waverley",4.30,0.00,1700.00,"Shaun Phelan",70.00,0.00,63,80,93,"Approved Plates, Norton Bit, Boots, Nasal Strip, Nose Band on",209726,"ISTIDAAD (USA) 1992",212336,"PRINCESS JULIE (NZ) 1999",
49739,2021-05-13,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI RC 13 MAY","Slow",9,"Cloudy","Out 4m | 4mm Rain Last 24hrs | No Rain Overnight",212083,2,,Hurdle,3000,"RST OPN HDL","FASTTRACK INSURANCE OPN HDL 3000",20000.00,10:52:00,"N",65.00,"Unrestricted","Restr Open","unrestricted","hcp","Slow",9,"Cloudy",274235,2,3,"Yardarm","11","g",67.00,6,3.39.72,,25.10," ","Kevin Myers","Wanganui",24.80,0.00,300.00,"James Seivwright",66.00,1.00,46,74,0,"Approved Plates, Lugging Bit, Boots",213137,"KING'S CHAPEL (AUS) 2000",228791,"SHILLING (NZ) 2002",
49739,2021-05-13,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI RC 13 MAY","Slow",9,"Cloudy","Out 4m | 4mm Rain Last 24hrs | No Rain Overnight",212083,2,,Hurdle,3000,"RST OPN HDL","FASTTRACK INSURANCE OPN HDL 3000",20000.00,10:52:00,"N",65.00,"Unrestricted","Restr Open","unrestricted","hcp","Slow",9,"Cloudy",275031,3,1,"Max","11","g",66.00,4,3.38.05,,15.10," 2 1/2 LEN","Raymond Connors","Wanganui",11.40,0.00,1000.00,"Emily Farr",66.00,0.00,59,72,91,"Approved Plates, Lugging Bit, Boots",255627,"GALLANT GURU (AUS) 2002",222556,"VITIQUE (NZ) 2001",
49739,2021-05-13,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI RC 13 MAY","Slow",9,"Cloudy","Out 4m | 4mm Rain Last 24hrs | No Rain Overnight",212083,2,,Hurdle,3000,"RST OPN HDL","FASTTRACK INSURANCE OPN HDL 3000",20000.00,10:52:00,"N",65.00,"Unrestricted","Restr Open","unrestricted","hcp","Slow",9,"Cloudy",327677,4,4,"Locharburn","6","g",65.00,1,3.35.61,,," 8 LEN","Kevin Myers","Wanganui",2.70,1.60,11400.00,"Shaun Fannin",65.00,0.00,58,69,50,"Approved Plates (1st time), Lugging Bit (1st time), Boots (1st time)",226925,"ZED (NZ) 2002",233547,"MADAM FORLI (NZ) 2003",
49739,2021-05-13,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI RC 13 MAY","Slow",9,"Cloudy","Out 4m | 4mm Rain Last 24hrs | No Rain Overnight",212083,2,,Hurdle,3000,"RST OPN HDL","FASTTRACK INSURANCE OPN HDL 3000",20000.00,10:52:00,"N",65.00,"Unrestricted","Restr Open","unrestricted","hcp","Slow",9,"Cloudy",338610,5,2,"Son Of Anna Kay","6","g",65.00,2,3.36.91,,8.00," NOSE","Kevin Myers","Wanganui",2.60,1.50,3500.00,"Dean Parker",62.00,3.00,62,69,0,"Approved Plates, Lugging Bit",226925,"ZED (NZ) 2002",261213,"ANNA KARENINA (NZ) 2007",
49739,2021-05-13,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI RC 13 MAY","Slow",9,"Cloudy","Out 4m | 4mm Rain Last 24hrs | No Rain Overnight",212083,2,,Hurdle,3000,"RST OPN HDL","FASTTRACK INSURANCE OPN HDL 3000",20000.00,10:52:00,"N",65.00,"Unrestricted","Restr Open","unrestricted","hcp","Slow",9,"Cloudy",310928,6,6,"Class Above","8","g",65.00,5,3.38.47,,17.60," ","Kevin Myers","Wanganui",11.70,0.00,300.00,"Barry Donoghue",65.50,-0.50,61,66,0,"Approved Plates, Lugging Bit, Boots",226925,"ZED (NZ) 2002",240100,"SPRINGVALE LASS (NZ) 2004",
49739,2021-05-13,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI RC 13 MAY","Slow",9,"Cloudy","Out 4m | 4mm Rain Last 24hrs | No Rain Overnight",211363,3,,Steeple,3800,"RST OPN STP SWP","KEN DUNCAN RACING STPL 3800",20000.00,11:22:00,"N",65.00,"Unrestricted","Open","unrestricted","sw+p","Slow",9,"Cloudy",300643,1,6,"Zentangle","9","g",68.00,2,4.32.59,,2.30," 14 LEN","Kevin Myers","Wanganui",1.50,1.10,3500.00,"Shaun Fannin",68.00,0.00,84,87,77,"Approved Plates, Lugging Bit, Boots",261517,"CHINESE DRAGON (USA) 2002",206165,"DOODLE (GB) 1995",
49739,2021-05-13,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI RC 13 MAY","Slow",9,"Cloudy","Out 4m | 4mm Rain Last 24hrs | No Rain Overnight",211363,3,,Steeple,3800,"RST OPN STP SWP","KEN DUNCAN RACING STPL 3800",20000.00,11:22:00,"N",65.00,"Unrestricted","Open","unrestricted","sw+p","Slow",9,"Cloudy",275030,2,7,"Mesmerize","11","g",68.00,1,3.36.51,,," 2 1/4 LEN","Raymond Connors","Wanganui",7.90,2.80,11400.00,"Buddy Lammas",68.50,-0.50,59,67,73,"Approved Plates, Lugging Bit",149270,"YAMANIN VITAL (NZ) 1990",235765,"TIGER ROSE (NZ) 2003",
49739,2021-05-13,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI RC 13 MAY","Slow",9,"Cloudy","Out 4m | 4mm Rain Last 24hrs | No Rain Overnight",211363,3,,Steeple,3800,"RST OPN STP SWP","KEN DUNCAN RACING STPL 3800",20000.00,11:22:00,"N",65.00,"Unrestricted","Open","unrestricted","sw+p","Slow",9,"Cloudy",303874,3,4,"Mr Enthusiastic","8","g",66.50,3,4.34.90,,16.30," 3 1/4 LEN","John Wheeler","New Plymouth",13.90,0.00,1700.00,"Emily Farr",66.50,0.00,46,57,70,"Approved Plates, Tongue Control Bit (1st time), Nose Band (1st time)",255435,"LUCKY UNICORN (AUS) 2002",205154,"WILD ENTHUSIASM (NZ) 1998",
49739,2021-05-13,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI RC 13 MAY","Slow",9,"Cloudy","Out 4m | 4mm Rain Last 24hrs | No Rain Overnight",211363,3,,Steeple,3800,"RST OPN STP SWP","KEN DUNCAN RACING STPL 3800",20000.00,11:22:00,"N",65.00,"Unrestricted","Open","unrestricted","sw+p","Slow",9,"Cloudy",271868,4,3,"Zartan","11","g",65.00,4,4.35.43,,19.60," 1/2 LEN","Stephen Nickalls","Rangiotu",12.20,0.00,1000.00,"James Seivwright",65.00,0.00,62,57,59,"Approved Plates, Nasal Strip",226925,"ZED (NZ) 2002",220062,"ROYAL PIXIE (NZ) 2001",
49739,2021-05-13,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI RC 13 MAY","Slow",9,"Cloudy","Out 4m | 4mm Rain Last 24hrs | No Rain Overnight",211363,3,,Steeple,3800,"RST OPN STP SWP","KEN DUNCAN RACING STPL 3800",20000.00,11:22:00,"N",65.00,"Unrestricted","Open","unrestricted","sw+p","Slow",9,"Cloudy",312351,5,5,"Grandiscoccymelums","8","g",65.00,P,,,," ","Ken Duncan","Hunterville",40.60,0.00,300.00,"Hamish McNeill",64.00,1.00,45,52,50,"Approved Plates, Lugging Bit, Boots",209726,"ISTIDAAD (USA) 1992",217679,"ANGECA (NZ) 2000",
49739,2021-05-13,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI RC 13 MAY","Slow",9,"Cloudy","Out 4m | 4mm Rain Last 24hrs | No Rain Overnight",211363,3,,Steeple,3800,"RST OPN STP SWP","KEN DUNCAN RACING STPL 3800",20000.00,11:22:00,"N",65.00,"Unrestricted","Open","unrestricted","sw+p","Slow",9,"Cloudy",328490,6,1,"The Rolling Stone","6","g",65.00,6,4.35.57,,20.20," ","Kevin Myers","Wanganui",27.90,0.00,300.00,"Barry Donoghue",65.50,-0.50,45,50,50,"Approved Plates, Lugging Bit, Boots",278260,"ROAD TO ROCK (AUS) 2004",256207,"ROTOGRAVURE (AUS) 2002",
49739,2021-05-13,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI RC 13 MAY","Slow",9,"Cloudy","Out 4m | 4mm Rain Last 24hrs | No Rain Overnight",211363,3,,Steeple,3800,"RST OPN STP SWP","KEN DUNCAN RACING STPL 3800",20000.00,11:22:00,"N",65.00,"Unrestricted","Open","unrestricted","sw+p","Slow",9,"Cloudy",332592,7,2,"Fantasy Flight","6","m",63.00,5,4.35.56,,20.10," ","Kevin Myers","Wanganui",5.10,0.00,300.00,"Dean Parker",63.00,0.00,67,50,50,"Approved Plates, Lugging Bit, Boots",300392,"ECHOES OF HEAVEN (AUS) 2007",235763,"FLIGHTIME (NZ) 2003",
49739,2021-05-13,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI RC 13 MAY","Slow",9,"Cloudy","Out 4m | 4mm Rain Last 24hrs | No Rain Overnight",211359,4,,Flat,1360,"MDN","JOLT COFFEE HOUSE MDN 1360",10000.00,11:57:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",9,"Cloudy",411022,1,5,"Mr Fabulous","5","g",58.50,10,1.27.92,0.39.11,10.40," ","Wayne Stempa","Otaki",4.70,0.00,200.00,"Mereana Hudson",58.50,0.00,52,0,0,"Approved Plates, Lugging Bit",287776,"FABULOUS (NZ) 2010",222959,"MINION (NZ) 2001",
49739,2021-05-13,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI RC 13 MAY","Slow",9,"Cloudy","Out 4m | 4mm Rain Last 24hrs | No Rain Overnight",211359,4,,Flat,1360,"MDN","JOLT COFFEE HOUSE MDN 1360",10000.00,11:57:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",9,"Cloudy",376596,2,9,"Lurid","3","g",58.50,1,1.26.21,0.37.40,," 1 1/4 LEN","Lisa Latta","Awapuni",8.60,2.80,5400.00,"Jonathan Riddell",58.50,0.00,49,0,0,"Approved Plates, Lugging Bit",287450,"SHOCKING (AUS) 2005",259658,"BLINDING (NZ) 2007",
49739,2021-05-13,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI RC 13 MAY","Slow",9,"Cloudy","Out 4m | 4mm Rain Last 24hrs | No Rain Overnight",211359,4,,Flat,1360,"MDN","JOLT COFFEE HOUSE MDN 1360",10000.00,11:57:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",9,"Cloudy",378827,3,7,"Falcon Scott","3","g",58.50,11,1.28.20,0.39.69,12.20," ","Lauren Brennan","Cambridge",6.70,0.00,200.00,"Ashvin Goindasamy",57.50,1.00,47,0,0,"Approved Plates, Lugging Bit, Side Winkers, Tongue Tie",300453,"ATLANTE (AUS) 2010",257242,"GEISHA (NZ) 2007",
49739,2021-05-13,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI RC 13 MAY","Slow",9,"Cloudy","Out 4m | 4mm Rain Last 24hrs | No Rain Overnight",211359,4,,Flat,1360,"MDN","JOLT COFFEE HOUSE MDN 1360",10000.00,11:57:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",9,"Cloudy",372250,5,8,"Sassy Susan","3","f",56.50,5,1.26.55,0.37.82,2.30," ","Peter Didham","Awapuni",3.90,0.00,200.00,"Sarah Macnab",56.50,0.00,53,0,0,"Approved Plates, Lugging Bit, Blinkers (1st time)",291339,"VESPA (NZ) 2011",262259,"LIPPERTY LIP (NZ) 2004",
49739,2021-05-13,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI RC 13 MAY","Slow",9,"Cloudy","Out 4m | 4mm Rain Last 24hrs | No Rain Overnight",211359,4,,Flat,1360,"MDN","JOLT COFFEE HOUSE MDN 1360",10000.00,11:57:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",9,"Cloudy",348488,6,14,"Jenever","5","m",56.50,6,1.26.73,0.37.80,3.30," ","Lisa Latta","Awapuni",18.30,0.00,200.00,"Temyia Taiaroa",54.50,2.00,51,0,0,"Approved Plates, Lugging Bit, Blinkers, Tongue Tie",287683,"RIP VAN WINKLE (IRE) 2006",227642,"ISLAND TIME (NZ) 2002",
49739,2021-05-13,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI RC 13 MAY","Slow",9,"Cloudy","Out 4m | 4mm Rain Last 24hrs | No Rain Overnight",211359,4,,Flat,1360,"MDN","JOLT COFFEE HOUSE MDN 1360",10000.00,11:57:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",9,"Cloudy",366826,7,4,"Castle On The Hill","3","f",56.50,7,1.27.24,0.38.25,6.30," ","John Wheeler","New Plymouth",17.50,0.00,200.00,"Diego Montes de Oca",55.50,1.00,50,0,0,"Approved Plates, Lugging Bit",300453,"ATLANTE (AUS) 2010",234555,"CASTLEBAR (NZ) 2003",
