<-- Copyright Notice: (c) 2021 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",211394,1,,Flat,1000,"2&3YO SW+P","NP AUTO ELECTRICAL DASH",25000.00,11:47:00,"N",,"2&3yo","Open","unrestricted","sw+p","Heavy",10,"Overcast",374920,1,5,"Butler","3","g",58.50,2,1.03.36,0.37.04,3.30," 1 1/2 LEN","Allan Sharrock","New Plymouth",2.70,1.20,4375.00,"Joe Kamaruddin",55.50,3.00,68,0,0,"Approved Plates, Lugging Bit",287687,"SHOWCASING (GB) 2007",287628,"MAID OF TRALEE (AUS) 2006",
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",211394,1,,Flat,1000,"2&3YO SW+P","NP AUTO ELECTRICAL DASH",25000.00,11:47:00,"N",,"2&3yo","Open","unrestricted","sw+p","Heavy",10,"Overcast",379309,2,8,"Phelan The Power","3","g",57.50,4,1.03.75,0.37.71,5.60," 3 1/4 LEN","John Bell","Cambridge",8.90,0.00,1250.00,"Sam Spratt",57.50,0.00,62,0,0,"Approved Plates, Lugging Bit",313325,"POWER (GB) 2009",249688,"LAYLA ROSE (NZ) 2005",
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",211394,1,,Flat,1000,"2&3YO SW+P","NP AUTO ELECTRICAL DASH",25000.00,11:47:00,"N",,"2&3yo","Open","unrestricted","sw+p","Heavy",10,"Overcast",410618,3,1,"Darci La Bella","3","f",56.50,1,1.02.85,0.37.45,," 3 1/4 LEN","Allan Sharrock","New Plymouth",2.40,1.20,13500.00,"Hazel Schofer",56.00,0.50,68,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit",230462,"DARCI BRAHMA (NZ) 2002",207257,"BELLAROOF (NZ) 1999",
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",211394,1,,Flat,1000,"2&3YO SW+P","NP AUTO ELECTRICAL DASH",25000.00,11:47:00,"N",,"2&3yo","Open","unrestricted","sw+p","Heavy",10,"Overcast",377641,4,7,"Alice Tinker","3","f",56.50,7,1.05.24,0.39.60,15.20," ","Ngaire Fraser","Cambridge",9.00,0.00,375.00,"Temyia Taiaroa",54.50,2.00,67,0,0,"Approved Plates, Lugging Bit, Side Winkers",338960,"IL CAVALLO (AUS) 2010",248458,"TRUE STAR (NZ) 2005",
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",211394,1,,Flat,1000,"2&3YO SW+P","NP AUTO ELECTRICAL DASH",25000.00,11:47:00,"N",,"2&3yo","Open","unrestricted","sw+p","Heavy",10,"Overcast",378874,8,9,"Lois Lane","3","f",54.00,5,1.04.26,0.38.54,8.90," ","Susan Rainford","New Plymouth",15.40,0.00,375.00,"Mereana Hudson",54.00,0.00,54,0,0,"Approved Plates, Standard Bit, Barrier Blanket",280637,"PER INCANTO (USA) 2004",240437,"CASABELLA LANE (NZ) 2004",
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",211394,1,,Flat,1000,"2&3YO SW+P","NP AUTO ELECTRICAL DASH",25000.00,11:47:00,"N",,"2&3yo","Open","unrestricted","sw+p","Heavy",10,"Overcast",390131,9,4,"Express Yourself","2","f",52.50,3,1.03.61,0.37.77,4.80," 3/4 LEN","Robbie Patterson","New Plymouth",19.50,3.60,2125.00,"Eilish McCall",49.50,3.00,47,0,0,"Approved Plates, Lugging Bit",271558,"SHAMEXPRESS (NZ) 2009",338441,"WHITEHAVEN GIRL (AUS) 2003",
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",211394,1,,Flat,1000,"2&3YO SW+P","NP AUTO ELECTRICAL DASH",25000.00,11:47:00,"N",,"2&3yo","Open","unrestricted","sw+p","Heavy",10,"Overcast",393307,10,2,"Shezzacharmer","2","f",52.50,8,1.06.53,0.41.01,23.50," ","Peter Lock","Te Aroha",19.70,0.00,375.00,"Ashvin Mudhoo",49.50,3.00,47,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit",337951,"CHARM SPIRIT (IRE) 2011",268289,"LUNAR ECLIPSE (NZ) 2008",
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",211394,1,,Flat,1000,"2&3YO SW+P","NP AUTO ELECTRICAL DASH",25000.00,11:47:00,"N",,"2&3yo","Open","unrestricted","sw+p","Heavy",10,"Overcast",395144,11,6,"Game Night","2","f",52.50,6,1.04.30,0.38.58,9.10," ","Team Rogerson","Tuhikaramea",47.90,0.00,375.00,"Brandon May",52.50,0.00,45,0,0,"Approved Plates, Lugging Bit",313325,"POWER (GB) 2009",309692,"NIGHT FEVER (NZ) 2012",
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",211370,2,,Flat,2600,"Rating 65 Benchmark*","DENIS WHEELER EARTHMOVING 2600",22500.00,12:15:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",10,"Overcast",378880,1,6,"Peecee Pussycat","3","g",60.00,2,3.04.08,0.40.94,0.30," 3/4 LEN","John Bell","Cambridge",3.80,1.50,3937.00,"Sam Spratt",60.00,0.00,65,0,0,"Approved Plates, Lugging Bit",325005,"PURE CHAMPION (IRE) 2007",255255,"COMPACT PUSSYCAT (NZ) 2006",
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",211370,2,,Flat,2600,"Rating 65 Benchmark*","DENIS WHEELER EARTHMOVING 2600",22500.00,12:15:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",10,"Overcast",330829,2,10,"Van Blanc","6","g",59.00,8,3.05.47,0.41.34,7.80," ","Craig and Shaun Phelan","Cambridge",5.50,0.00,337.00,"Hazel Schofer",58.00,1.00,63,59,0,"Approved Plates, Lugging Bit",287683,"RIP VAN WINKLE (IRE) 2006",190564,"BLANCHARD (NZ) 1996",
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",211370,2,,Flat,2600,"Rating 65 Benchmark*","DENIS WHEELER EARTHMOVING 2600",22500.00,12:15:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",10,"Overcast",340974,3,3,"Charred","5","g",58.50,3,3.04.25,0.40.95,1.10," 1 LEN","Paul Mirabelli","Cambridge",9.00,2.60,1912.00,"Chris Dell",58.50,0.00,62,50,0,"Approved Plates, Lugging Bit, Side Winkers, Bandages",242513,"GUILLOTINE (NZ) 2004",261780,"DANCING EMBERS (NZ) 2007",
