<-- Copyright Notice: (c) 2021 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
49777,2021-06-17,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 17 JUN","Heavy",11,"Overcast","Out 4m | 4mm Rain Last 24hrs | 2mm Rain Overnight",211441,1,,Flat,2060,"Rating 74 Benchmark HWT","WANGANUI FUNCTION CENTRE HWT 2060",11000.00,11:52:00,"N",65.00,"Unrestricted","Rating 74","unrestricted","hwt","Heavy",11,"Overcast",333273,1,9,"Bully Boy","6","g",72.00,13,2.30.62,0.44.88,23.90," ","Adrian Bull","Hunterville",17.20,0.00,220.00,"Dean Parker",69.00,3.00,78,0,0,"Approved Plates, Lugging Bit, Visor Blinkers",264625,"ROCK 'N' POP (AUS) 2008",253268,"FRU JU (NZ) 2006",
49777,2021-06-17,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 17 JUN","Heavy",11,"Overcast","Out 4m | 4mm Rain Last 24hrs | 2mm Rain Overnight",211441,1,,Flat,2060,"Rating 74 Benchmark HWT","WANGANUI FUNCTION CENTRE HWT 2060",11000.00,11:52:00,"N",65.00,"Unrestricted","Rating 74","unrestricted","hwt","Heavy",11,"Overcast",298245,2,3,"Master Fin","9","g",72.00,12,2.30.36,0.44.28,22.40," ","Mark Oulaghan","Awapuni",27.70,0.00,220.00,"Clayton Chipperfield",72.00,0.00,78,59,0,"Approved Plates, Lugging Bit",241392,"NOM DU JEU (NZ) 2004",248305,"CLOVERLEE (NZ) 2005",
49777,2021-06-17,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 17 JUN","Heavy",11,"Overcast","Out 4m | 4mm Rain Last 24hrs | 2mm Rain Overnight",211441,1,,Flat,2060,"Rating 74 Benchmark HWT","WANGANUI FUNCTION CENTRE HWT 2060",11000.00,11:52:00,"N",65.00,"Unrestricted","Rating 74","unrestricted","hwt","Heavy",11,"Overcast",327126,3,12,"Verry Flash","6","g",70.50,1,2.26.44,0.40.98,," LONG NECK","Kevin Myers","Wanganui",6.10,2.10,5940.00,"Kayla Macnab",68.50,2.00,75,0,0,"Approved Plates, Lugging Bit, Nose Band (1st time)",226925,"ZED (NZ) 2002",249265,"OPULENCE (NZ) 2005",
49777,2021-06-17,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 17 JUN","Heavy",11,"Overcast","Out 4m | 4mm Rain Last 24hrs | 2mm Rain Overnight",211441,1,,Flat,2060,"Rating 74 Benchmark HWT","WANGANUI FUNCTION CENTRE HWT 2060",11000.00,11:52:00,"N",65.00,"Unrestricted","Rating 74","unrestricted","hwt","Heavy",11,"Overcast",331547,4,11,"Bak Da Master","6","g",70.00,6,2.27.21,0.41.77,4.40," ","Jamie Richards","Matamata",7.40,0.00,220.00,"Michael Roustoby",67.00,3.00,74,82,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit, Nasal Strip, Nose Band, Tongue Tie",278104,"MASTERCRAFTSMAN (IRE) 2006",235560,"BAK DA PRINCESS (NZ) 2003",
49777,2021-06-17,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 17 JUN","Heavy",11,"Overcast","Out 4m | 4mm Rain Last 24hrs | 2mm Rain Overnight",211441,1,,Flat,2060,"Rating 74 Benchmark HWT","WANGANUI FUNCTION CENTRE HWT 2060",11000.00,11:52:00,"N",65.00,"Unrestricted","Rating 74","unrestricted","hwt","Heavy",11,"Overcast",282646,5,13,"Tallyho Twinkletoe","10","g",69.50,9,2.27.49,0.41.95,5.80," ","Kevin Myers","Wanganui",8.30,0.00,220.00,"Shaun Fannin",69.50,0.00,73,98,94,"Approved Plates, Lugging Bit, Bandages",210214,"ST REIMS (NZ) 1999",194599,"ALBACORA (NZ) 1997",
49777,2021-06-17,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 17 JUN","Heavy",11,"Overcast","Out 4m | 4mm Rain Last 24hrs | 2mm Rain Overnight",211441,1,,Flat,2060,"Rating 74 Benchmark HWT","WANGANUI FUNCTION CENTRE HWT 2060",11000.00,11:52:00,"N",65.00,"Unrestricted","Rating 74","unrestricted","hwt","Heavy",11,"Overcast",286387,6,6,"Nitro Ted","10","g",67.50,4,2.26.89,0.41.03,2.60," 1/2 LEN","Paul Pascoe","Hawera",10.60,0.00,440.00,"Emily Farr",67.50,0.00,69,0,0,"Approved Plates, Lugging Bit",189118,"CITI HABIT (NZ) 1996",222510,"TIANA (NZ) 2001",
49777,2021-06-17,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 17 JUN","Heavy",11,"Overcast","Out 4m | 4mm Rain Last 24hrs | 2mm Rain Overnight",211441,1,,Flat,2060,"Rating 74 Benchmark HWT","WANGANUI FUNCTION CENTRE HWT 2060",11000.00,11:52:00,"N",65.00,"Unrestricted","Rating 74","unrestricted","hwt","Heavy",11,"Overcast",340974,7,1,"Charred","5","g",66.50,5,2.26.99,0.41.27,3.10," ","Paul Mirabelli","Cambridge",9.20,0.00,220.00,"James Seivwright",63.50,3.00,67,50,0,"Approved Plates, Lugging Bit, Side Winkers, Bandages",242513,"GUILLOTINE (NZ) 2004",261780,"DANCING EMBERS (NZ) 2007",
49777,2021-06-17,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 17 JUN","Heavy",11,"Overcast","Out 4m | 4mm Rain Last 24hrs | 2mm Rain Overnight",211441,1,,Flat,2060,"Rating 74 Benchmark HWT","WANGANUI FUNCTION CENTRE HWT 2060",11000.00,11:52:00,"N",65.00,"Unrestricted","Rating 74","unrestricted","hwt","Heavy",11,"Overcast",341583,9,10,"Jackaroo","5","g",65.00,3,2.26.84,0.41.12,2.40," 1/2 NECK","Kevin Gray","Copper Belt Lodge, Palmerston North",10.20,3.40,770.00,"Sam O'Malley",65.00,0.00,62,0,0,"Approved Plates, Lugging Bit, Blinkers, Barrier Blanket",324908,"JAKKALBERRY (IRE) 2006",243521,"KATIE LOU (NZ) 2004",
49777,2021-06-17,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 17 JUN","Heavy",11,"Overcast","Out 4m | 4mm Rain Last 24hrs | 2mm Rain Overnight",211441,1,,Flat,2060,"Rating 74 Benchmark HWT","WANGANUI FUNCTION CENTRE HWT 2060",11000.00,11:52:00,"N",65.00,"Unrestricted","Rating 74","unrestricted","hwt","Heavy",11,"Overcast",343715,10,5,"Beaudacea","5","m",65.00,10,2.28.67,0.42.55,12.80," ","Paul Moseley","Hawera",35.40,0.00,220.00,"Reece Cole",65.50,-0.50,61,0,0,"Approved Plates, Standard Bit, Side Winkers",241392,"NOM DU JEU (NZ) 2004",226578,"ROANAH (NZ) 2002",
49777,2021-06-17,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 17 JUN","Heavy",11,"Overcast","Out 4m | 4mm Rain Last 24hrs | 2mm Rain Overnight",211441,1,,Flat,2060,"Rating 74 Benchmark HWT","WANGANUI FUNCTION CENTRE HWT 2060",11000.00,11:52:00,"N",65.00,"Unrestricted","Rating 74","unrestricted","hwt","Heavy",11,"Overcast",356255,11,2,"Red Rufus","4","g",65.00,8,2.27.44,0.42.00,5.60," ","Peter Didham","Awapuni",4.90,0.00,220.00,"Timothy Johnson",65.00,0.00,61,0,0,"Approved Plates, Lugging Bit, Blinkers",244847,"FASTNET ROCK (AUS) 2001",269775,"ABEAUTIFULRED (NZ) 2008",
49777,2021-06-17,4,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 17 JUN","Heavy",11,"Overcast","Out 4m | 4mm Rain Last 24hrs | 2mm Rain Overnight",211441,1,,Flat,2060,"Rating 74 Benchmark HWT","WANGANUI FUNCTION CENTRE HWT 2060",11000.00,11:52:00,"N",65.00,"Unrestricted","Rating 74","unrestricted","hwt","Heavy",11,"Overcast",334232,12,4,"Franklin","6","g",65.00,11,2.29.32,0.43.28,16.60," ","Paul Nelson & Corrina McDougal","Hastings",63.00,0.00,220.00,"Barry Donoghue",65.50,-0.50,59,0,0,"Approved Plates, Lugging Bit, Blinkers, Tongue Tie",287450,"SHOCKING (AUS) 2005",214759,"CASSOVIA (NZ) 2000",
